reference_number,event,type,start_date,end_date,theater,campaign,threats,ownership_federal,ownership_local,ownership_private,ownership_state,ownership_unknown,park,integrity,military,interpretive_political,interpretive_commander_loss,interpretive_casualties,interpretive_tactics_strategy,interpretive_public_mind,interpretive_combat_arm,interpretive_military_firsts,interpretive_minority_troops,interpretive_economic,interpretive_archaelolgical,interpretive_logistics,interpretive_individual_bravery,interpretive_group_behavior,interpretive_joint_ops,interpretive_coop_armies,interpretive_naval,military_jim,military_ed,military_bill,protected_acres,protected_percent,county,land_value,priority1,url
AL001,Day's Gap,Action,1863-04-30,1863-04-30,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Streight's Raid: Tuscumbia, AL twd Rome, GA (1863), 04/26/63, III",Low,0,0,1,0,0,0,Good,C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,D,C,,,Cullman,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=320&dt=295
AL002,Athens,Attack,1864-01-26,1864-01-26,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Operations in North Alabama (1864), 01/23/64, III",Mod,0,1,1,1,0,0,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Limestone,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=314&dt=295
AL003,Mobile Bay,Naval Operations,1864-08-02,1864-08-23,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Operations in Mobile Bay (1864), 08/02/64, I",Mod,0,0,1,1,0,1,Fair,A,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,"Mobile, Blakely",,1,http://aad.archives.gov/aad/record-detail.jsp?rid=323&dt=295
AL004,Decatur,Demonstration,1864-10-26,1864-10-29,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Hood's Ops. Agnst Sherman's Commun. (1864), 10/05/64, II",,0,1,1,1,0,0,Lost,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,"Morgan, Limestone, Decatur, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=3&dt=295
AL005,Spanish Fort,Siege & Capture,1865-03-27,1865-04-08,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Mobile Campaign (1865), 03/27/65, I",,0,1,1,1,0,0,Lost,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,C,,,Baldwin,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=2&dt=295
AL006,Fort Blakely,Siege & Capture,1865-04-02,1865-04-09,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Mobile Campaign (1865), 03/27/65, I",Low,0,0,1,1,0,1,Good,A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,B,A,B,3800,85,Baldwin,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=1&dt=295
AL007,Selma,Engagement,1865-04-02,1865-04-02,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Wilson's Raid: Chickawaw, AL and Macon, GA (1865), 03/22/65, II",,0,1,1,1,0,0,Lost,B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,"Dallas, Selma, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=321&dt=295
AR001,Pea Ridge,Battle,1862-03-06,1862-03-08,Trans-Mississippi Theater of Operations,"Pea Ridge Campaign (1862), 03/01/62, I",Low,1,0,1,0,0,1,Good,A,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,A,,4300,95,Benton,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=9&dt=295
AR002,Saint Charles,Engagement,1862-06-17,1862-06-17,Trans-Mississippi Theater of Operations,"Operations on White River (1862), 06/17/62, III",Low,1,1,1,0,0,0,Fair,C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,C,D,C,,,"Arkansas, St. Charles, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=6&dt=295
AR003,Hill's Plantation,Action,1862-07-07,1862-07-07,Trans-Mississippi Theater of Operations,"Operations Near Cache River, AR (1862), 07/07/62, III",Low,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,D,,,,Woodruff,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=10&dt=295
AR004,Canehill,Engagement,1862-11-28,1862-11-28,Trans-Mississippi Theater of Operations,"Prairie Grove Campaign (1862), 12/01/62, II",Low,1,0,1,0,0,0,Good,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Washington,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=7&dt=295
AR005,Prairie Grove,Battle,1862-12-07,1862-12-07,Trans-Mississippi Theater of Operations,"Prairie Grove Campaign (1862), 12/01/62, II",Mod,0,0,1,1,0,1,Good,B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,A,C,,,Washinton,,1,http://aad.archives.gov/aad/record-detail.jsp?rid=11&dt=295
AR006,Arkansas Post,Engagement,1863-01-09,1863-01-11,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",High,1,0,1,0,0,1,Poor,C,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,Arkansas,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=306&dt=295
AR007,Chalk Bluff,Skirmish,1863-05-01,1863-05-02,Trans-Mississippi Theater of Operations,"Marmaduke's Exp. Into Missouri (1863), 04/17/63, III",Mod,0,1,1,0,0,1,Good,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Clay,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=322&dt=295
AR008,Helena,Attack,1863-07-04,1863-07-04,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",Mod,1,0,1,0,0,0,Poor,B,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,"Phillips, Helena, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=8&dt=295
AR009,Devil's Backbone,Action,1863-09-01,1863-09-01,Trans-Mississippi Theater of Operations,"Ops. [U] tp Drive [C] from Indian Terr. (1863), 07/01/63, II",Mod,0,0,1,0,0,0,Fair,C,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,C,C,C,,,Sebastian,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=4&dt=295
AR010A,Bayou Fourche (Litt.Rock),Engagement,1863-09-10,1863-09-10,Trans-Mississippi Theater of Operations,"Union Advance on Little Rock (1863), 08/14/63, II",,0,0,1,0,0,0,Lost,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,B,C,,,Pulaski,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=5&dt=295
AR011,Pine Bluff,Action,1863-10-25,1863-10-25,Trans-Mississippi Theater of Operations,"Union Advance on Little Rock (1863), 08/14/63, II",,0,0,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Jefferson, Pine Bluff, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=12&dt=295
AR012,Elkin's Ferry,Engagement,1864-04-03,1864-04-04,Trans-Mississippi Theater of Operations,"Camden Expedition (1864), 04/03/64, II",Mod,0,0,1,0,0,0,Fair,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,C,,,,"Clark, Nevada",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=13&dt=295
AR013,Prairie D'Ane,Skirmish,1864-04-09,1864-04-13,Trans-Mississippi Theater of Operations,"Camden Expedition (1864), 04/03/64, II",Low,0,0,1,0,0,0,Fair,B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,Nevada,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=324&dt=295
AR014,Poison Spring,Engagement,1864-04-18,1864-04-18,Trans-Mississippi Theater of Operations,"Camden Expedition (1864), 04/03/64, II",Low,0,0,1,1,0,1,Good,C,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,C,,,,Ouachita,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=14&dt=295
AR015,Marks' Mills,Action,1864-04-25,1864-04-25,Trans-Mississippi Theater of Operations,"Camden Expedition (1864), 04/03/64, II",Mod,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Cleveland,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=15&dt=295
AR016,Jenkins' Ferry,Engagement,1864-04-30,1864-04-30,Trans-Mississippi Theater of Operations,"Camden Expedition (1864), 04/03/64, II",Low,0,0,1,1,0,1,Good,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Grant,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=16&dt=295
AR017,Old River Lake,Engagement,1864-06-06,1864-06-06,Trans-Mississippi Theater of Operations,Undefined Code,Low,0,0,1,0,0,0,Fair,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Chicot,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=17&dt=295
