cwsac_id,attacker,naval,siege,ships_U,ships_C
OK006,US,No,0,0,0
AR004,US,No,0,0,0
AR010,US,No,0,0,0
WV014,Confederate,No,0,0,0
VA109,Confederate,No,0,0,0
VA121,US,No,0,0,0
VA082,US,No,0,0,0
VA096,US,No,0,0,0
LA007,Confederate,No,0,0,1
LA013,Confederate,No,0,2,0
VA069,US,No,0,0,0
VA041,Confederate,No,0,0,0
VA055,US,No,0,0,0
MO007,Confederate,No,0,0,0
MO013,US,No,0,0,0
MO012,US,Partial,1,6,0
MO006,Confederate,No,0,0,0
VA054,Confederate,No,0,0,0
VA040,Confederate,No,0,0,0
LA012,Confederate,No,0,0,0
VA068,Confederate,No,0,0,0
LA006,US,No,0,0,1
VA097,Confederate,No,0,0,0
VA083,Confederate,No,0,0,0
VA120,US,No,0,0,0
VA108,US,No,0,0,0
WV015,Confederate,No,0,0,0
WV001,US,No,0,0,0
AR011,Confederate,No,0,0,0
AR005,Confederate,No,0,0,0
OK007,US,No,0,0,0
OK005,US,No,0,0,0
AR013,US,No,0,0,0
AR007,US,No,0,0,0
WV003,US,No,0,0,0
VA122,Confederate,No,0,0,0
VA095,Confederate,No,0,0,0
VA081,US,No,0,0,0
LA010,US,No,1,8,0
LA004,US,No,0,0,0
VA056,Confederate,No,0,0,0
VA042,Confederate,No,0,0,0
MO010,US,No,0,0,0
MO004,US,No,0,0,0
MO005,US,No,0,0,0
MO011,US,No,0,0,0
VA043,US,No,0,0,0
VA057,US,No,0,0,0
LA005,US,No,0,0,0
LA011,Confederate,No,0,2,0
VA080,US,No,0,0,0
VA094,US,No,0,0,0
VA123,US,No,0,0,0
WV002,US,No,0,0,0
WV016,US,No,0,0,0
AR006,US,Partial,0,9,0
AR012,US,No,0,0,0
OK004,US,No,0,0,0
WV012,US,No,0,0,0
WV006,US,No,0,0,0
AR016,Confederate,No,0,0,0
MD008,US,No,0,0,0
AR002,US,Partial,0,4,0
PA002,Confederate,No,0,0,0
VA090,US,No,0,0,0
VA084,Confederate,No,0,0,0
VA053,US,No,0,0,0
VA047,US,No,0,0,0
LA015,US,No,0,0,0
LA001,US,Yes,0,18,11
MO015,US,No,0,0,0
MO001,US,No,0,0,0
MO029,US,No,0,0,0
MO028,US,No,0,0,0
MO014,Confederate,No,0,0,0
LA014,Confederate,No,0,0,0
VA046,US,No,0,0,0
ID001,,No,0,0,0
VA052,US,No,0,0,0
VA085,US,No,0,0,0
VA091,Confederate,No,0,0,0
AR003,US,No,0,0,0
AR017,US,No,0,0,0
WV007,US,No,0,0,0
WV013,US,No,0,0,0
OK001,Confederate,No,0,0,0
OK003,Confederate,No,0,0,0
WV005,Confederate,No,0,0,0
AR001,Confederate,No,0,0,0
AR015,Confederate,No,0,0,0
VA124,US,No,0,0,0
VA118,Confederate,No,0,0,0
VA087,US,No,0,0,0
VA093,US,No,0,0,0
PA001,Confederate,No,0,0,0
VA044,US,No,0,0,0
VA050,Confederate,No,0,0,0
LA002,US,No,0,0,0
VA078,US,No,0,0,0
DC001,Confederate,No,0,0,0
LA016,Confederate,No,0,0,0
MO002,Confederate,No,0,0,0
MO016,US,No,0,0,0
MO017,US,No,0,0,0
MO003,US,No,0,0,0
LA017,US,No,0,0,0
LA003,Confederate,No,0,10,0
VA079,US,No,0,0,0
VA051,Confederate,No,0,0,0
VA045,US,No,0,0,0
VA092,Confederate,No,0,0,0
VA086,US,No,0,0,0
VA119,US,No,0,0,0
VA125,US,No,0,0,0
AR014,Confederate,No,0,0,0
WV010,Confederate,No,0,0,0
WV004,Confederate,No,0,0,0
OK002,Confederate,No,0,0,0
GA002,US,Yes,0,4,0
GA016,Confederate,No,0,0,0
TN002,US,Partial,0,7,0
TN016,Confederate,No,0,0,0
VA022,US,No,0,0,0
SC002,US,No,0,0,0
VA036,US,No,0,0,0
NC004,US,Partial,1,4,0
TX006,US,Partial,0,4,0
NC010,Confederate,No,0,0,0
NM001,US,No,0,0,0
AL007,US,No,0,0,0
MS015,Confederate,No,0,0,0
MS001,US,No,0,0,0
MS014,Confederate,No,0,0,0
AL006,US,No,1,0,3
NC011,Confederate,No,1,0,0
NC005,US,No,0,0,0
VA037,Confederate,No,0,0,0
SC003,US,No,0,1,0
VA023,Confederate,No,0,0,0
TN017,US,No,0,0,0
TN003,Confederate,No,0,2,0
GA017,Confederate,No,0,0,0
GA003,Confederate,No,0,0,0
GA015,US,No,0,0,0
TN029,US,No,0,0,0
GA001,US,No,0,0,0
TN015,Confederate,No,0,0,0
TN001,US,Partial,0,7,0
VA009,US,No,1,0,0
VA035,US,No,0,0,0
VA021,Confederate,No,0,0,0
SC001,Confederate,Partial,1,0,0
NC013,Confederate,Yes,0,8,3
NC007,US,No,0,0,0
TX005,US,No,0,0,0
NM002,US,No,0,0,0
AL004,Confederate,No,0,0,0
MS002,Confederate,No,0,0,0
MS016,US,No,1,0,0
MS003,US,No,0,0,0
AL005,US,No,1,0,0
NC006,US,No,0,0,0
NC012,Confederate,Partial,0,5,2
VA020,Confederate,No,0,0,0
VA034,US,No,0,0,0
VA008,Confederate,Yes,0,12,6
GA028,US,No,0,0,0
TN014,US,No,0,0,0
GA014,Confederate,No,0,0,0
TN028,Confederate,No,0,0,0
TN010,Confederate,No,0,0,0
TN004,US,Yes,0,7,8
GA010,US,No,0,0,0
GA004,Confederate,No,0,0,0
TN038,US,No,0,0,0
SC010,US,No,0,0,0
VA024,Confederate,No,0,0,0
SC004,US,Yes,0,7,2
VA018,Confederate,No,0,0,0
NC016,US,No,0,34,0
NC002,US,Partial,0,17,7
MS007,US,No,0,0,0
MS013,Confederate,No,0,0,0
AL001,Confederate,No,0,0,0
MS012,US,No,0,0,0
MS006,US,No,0,0,0
TX001,US,Partial,0,3,0
NC003,US,Partial,0,14,0
NC017,US,No,0,0,0
VA019,Confederate,No,0,0,0
SC005,US,No,0,4,0
VA025,Confederate,No,0,0,0
VA031,US,No,1,10,0
SC011,US,No,0,0,0
GA005,US,No,0,0,0
GA011,Confederate,No,0,0,0
TN005,US,No,0,0,0
TN011,US,No,0,0,0
KY008,Confederate,No,0,0,0
TN007,Confederate,No,0,0,0
TN013,US,No,0,0,0
GA007,US,No,0,0,0
GA013,US,No,0,0,0
VA027,Confederate,No,0,0,0
SC007,US,Partial,1,13,0
VA033,US,No,0,0,0
NC001,US,Partial,0,7,0
TX003,Confederate,Yes,0,6,2
NC015,US,Partial,0,56,0
MS010,US,No,0,0,0
MS004,US,No,0,0,0
IN001,Confederate,No,0,0,0
AL002,Confederate,No,0,0,0
AL003,US,Yes,1,18,4
MS005,US,No,0,0,0
MS011,US,No,1,0,0
NC014,US,Partial,1,60,0
TX002,US,Yes,0,5,0
VA032,US,No,0,0,0
SC006,Confederate,No,0,0,0
VA026,Confederate,No,0,0,0
GA012,US,No,0,0,0
GA006,US,No,0,0,0
TN012,Confederate,No,0,0,0
TN006,Confederate,No,0,0,0
KY009,US,No,0,0,0
OH001,US,No,0,0,0
GA023,Confederate,No,0,0,0
KY010,Confederate,No,0,2,0
KY004,US,No,0,0,0
TN023,Confederate,No,0,0,0
TN037,Confederate,No,0,0,0
VA003,US,No,0,0,0
