battle_id,battle_name,other_names,start_date,end_date,location,state,category_schlacht,category_treffen,category_belagerung,category_kapitulation,category_einnahme,category_size,page
1,Bull-Run,Manassas-Junction,1861-07-21,1861-07-21,"Kleiner Nebenfluß des Potomac in den Vereinigten Staaten von Nodramerika, Virginia; die Schlacht fand an beiden Flußufern, ca. 35-45 km. südwestl. von Washington statt).",VA,1,0,0,0,0,4,522
2,Wilson's Creek,Oak-Hills,1861-08-10,1861-08-10,"Fluß in den Vereinigten Staaten van Nordamerika, Missouri, in der Nähe von Springfield, 320 km südwestl. von St. Louis).",MO,0,1,0,0,0,6,522
3,Lexington,,1861-09-20,1861-09-20,"Stadt in den Vereinigten Staaten von Nordamerika, Missouri, am rechten Ufer des Missouri, 320 km nordwestl. von St. Louis.",MO,0,0,0,1,0,,522
4,Fort Donelson,,1862-02-12,1862-02-15,"Verschanzungen der Konföderierten in Tennessee, am linken Ufer des Cumberlandflusses, nördl. von Dover, 110 km. nordwestl. von Nashville",TN,1,0,0,1,0,3,523
5,Pea Ridge,Elkhorn-Tavern,1862-03-07,1862-03-08,"Berg in nordwestlichen Teil des Staates Arkansas, in der Nähe von Bentonville",AR,0,1,0,0,0,3,523
6,Shiloh,Pittsburg-Landing,1862-04-06,1862-04-07,"Dorf in Südwesten des Staates Tennessee, gegenüber der Stadt Pittsburg-Landing, am Tennessee-Flusse, 150 km. östl. von Memphis.",TN,1,0,0,0,0,2,523
7,Williamsburg,,1862-05-05,1862-05-05,"Stadt in Virginia, 65 km südöstl. von Richmond",VA,1,0,0,0,0,5,524
8,Seven Pines,Fair-Oaks;White-Oak-Swamp,1862-05-31,1862-06-01,"Sümpfe an beiden Ufern des Chickahominyflusses in Virginia, 10 km östl. von Richmond.",VA,1,0,0,0,0,3,524
9,Chickahominy,Mechanicsville;Gaine's Mill;Cold Harbor;Malvern Hill,1862-06-25,1862-07-01,"Der chickahominy, an dessen sumpfigen Ufern die siebentägige Schlaeht geschlagen
wurde, ist ein linker Nebenfluß des James River in Virginien; das Schlachtfeld 10 km nördl.,
20-25 km östl. und südöstl. von Richmond.
",VA,1,0,0,0,0,1,525
10,Cedar Mountain,,1862-08-09,1862-08-09,"Berg in Virginia, am Cedar Creek, Nebenfluß des Shenandoah, 75 km westl. von Washington.
",VA,0,1,0,0,0,5,525
11,Bull Run,Manassas-Junction,1862-08-29,1862-08-30,"Kleiner Nebenfluß des Potomac in Virginien, 45 km südwestl. von Washington
",VA,1,0,0,0,0,2,526
12,Richmond,Rogersville,1862-08-30,1862-08-30,"Stadt in Kentucky, 20 km südöstl. von Lexington.",KY,0,1,0,0,0,4,526
13,Boonsborough,South-Mountain,1862-09-14,1862-09-14,"Dorf in Maryland, 22 km nordl. von Sharpsburg.",MD,0,1,0,0,0,5,527
14,Harper's Ferry,,1862-09-15,1862-09-15,"Stadt in Virginia, am Einfuß des Shenandoah in den Potomac, 80 km westl. von Washington",WV,0,0,0,1,0,,527
15,Antietam,Sharpsburg,1862-09-17,1862-09-17,"Linker Nebenfluß des Potomac in Marylang, mündet unterhalb Sharpsburg, 25 km nördl. von Harper's Ferry.",MD,1,0,0,0,0,2,527
16,Corinth,,1862-10-03,1862-10-04,Stadt im äußersten Nordosten des Staates Mississippi.,MS,1,0,0,0,0,4,528
17,Perryville,,1862-10-08,1862-10-08,"Kleine Stadt in Kentucky, 100 km südöstl. von Louisville",KY,1,0,0,0,0,4,528
18,Prairie-Grove,,1862-12-07,1862-12-07,"Dorf in nordwestlichen Arkansas, 20 km südwestlich von Fayetteville",AR,0,1,0,0,0,6,528
19,Fredericksburg,,1862-12-11,1862-12-15,"Stadt in Virginia, 80 km südwsestl. von Washington",VA,1,0,0,0,0,3,529
