battle_id,belligerent,full_name,last_name,first_name,middle_name,suffix,rank,dbpedia
1,Confederate,Beauregard,Beauregard,,,,Gen.,https://dbpedia.org/resource/P._G._T._Beauregard
1,US,McDowell,McDowell,,,,Maj. Gen.,https://dbpedia.org/resource/Irvin_McDowell
2,Confederate,Price,Price,,,,Maj. Gen.,https://dbpedia.org/resource/Sterling_Price
2,US,Lyon,Lyon,,,,Maj. Gen.,https://dbpedia.org/resource/Nathaniel_Lyon
3,Confederate,Price,Price,,,,Maj. Gen.,https://dbpedia.org/resource/Sterling_Price
3,US,Mulligan,Mulligan,,,,Col.,https://dbpedia.org/resource/James_A._Mulligan
4,Confederate,Buckner,Buckner,,,,Brig. Gen.,"https://dbpedia.org/resource/Simon_Bolivar_Buckner,_Sr."
4,US,Grant,Grant,,,,Brig. Gen.,https://dbpedia.org/resource/Ulysses_S._Grant
5,Confederate,Earl van Dorn,van Dorn,Earl,,,Lt. Gen,https://dbpedia.org/resource/Earl_Van_Dorn
5,US,Curtis,Curtis,,,,Maj. Gen.,https://dbpedia.org/resource/Samuel_Ryan_Curtis
6,Confederate,A. S. Johnston,Johnston,A.,S.,,Gen.,https://dbpedia.org/resource/Albert_Sidney_Johnston
6,US,U. S. Grant,Grant,U.,S.,,Maj. Gen.,https://dbpedia.org/resource/Ulysses_S._Grant
7,Confederate,J. Johnston,Johnston,J.,,,Lt. Gen,https://dbpedia.org/resource/Joseph_E._Johnston
7,US,McClellan,McClellan,,,,Maj. Gen.,https://dbpedia.org/resource/George_B._McClellan
8,Confederate,J. Johnston,Johnston,J.,,,Gen.,https://dbpedia.org/resource/Joseph_E._Johnston
8,US,McClellan,McClellan,,,,Maj. Gen.,https://dbpedia.org/resource/George_B._McClellan
9,Confederate,R. Lee.,Lee.,R.,,,Gen.,https://dbpedia.org/resource/Robert_E._Lee
9,US,McClellan,McClellan,,,,Lt. Gen,https://dbpedia.org/resource/George_B._McClellan
10,Confederate,T. J. Jackson,Jackson,T.,J.,,Lt. Gen,https://dbpedia.org/resource/Stonewall_Jackson
10,US,Banks,Banks,,,,Maj. Gen.,https://dbpedia.org/resource/Nathaniel_Prentice_Banks
11,Confederate,R. Lee,Lee,R.,,,Gen.,https://dbpedia.org/resource/Robert_E._Lee
