battle_id,belligerent,strength,strength_engaged,infantry,cavalry,artillery,guns,killed,killed_percent,killed_generals,killed_officers,killed_wounded,killed_wounded_percent,killed_wounded_generals,killed_wounded_officers,wounded,wounded_percent,wounded_generals,wounded_officers,captured,captured_generals,captured_officers,missing,missing_percent,missing_generals,missing_officers,casualties,casualties_percent,casualties_officers,casualties_generals,losses_guns,losses_caissons,losses_cannon,losses_canons,losses_flags,losses_munition_wagons,losses_wagons,note
1,Confederate,32000,18000,,,,44,400,,,26,2000,11,,89,1600,,,63,,,,0,,,0,2000,11,89,,,,,,,,,
1,US,35000,19000,,,,49,470,,,16,1600,8.3,,94,1130,,,78,,,,1300,6.9,,50,2900,15.2,144,,4000,37,27,,,4,,
2,Confederate,10000,,,,,,,,,,1230,,,,,,,,,,,70,,,,1300,13,,,,,,,,,,
2,US,6000,,,,,,,,,,1140,,,,,,,,,,,160,,,,1300,21.5,,,,,,,,,,
3,Confederate,10000,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,US,3000,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Confederate,17000,,,,,,,,,,2000,12,,,,,,,13000,,,13000,70,,,15000,82,,,17000,,65,,,,,
4,US,27000,,,,,,,,,,2660,9.9,,,,,,,,,,240,0.9,,,2900,10.8,,,,,,,,,,
5,Confederate,16000,,,,,72,,,,,1100,7,,,,,,,,,,500,3,,,1600,10,,,,,,,,,,
5,US,12000,,,,,49,,,,,1200,10.0,,,,,,,,,,200,0.7,,,1400,10.7,,,,,,,,,,
6,Confederate,40000,,36000,4000,,,1730,4.3,2,,9800,24.5,7,,1000,20.2,5,,,,,1000,2.5,0,,10800,27.0,,7,,,30,,,,,
6,US,60000,,54000,6000,,,1800,3.0,1,103,10200,21.0,5,527,8400,18.0,4,424,,,,2800,4.7,2,113,13000,25.7,640,7,,,33,,,,,
7,Confederate,30000,,,,,,300,,,24,1300,4.4,,99,1000,,,75,,,,300,1.0,,3,1600,5.4,102,,,,,,,,,
7,US,45000,,,,,,460,,,27,1900,4.2,,125,1440,,,98,,,,500,1.1,,2,2400,5.9,127,,,,,,,,,
8,Confederate,39000,,,,,,1100,2.8,1,78,6500,16.8,5,390,5400,14.0,4,312,,,,500,1.2,0,4,7000,18.0,394,5,,,10,,4,,,
8,US,51000,,,,,,800,1.6,0,41,4400,8.9,2,259,3600,7.3,2,218,,,,600,1.1,0,15,5000,10.0,274,2,,,,,,,,
9,Confederate,94000,,88000,6000,,250,3200,3.4,0,262,19000,20.2,5,1272,15800,16.8,5,1010,,,,0,1.0,,55,20000,21.2,1327,5,,,,,,,,
9,US,106000,,99000,7000,,340,1700,1.6,0,103,10000,9.5,3,515,8300,7.9,3,412,,,,6000,5.7,2,163,16000,15.2,678,5,,,,,,,,
10,Confederate,20000,,,,,,230,,,,1300,6.5,,,1070,,,,,,,0,,,,1300,6.5,,,,,,,,,,
10,US,18000,,,,,,330,,0,26,1800,10,2,128,1470,,2,102,,,,700,4,1,37,2500,14,165,3,,,,,,,,
11,Confederate,50000,,,,,,1550,3.0,0,141,9400,18.7,4,828,7850,15.7,4,687,,,,100,0.2,0,1,9500,18.9,829,4,,,,,,,,
11,US,70000,,,,,,1700,2.8,4,132,10200,17.0,10,593,8500,14.2,6,461,,,,4300,17.2,0,106,14500,24.2,699,10,,,,,,,,
12,Confederate,8000,,,,,,80,,,,450,,,,370,,,,,,,0,,,,450,2,,,,,,,,,,
12,US,16000,,,,,,210,,,,1050,6.5,,,840,,,,,,,4350,27.5,,,5400,34.0,,,,,9,,,,,alles gepäck
13,Confederate,15000,,,,,,300,,,,1600,10.7,,,1300,,,,,,,500,3.3,,,2100,14.0,,,,,,,,,,
13,US,24000,,,,,,350,,1,13,1800,,2,79,1450,,1,66,,,,100,,0,2,1900,8,81,2,,,,,,,,
14,Confederate,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,US,14000,,,,,73,,,,,,,,,,,,,,,,,,,,14000,,,,,,73,,,,,
15,Confederate,50000,40000,,,,,1510,3.8,3,149,9400,23.5,11,787,7890,19.7,8,638,,,,1800,4.5,0,50,11200,28.0,837,11,,,,,,,,
15,US,85000,60000,,,,,2100,3.5,3,139,11700,19.5,12,606,9600,16.0,9,467,,,,800,1.4,1,7,12500,20.9,613,13,,,,,,,,
16,Confederate,22000,,,,,,500,,,,2700,12.3,,,2200,,,,,,,3300,15.0,,,6000,27.3,,,,,,,,,,
16,US,25000,,,,,,350,,1,27,2200,8.0,4,142,1850,,3,115,,,,400,1.6,0,5,2600,10.5,147,4,,,,,,,,
17,Confederate,68000,16000,,,,,520,,,,3150,19.8,,,2630,,,,,,,250,1.6,,,3400,21.4,,,,,,,,,,
17,US,54000,24000,,,,,850,,2,37,3700,15.6,2,131,2850,,0,94,,,,500,2.1,0,13,4200,17.7,144,2,,,,,,,,
18,Confederate,11000,,,,,,,,,,1000,,,,,,,,,,,350,,,,1350,12,,,,,,,,,,
18,US,14000,,,,,,,,,,1000,,,,,,,,,,,250,,,,1250,8.9,,,,,,,,,,
19,Confederate,78000,,73000,5000,,,600,0.8,2,38,4700,6.1,5,308,,5.3,3,270,,,,700,0.9,0,18,5400,7.0,326,5,,,,,,,,
19,US,117000,,111000,6000,,,1350,1.2,2,124,11000,9.5,7,778,9650,8.3,5,654,,,,2000,1.7,0,20,13000,11.2,798,7,,,,,,,,
20,Confederate,38000,,33500,4500,,120,1300,3.4,2,122,9300,24.5,5,778,8000,21.1,3,656,,,,1100,3.0,0,46,10400,27.5,824,5,,,6,,,,,
20,US,45000,,41800,3200,,100,1730,3.8,2,102,9600,21.3,7,507,7870,17.5,5,405,,,,4000,9.0,1,44,13600,30.3,551,8,,,28,,6,,,
21,Confederate,25000,,,,,,,,,,200,,,,,,,,,,,,,,,200,,,,,,,,,,,
21,US,33000,,,,,,,,,,1200,,,,,,,,,,,600,,,,1800,,,,,,,,,,,
22,Confederate,5000,,,,,,,,,,200,,,,,,,,4800,,,,,,,5000,100,,,,,,,,,,
22,US,28000,,,,,,,,,,1100,,,,,,,,0,,,,,,,1100,4.2,,,,,,,,,,
23,Confederate,80000,,,,,170,1700,2.1,2,,10800,13.5,10,,9100,11.4,8,,,,,2000,2.5,0,,12800,16.0,,10,,,7,,,,,
