battle_id,belligerent,full_name,last_name,first_name,middle_name,suffix,rank,date,dbpedia
1,Confederate,Bee,Bee,,,,Brig. Gen.,,https://dbpedia.org/resource/Barnard_E._Bee_Jr.
2,US,Lyon,Lyon,,,,Brig. Gen.,,https://dbpedia.org/resource/Nathaniel_Lyon
5,Confederate,McCulloch,McCulloch,,,,Brig. Gen.,,https://dbpedia.org/resource/Ben_McCulloch
5,Confederate,McIntosh,McIntosh,,,,Brig. Gen.,,https://dbpedia.org/resource/James_M._McIntosh
5,Confederate,Slack,Slack,,,,Brig. Gen.,,https://dbpedia.org/resource/William_Y._Slack
6,Confederate,A. S. Johnston,Johnston,A.,S.,,Gen.,,https://dbpedia.org/resource/Albert_Sidney_Johnston
6,Confederate,A. H. Gladden,Gladden,A.,H.,,Brig. Gen.,,https://dbpedia.org/resource/Adley_H._Gladden
6,US,W. H. L. Wallace,Wallace,W.,H. L.,,Brig. Gen.,,https://dbpedia.org/resource/William_Harvey_Lamb_Wallace
8,Confederate,R. Hatton,Hatton,R.,,,Brig. Gen.,,https://dbpedia.org/resource/Robert_Hopkins_Hatton
10,Confederate,C. S. Winder,Winder,C.,S.,,Brig. Gen.,,https://dbpedia.org/resource/Charles_S._Winder
11,US,P. Kearny,Kearny,P.,,,Maj. Gen.,,https://dbpedia.org/resource/Philip_Kearny
11,US,J. Stevens,Stevens,J.,,,Maj. Gen.,,https://dbpedia.org/resource/Isaac_Stevens
11,US,H. Bohlen,Bohlen,H.,,,Brig. Gen.,,https://dbpedia.org/resource/Henry_Bohlen
11,US,W. Taylor,Taylor,W.,,,Brig. Gen.,,https://dbpedia.org/resource/George_W._Taylor_(general)
13,Confederate,S. Garland,Garland,S.,,,Brig. Gen.,,"https://dbpedia.org/resource/Samuel_Garland,_Jr."
13,US,J. L. Reno,Reno,J.,L.,,Maj. Gen.,,https://dbpedia.org/resource/Jesse_L._Reno
14,US,D. Miles,Miles,D.,,,Col.,,https://dbpedia.org/resource/Dixon_S._Miles
