battle_id,belligerent,strength,casualties,killed,wounded,killed_wounded,missing_captured
second-deep-bottom,US,,,,,,
second-deep-bottom,Confederate,,,,,,
munfordville,US,,4148,,,,
munfordville,Confederate,,714,,,,
the-wilderness,US,101895,18400,,,,
the-wilderness,Confederate,61025,11400,,,,
picachopeak,US,13,6,,,,
picachopeak,Confederate,10,5,,,,
mill-springs,US,4400,,55,207,262,
mill-springs,Confederate,5900,,148,404,552,
aldie,US,2000,305,,,,
aldie,Confederate,1500,110,,,,
honey-springs,US,,79,,,,
honey-springs,Confederate,,637,,,,
malvern-hill,US,27000,2100,,,,
malvern-hill,Confederate,30000,5600,,,,
bristoe-station,US,8383,540,,,,
bristoe-station,Confederate,17218,1380,,,,
ream-s-station,US,9000,2747,,,,
ream-s-station,Confederate,9500,814,,,,
fort-stevens,US,,374,,,,
fort-stevens,Confederate,,500,,,,
new-hope-church,US,16000,1665,147,1214,1361,304
new-hope-church,Confederate,4000,400,,,,
cold-harbor,US,108000,12737,1844,9077,10921,1816
cold-harbor,Confederate,62000,4595,83,3380,3463,1132
carthage,US,1100,44,,,,
carthage,Confederate,6000,200,,,,
mine-run,US,69643,1272,,,,
mine-run,Confederate,44426,680,,,,
falling-waters,US,,,,,,
falling-waters,Confederate,,,,,,
third-winchester,US,39240,5020,,,,
third-winchester,Confederate,15200,3610,,,,
pickettsmill,US,,1600,,,,
pickettsmill,Confederate,,500,,,,
iuka,US,4500,782,,,,
iuka,Confederate,3200,700,,,,
gettysburg,US,93921,23049,3155,14529,17684,5365
gettysburg,Confederate,71699,28063,3903,18735,22638,5425
cedar-creek,US,31945,5764,569,3425,3994,1770
cedar-creek,Confederate,21000,3060,320,1540,1860,1200
sailor-s-creek,US,16000,1150,,,,
sailor-s-creek,Confederate,11500,8830,,,1130,7700
mcdowell,US,6500,256,,,,
mcdowell,Confederate,6000,498,,,,
sabinepass,US,5000,230,,,,
sabinepass,Confederate,46,0,,,,
cedar-mountain,US,8030,1400,,,,
cedar-mountain,Confederate,16868,1307,,,,
brice-s-cross-roads,US,,2610,,,,
brice-s-cross-roads,Confederate,,495,,,,
davis-bridge,US,,500,,,,
davis-bridge,Confederate,,400,,,,
south-mountain,US,28000,2325,443,1807,2250,75
south-mountain,Confederate,18000,2685,325,1560,1885,800
appomattoxstation,US,,,,,,
appomattoxstation,Confederate,,,,,,
vicksburg,US,77000,4910,806,3940,4746,164
vicksburg,Confederate,33000,32492,805,1938,2743,29620
shepherdstown,US,,361,,,,
shepherdstown,Confederate,,261,,,,
north-anna,US,,2000,,,,
north-anna,Confederate,,1500,,,,
fort-mcallister,US,4000,134,,,,
fort-mcallister,Confederate,230,230,,,,
fort-blakely,US,16000,629,,,,
fort-blakely,Confederate,4000,2900,,,,
totopotomoy-creek,US,,731,,,,
totopotomoy-creek,Confederate,,1593,,,,
spotsylvania-court-house,US,100000,18000,,,,
spotsylvania-court-house,Confederate,52000,12000,,,,
chantilly,US,6000,1300,,,,
chantilly,Confederate,15000,800,,,,
spring-hill,US,,425,,,,
spring-hill,Confederate,,275,,,,
antietam,US,87000,12401,2108,9540,11648,753
antietam,Confederate,45000,10316,1546,7752,9298,1018
hampton-roads,US,1400,,261,108,369,
hampton-roads,Confederate,188,,7,17,24,
chattanooga,US,56359,5815,753,4722,5475,349
chattanooga,Confederate,44010,6670,361,2160,2521,4146
fortstedman,US,,950,,,,
fortstedman,Confederate,,2900,,,,
kernstown,US,8500,590,,,,
kernstown,Confederate,3800,718,,,,
battery-wagner,US,5000,1515,246,880,1126,389
battery-wagner,Confederate,1800,174,36,133,169,5
