battle_id,theater,theater_years,start_date,end_date,result,page
Rich Mountain/Laurel Mountain,Eastern,Eastern Theater: 1861,1861-7-11,1861-7-11,Union,293
First Bull Run (Manassas),Eastern,Eastern Theater: 1861,1861-7-21,1861-7-21,Confederate,293
Ball's Bluff,Eastern,Eastern Theater: 1861,1861-10-21,1861-10-21,Confederate,293
Wilson's Creek,Western,Western Theater: 1861,1861-8-10,1861-8-10,Confederate,294
Belmont,Western,Western Theater: 1861,1861-11-7,1861-11-7,Union,294
Roanoake Island,Blockade War,The Blockade War: 1861-62,1862-2-7,1862-2-8,Union,294
New Bern,Blockade War,The Blockade War: 1861-62,1862-3-13,1862-3-13,Union,294
Hampton Roads (first day),Blockade War,The Blockade War: 1861-62,1862-3-8,1862-3-8,Union,294
Hampton Roads (second day),Blockade War,The Blockade War: 1861-62,1862-3-9,1862-3-9,Union,294
Secessionville,Blockade War,The Blockade War: 1861-62,1862-6-16,1862-6-16,Confederate,294
Kernstown (first),Eastern,East: 1862,1862-3-23,1862-3-23,Union,296
McDowell,Eastern,East: 1862,1862-5-8,1862-5-8,Confederate,296
Front Royal,Eastern,East: 1862,1862-5-23,1862-5-23,Confederate,296
Winchester (first),Eastern,East: 1862,1862-5-25,1862-5-25,Confederate,296
Cross Keys,Eastern,East: 1862,1862-6-8,1862-6-8,Confederate,296
Port Republic,Eastern,East: 1862,1862-6-9,1862-6-9,Confederate,296
Williamsburg (Fort Magruder),Eastern,East: 1862,1862-5-5,1862-5-5,Indecisive,296
Hanover Court House,Eastern,East: 1862,1862-5-27,1862-5-27,Union,297
Fair Oaks (Seven Pines),Eastern,East: 1862,1862-5-31,1862-6-1,Indecisive,297
Seven Days Battles,Eastern,East: 1862,1862-6-25,1862-7-1,Confederate,297
The Orchard (Seven Days),Eastern,East: 1862,1862-6-25,1862-6-25,Indecisive,297
Mechanicsville (Seven Days),Eastern,East: 1862,1862-6-26,1862-6-26,Union,297
Gaines's Mill (Seven Days),Eastern,East: 1862,1862-6-27,1862-6-27,Confederate,297
Savage's Station (Seven Days),Eastern,East: 1862,1862-6-29,1862-6-29,Indecisive,297
White Oak Swamp (Seven Days),Eastern,East: 1862,1862-6-30,1862-6-30,Indecisive,297
Malvern Hill (Seven Days),Eastern,East: 1862,1862-7-1,1862-7-1,Union,297
Cedar Mountain,Eastern,East: 1862,1862-8-9,1862-8-9,Confederate,297
Groveton,Eastern,East: 1862,1862-8-28,1862-8-28,Confederate,297
Second Bull Run/Chantilly (Second Manassas),Eastern,East: 1862,1862-8-29,1862-9-1,Confederate,297
South Mountain,Eastern,East: 1862,1862-9-14,1862-9-14,Indecisive,297
Antietam (Sharpsburg),Eastern,East: 1862,1862-9-17,1862-9-17,Indecisive,297
Fredericksburg,Eastern,East: 1862,1862-12-13,1862-12-13,Confederate,297
Valverde,Western,West: 1862,1862-2-21,1862-2-21,Confederate,299
Apache Canyon/Glorieta Pass,Western,West: 1862,1862-3-26,1862-3-28,Union,299
Pea Ridge,Western,West: 1862,1862-3-7,1862-3-8,Union,299
Prairie Grove,Western,West: 1862,1862-12-7,1862-12-7,Union,299
Mill Springs (Logan's Crossroads),Western,West: 1862,1862-1-19,1862-1-20,Union,299
Fort Donelson,Western,West: 1862,1862-2-12,1862-2-16,Union,299
Shiloh (Pittsburg Landing),Western,West: 1862,1862-4-6,1862-4-7,Union,299
New Orleans,Western,West: 1862,1862-4-24,1862-4-24,Union,299
Baton Rouge,Western,West: 1862,1862-8-5,1862-8-5,Union,299
Iuka,Western,West: 1862,1862-9-19,1862-9-19,Union,299
Corinth,Western,West: 1862,1862-10-3,1862-10-4,Union,299
Chickasaw Bluffs,Western,West: 1862,1862-12-29,1862-12-29,Confederate,300
Richmond (Kentucky),Western,West: 1862,1862-8-30,1862-8-30,Confederate,300
Perryville,Western,West: 1862,1862-10-8,1862-10-8,Union,300
Hartsville,Western,West: 1862,1862-12-7,1862-12-7,Confederate,300
Stones River (Murfreesboro),Western,West: 1862,1862-12-31,1863-1-2,Union,300
Chancellorsville,Eastern,East: 1863,1863-5-1,1863-5-6,Confederate,302
Brandy Station,Eastern,East: 1863,1863-6-9,1863-6-9,Indecisive,302
Winchester (second),Eastern,East: 1863,1863-6-14,1863-6-15,Confederate,302
Gettsyburg,Eastern,East: 1863,1863-7-1,1863-7-3,Union,302
Bristoe Station,Eastern,East: 1863,1863-10-14,1863-10-14,Union,302
Buckland,Eastern,East: 1863,1863-10-19,1863-10-19,Confederate,302
Rappahannock Station,Eastern,East: 1863,1863-11-7,1863-11-7,Union,302
Mine Run,Eastern,East: 1863,1863-11-27,1863-12-1,Indecisive,302
Galveston,Western,West: 1863,1863-1-1,1863-1-1,Confederate,305
Honey Springs,Western,West: 1863,1863-7-17,1863-7-17,Union,305
Fort Hindman (Arkansas Post),Western,West: 1863,1863-1-11,1863-1-11,Union,305
Port Hudson (siege),Western,West: 1863,1863-5-26,1863-7-9,Union,305
Port Hudson (first assault),Western,West: 1863,1863-5-27,1863-5-27,Union,305
Port Hudson (second assault),Western,West: 1863,1863-6-14,1863-6-14,Union,305
