battle_id,belligerent,commander_number,PersonID,last_name,first_name,middle_name,middle_initial,rank,navy
Rich Mountain/Laurel Mountain,Confederate,1,488ca773-3d4d-4cdb-b636-1bc4c39b119c,Pegram,John,,,Lieutenant Colonel,False
Rich Mountain/Laurel Mountain,Confederate,2,386fe044-f4a0-4128-9e79-be5dcaa66241,Garnett,Robert,Selden,S.,Brigadier General,False
Rich Mountain/Laurel Mountain,US,1,113829b2-e1ff-4458-8dce-9a4da30810dd,McClellan,George,Brinton,B.,Major General,False
Rich Mountain/Laurel Mountain,US,2,7d67c576-bbd4-4b23-ac53-300f9522f311,Rosecrans,William,Starke,S.,Brigadier General,False
First Bull Run (Manassas),Confederate,1,b0f7a304-f6c5-4a8d-b816-066426e5dc1c,Johnston,Joseph,,E.,Brigadier General,False
First Bull Run (Manassas),Confederate,2,183d0a7d-f06a-4c7b-a575-7616e491618b,Beauregard,Pierre,Gustave Toutant,G. T.,Brigadier General,False
First Bull Run (Manassas),US,1,0f05f7ed-f187-4469-8fbe-25942e7eb85b,McDowell,Irvin,,,Brigadier General,False
Ball's Bluff,Confederate,1,6bce5d35-7ced-46f5-8786-31eb932c1354,Evans,Nathan,George,G.,Brigadier General,False
Ball's Bluff,US,1,f06a78fa-f99c-4b7e-bea7-89aa4829c315,Stone,Charles,Pomeroy,P.,Brigadier General,False
Ball's Bluff,US,2,4b479de3-ec5f-4531-af8e-903c593a7b78,Baker,Edward,Dickinson,D.,Colonel,False
Wilson's Creek,Confederate,1,8f232cc9-43e7-4627-ab45-d8fe6873c472,Price,Sterling,,,Major General,False
Wilson's Creek,Confederate,2,536cbc9d-7b3e-4225-a660-25374cc1026e,McCulloch,Benjamin,,,Brigadier General,False
Wilson's Creek,US,1,a590cf3d-2e52-49bb-83fc-dd1911ba651d,Lyon,Nathaniel,,,Brigadier General,False
Wilson's Creek,US,2,4a50678b-9211-4c6a-828e-d9607876849a,Sturgis,Samuel,Davis,D.,Major General,False
Belmont,Confederate,1,c97e392a-d319-4c82-9201-0a35f418a0a9,Pillow,Gideon,Johnson,J.,Brigadier General,False
Belmont,US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Brigadier General,False
Roanoake Island,Confederate,1,2f7d8b0b-710b-4f79-b13e-2cf4b9844059,Wise,Henry,Alexander,A.,Brigadier General,False
Roanoake Island,US,1,c5f9dd77-1122-48f0-8840-614720ba50d8,Burnside,Ambrose,Everett,E.,Brigadier General,False
New Bern,Confederate,1,31a0d649-84f2-4b86-a4aa-155dd8a544fe,Branch,Lawrence,O'Bryan,O.,Brigadier General,False
New Bern,US,1,c5f9dd77-1122-48f0-8840-614720ba50d8,Burnside,Ambrose,Everett,E.,Brigadier General,False
Hampton Roads (first day),Confederate,1,12c2d009-5e2f-47cb-b9e7-31e07bc73edd,Buchanan,Frankiln,,,Captain,True
Hampton Roads (first day),Confederate,2,135f4732-a9b3-4a23-a530-8a6e922812c6,Jones,Catesby,Roger,R.,Lieutenant,False
Hampton Roads (first day),US,1,ec3537d2-26fb-441d-bf2c-a1eed0e78171,Worden,John,,,Lieutenant,False
Hampton Roads (second day),Confederate,1,12c2d009-5e2f-47cb-b9e7-31e07bc73edd,Buchanan,Frankiln,,,Captain,True
