battle,battle_name,state,campaign,url,forces_text,strength,results_text,results,study_area,core_area,potnr_boundary
AL001,Day’s Gap,AL,Streight’s Raid in Alabama and Georgia (1863),http://www.nps.gov/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,"Elements of the 51st Indiana Infantry, 73rd Indiana Infantry, 3rd Ohio Infantry, 80th Illinois Infantry, and the 1st Middle Tennessee Cavalry (5th Tennessee Volunteer Cavalry Regiment) [US]; Cavalry Corps, Department of Alabama, Mississippi, and East Louisiana [CS]",,Confederate Victory,Confederate,5410.35,1084.76,2933.02
AL002,Athens,AL,Forrest’s Raid in Northern Alabama and Middle Tennessee,http://www.nps.gov/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,"110th USCT, 102th Ohio Infantry (detachment), 18th Michigan Infantry (detachment), 111th USCT, 4th Cavalry Division [US]; Cavalry Corps, Department of Alabama, Mississippi, and East Louisiana [CS]",,Confederate victory,Confederate,21919.82,2274.85,2998.41
AL003,Mobile Bay,AL,Operations in Mobile Bay (1864),http://www.nps.gov/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,"West Gulf Blockading Squadron and U.S. Army forces near Mobile [US]; Buchanan’s Flotilla (CSS Tennessee, gunboats Selma, Morgan and Gaines), Fort Morgan garrison, Fort Gaines garrison, and Fort Powell garrison [CS].",,Union victory,Union,36916.74,16130.48,34927.42
AL004,Decatur,AL,Franklin – Nashville Campaign (1864),http://www.nps.gov/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,"Garrison at Decatur; US Army Gunboat Stone River, USS General Thomas; detachments of 102 Ohio Infantry, 18th Michigan Infantry, 13th Wisconsin Infantry, 14th US Colored Infantry, 73rd Indiana Infantry, 68th Indiana Infantry, and 13th Indiana Cavalry [US]; Army of Tennessee [CS]",,Confederate victory,Confederate,14623.51,1148.87,0
AL005,Spanish Fort,AL,Mobile Campaign (1865),http://www.nps.gov/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,Army of West Mississippi [US]; Spanish Fort garrison [CS],,Union victory,Union,3742.16,2282.27,0
AL006,Fort Blakely,AL,Mobile Campaign,http://www.nps.gov/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,"Army of West Mississippi [US]; Fort Blakely Garrison, CSS Huntsville, CSS Nashville, CSS Morgan [CS]",,Union victory,Union,6061.92,3743.28,4640.71
AL007,Selma,AL,Wilson’s Raid in Alabama and Georgia (1865)),http://www.nps.gov/abpp/CWSII/CWSACReportAlabamaUpdate.pdf,"Cavalry Corps, Military Division of the Mississippi [US]; Cavalry Corps, Department of Alabama, Mississippi, and East Louisiana; General Daniel W. Adams' state reserves; citizens of Selma who volunteered to man the defenses [CS]",,Union victory,Union,16158.29,4631.72,0
AR001,Pea Ridge,AR,Pea Ridge Campaign,http://www.nps.gov/abpp/CWSII/Pea Ridge to Saint Charles.pdf,Army of the Southwest [US]; Army of the West [CS],,Union victory,Union,9834.22,2078.97,8063.74
AR002,Saint Charles,AR,Operations on the White River,http://www.nps.gov/abpp/CWSII/Pea Ridge to Saint Charles.pdf,"Flotilla of the Mississippi River Squadron (USS Mound City, USS Saint Louis, USS Lexington, USS Conestoga, two transports, and a tug) and the 46th Indiana Infantry [US]; Saint Charles batteries [CS]",,Union victory,Union,1830.99,853.69,1735.05
AR003,Hill’s Plantation,AR,Pea Ridge Campaign,http://www.nps.gov/abpp/CWSII/Elkins Ferry to Old River Lake.pdf,"Portions of the 1st and 2nd Brigades, 1st Division, Army of the Southwest [US]; 12th, 16th and 17th Texas Cavalry Regiments [CS]",,Union victory,Union,3528.55,1025.92,3528.55
