battle,belligerent,fullname,rank,navy,last_name,first_name,middle_name,suffix
AL001,Confederate,Nathan Bedford Forrest,Brigadier General,False,Forrest,Nathan,Bedford,
AL001,US,Abel Streight,Colonel,False,Streight,Abel,,
AL002,Confederate,Nathan Bedford Forrest,Major General,False,Forrest,Nathan,Bedford,
AL002,US,Wallace Campbell,Colonel,False,Campbell,Wallace,,
AL002,US,Jonas Elliott,Lieutenant Colonel,False,Elliott,Jonas,,
AL002,US,W. H. Lathrop,Colonel,False,Lathrop,W.,H.,
AL002,US,George Spalding,Colonel,False,Spalding,George,,
AL003,Confederate,Franklin Buchanan,Admiral,True,Buchanan,Franklin,,
AL003,Confederate,Dabney H. Maury,Major General,False,Maury,Dabney,H.,
AL003,US,David G. Farragut,Rear Admiral,True,Farragut,David,G.,
AL003,US,Gordon Granger,Major General,False,Granger,Gordon,,
AL004,Confederate,John Bell Hood,General,False,Hood,John,Bell,
AL004,US,Robert S. Granger,Brigadier General,False,Granger,Robert,S.,
AL005,Confederate,Randall L. Gibson,Brigadier General,False,Gibson,Randall,L.,
AL005,US,E.R.S. Canby,Major General,False,Canby,E.R.S.,,
AL006,US,E.R.S. Canby,Major General,False,Canby,E.R.S.,,
AL007,Confederate,Nathan B. Forrest,Lieutenant General,False,Forrest,Nathan,B.,
AL007,US,James H. Wilson,Major General,False,Wilson,James,H.,
AR001,Confederate,Earl Van Dorn,Major General,False,Van Dorn,Earl,,
AR001,US,Samuel R. Curtis,Brigadier General,False,Curtis,Samuel,R.,
AR002,US,Augustus H. Kilty,Commander,True,Kilty,Augustus,H.,
AR002,US,Graham N. Fitch,Colonel,False,Fitch,Graham,N.,
AR003,Confederate,Albert Rust,Brigadier General,False,Rust,Albert,,
AR003,Confederate,William H. Parsons,Colonel,False,Parsons,William,H.,
AR003,US,Charles Hovey,Colonel,False,Hovey,Charles,,
AR003,US,William P. Benton,Brigadier General,False,Benton,William,P.,
AR004,Confederate,John S. Marmaduke,Brigadier General,False,Marmaduke,John,S.,
AR004,US,James G. Blunt,Brigadier General,False,Blunt,James,G.,
AR005,Confederate,Thomas C. Hindman,Major General,False,Hindman,Thomas,C.,
AR005,US,James G. Blunt,Brigadier General,False,Blunt,James,G.,
AR005,US,Francis J. Herron,Brigadier General,False,Herron,Francis,J.,
AR006,Confederate,Thomas J. Churchill,Brigadier General,False,Churchill,Thomas,J.,
AR006,US,John A. McClernand,Major General,False,McClernand,John,A.,
AR006,US,David D. Porter,Acting Rear Admiral,True,Porter,David,D.,
AR007,Confederate,John S. Marmaduke,Brigadier General,False,Marmaduke,John,S.,
AR007,US,William Vandever,Brigadier General,False,Vandever,William,,
AR008,Confederate,Theophilus H. Holmes,Lieutenant General,False,Holmes,Theophilus,H.,
AR008,US,Benjamin M. Prentiss,Major General,False,Prentiss,Benjamin,M.,
AR008,US,James M. Prichett,Lieutenant Commander,True,Prichett,James,M.,
AR009,Confederate,William L. Cabell,Brigadier General,False,Cabell,William,L.,
AR009,US,William F. Cloud,Colonel,False,Cloud,William,F.,
AR010,Confederate,John S. Marmaduke,Brigadier General,False,Marmaduke,John,S.,
AR010,US,Frederick Steele,Major General,False,Steele,Frederick,,
AR010,US,John W. Davidson,Brigadier General,False,Davidson,John,W.,
AR011,Confederate,John S. Marmaduke,Brigadier General,False,Marmaduke,John,S.,
AR011,US,Powell Clayton,Colonel,False,Clayton,Powell,,
AR012,Confederate,John S. Marmaduke,Brigadier General,False,Marmaduke,John,S.,
AR012,US,Frederick Steele,Major General,False,Steele,Frederick,,
AR013,Confederate,Sterling Price,Major General,False,Price,Sterling,,
AR013,US,Frederick Steele,Major General,False,Steele,Frederick,,
AR014,Confederate,John S. Marmaduke,Brigadier General,False,Marmaduke,John,S.,
AR014,Confederate,Samuel Bell Maxey,Brigadier General,False,Maxey,Samuel,Bell,
AR014,US,James M. Williams,Colonel,False,Williams,James,M.,
