battle,belligerent,description,strength
AL001,Confederate,"Cavalry Corps, Department of Alabama, Mississippi, and East Louisiana",
AL001,US,"Elements of the 51st Indiana Infantry, 73rd Indiana Infantry, 3rd Ohio Infantry, 80th Illinois Infantry, and the 1st Middle Tennessee Cavalry (5th Tennessee Volunteer Cavalry Regiment)",
AL002,Confederate,"Cavalry Corps, Department of Alabama, Mississippi, and East Louisiana",
AL002,US,"110th USCT, 102th Ohio Infantry (detachment), 18th Michigan Infantry (detachment), 111th USCT, 4th Cavalry Division",
AL003,Confederate,"Buchanan’s Flotilla (CSS Tennessee, gunboats Selma, Morgan and Gaines), Fort Morgan garrison, Fort Gaines garrison, and Fort Powell garrison",
AL003,US,West Gulf Blockading Squadron and U.S. Army forces near Mobile,
AL004,Confederate,Army of Tennessee,
AL004,US,"Garrison at Decatur; US Army Gunboat Stone River, USS General Thomas; detachments of 102 Ohio Infantry, 18th Michigan Infantry, 13th Wisconsin Infantry, 14th US Colored Infantry, 73rd Indiana Infantry, 68th Indiana Infantry, and 13th Indiana Cavalry",
AL005,Confederate,Spanish Fort garrison,
AL005,US,Army of West Mississippi,
AL006,Confederate,"Fort Blakely Garrison, CSS Huntsville, CSS Nashville, CSS Morgan",
AL006,US,Army of West Mississippi,
AL007,Confederate,"Cavalry Corps, Department of Alabama, Mississippi, and East Louisiana; General Daniel W. Adams' state reserves; citizens of Selma who volunteered to man the defenses",
AL007,US,"Cavalry Corps, Military Division of the Mississippi",
AR001,Confederate,Army of the West,
AR001,US,Army of the Southwest,
AR002,Confederate,Saint Chares batteries,
AR002,US,"Flotilla of the Mississippi River Squadron (USS Mound City, USS Saint Louis, USS Lexington, USS Conestoga, two transports, and a tug) and the 46th Indiana Infantry",
AR003,Confederate,"12th, 16th and 17th Texas Cavalry Regiments",
AR003,US,"Portions of the 1st and 2nd Brigades, 1st Division, Army of the Southwest",
AR004,Confederate,Marmaduke’s Cavalry Division,
AR004,US,"1st Division, Army of the Frontier",
AR005,Confederate,Army of the Trans-Mississippi,
AR005,US,Army of the Frontier,
AR006,Confederate,Fort Hindman garrison,
AR006,US,Army of the Mississippi and a flotilla of the Mississippi River Squadron,
AR007,Confederate,Marmaduke’s Cavalry Division,
AR007,US,"Second Division, Army of the Frontier",
AR008,Confederate,District of Arkansas,
AR008,US,"District of Eastern Arkansas, Timberclad gunboat USS Tyler",
AR009,Confederate,Cabell's Brigade,
AR009,US,"2nd Kansas Cavalry, 6th Missouri Cavalry, two sections of Rabb’s 2nd Indiana Battery, and two mountain howitzers",
AR010,Confederate,District of Arkansas,
AR010,US,"Cavalry Division, Army of Arkansas",
AR011,Confederate,Marmaduke’s Cavalry Division,
AR011,US,"5th Kansas Cavalry, 1st Indiana Cavalry, one company of Missouri State Militia, and 300 freedmen volunteers",
AR012,Confederate,Marmaduke’s Cavalry Division,
AR012,US,"Third Division, VII Corps, Department of Arkansas",
AR013,Confederate,District of Arkansas,
AR013,US,"Third Division, VII Corps, Department of Arkansas",
AR014,Confederate,Marmaduke's Cavalry Division and Maxey's Cavalry Division,
AR014,US,"1st Kansas Volunteer Infantry (Colored) and the 18th Iowa Infantry; 6th Kansas, 2nd Kansas, and 14th Kansas Cavalry regiments; and two guns of the 2nd Indiana Battery",
AR015,Confederate,Shelby’s Division and Cabell’s Division,
AR015,US,"43rd Indiana, 36th Iowa, and 77th Ohio Infantry; 1st Indiana, 7th Missouri, and 1st Iowa Cavalry; two sections of the 2nd Missouri Light Artillery",
AR016,Confederate,"Walker's Division, the Arkansas Division, the Missouri Division, and Marmaduke's Cavalry Division, Department of Arkansas",
AR016,US,"Third Division and elements of Thayer’s Frontier Division, Army of Arkansas",
AR017,Confederate,Greene's Brigade,
AR017,US,"1st and 3rd Brigades, 1st Division, XVI Corps",
AR018,Confederate,Marmaduke’s Cavalry Division and Dobbins’ Arkansas Regiment,
AR018,US,"1st Cavalry Division, Department of the Missouri, Arkansas Expedition",
CO001,Native American,500 Cheyenne and a few Arapaho (mostly women and children),500
CO001,US,Chivington’s Brigade (approximately 700 men),700
DC001,Confederate,"Morgan’s Cavalry Division, 1,800",
