battle,belligerent,description,strength_min,strength_max,casualties,killed,wounded,missing,captured
AL001,Confederate,three regiments,,,65,,,,
AL001,US,"Men from 51st Indiana Infantry, 73rd Indiana Infantry, 3rd Ohio Infantry, 80th Illinois Infantry, and 1st Middle Tennessee Cavalry",,,23,,,,
AL002,Confederate,1st Alabama Cavalry,,,30,,,,
AL002,US,9th Illinois Mounted Infantry,,,20,,,,
AL003,Confederate,"Buchanan's Flotilla (3 gunboats and an ironclad), Fort Morgan Garrison, Fort Gaines Garrison, and Fort Powell Garrison",,,1500,,,,
AL003,US,Farragut's Fleet (14 wooden ships and 4 monitors) and U.S. army forces near Mobile,,,322,,,,
AL004,Confederate,Army of Tennessee,,,450,,,,
AL004,US,"Garrison and other troops sent there (approx. 5,000 men)",5000,5000,155,,,,
AL005,Confederate,Spanish Fort Garrison,,,744,,,,
AL005,US,XVI and XIII Corps,,,657,,,,
AL006,Confederate,Fort Blakely Garrison,,,3677,,,,
AL006,US,XIII and XVI Corps,,,798,,,,
AL007,Confederate,"troops in city (approx. 5,000 men)",5000,5000,2700,,,,
AL007,US,Two cavalry divisions,,,319,,,,
AR001,Confederate,Army of the West,,,4600,,,,
AR001,US,Army of the Southwest,,,1349,,,,
AR002,Confederate,fifty men and C.S. boats,,,155,,,,
AR002,US,46th Indiana and Union Gunboat,,,135,,,,
AR003,Confederate,unknown,,,245,,,,
AR003,US,"1st and 2nd Brigade, 1st Division, Army of the Southwest",,,63,,,,
AR004,Confederate,two cavalry brigades,,,435,,,,
AR004,US,Department of Missouri,,,40,,,,
AR005,Confederate,"I Corps, Trans-Mississippi Army",,,1317,,,,
AR005,US,Army of the Frontier,,,1251,,,,
AR006,Confederate,Fort Hindman Garrison,,,5500,,,,
AR006,US,Army of the Mississippi,,,1047,,,,
AR007,Confederate,Marmaduke's Cavalry Division,,,,,,,
AR007,US,"2nd Division, Army of the Frontier and force under command of Brig. Gen. John McNeil",,,,,,,
AR008,Confederate,District of Arkansas,,,1636,,,,
