PersonID,Keyword
aa49135f-0a49-45bd-8360-000895a6b978,European American
aa49135f-0a49-45bd-8360-000895a6b978,Union
aa49135f-0a49-45bd-8360-000895a6b978,Commanders
aa49135f-0a49-45bd-8360-000895a6b978,Soldiers
aa49135f-0a49-45bd-8360-000895a6b978,US - Commander - MS016
aa49135f-0a49-45bd-8360-000895a6b978,Commanders - Army
aa49135f-0a49-45bd-8360-000895a6b978,Military
aa49135f-0a49-45bd-8360-000895a6b978,Major General
aa49135f-0a49-45bd-8360-000895a6b978,MWV
aa49135f-0a49-45bd-8360-000895a6b978,Male
a35f09f2-1d82-485d-96c1-00e23cc44a16,European American
a35f09f2-1d82-485d-96c1-00e23cc44a16,Commanders
a35f09f2-1d82-485d-96c1-00e23cc44a16,Soldiers
a35f09f2-1d82-485d-96c1-00e23cc44a16,Commanders - Army
a35f09f2-1d82-485d-96c1-00e23cc44a16,Military
a35f09f2-1d82-485d-96c1-00e23cc44a16,Brigadier General
a35f09f2-1d82-485d-96c1-00e23cc44a16,Male
a35f09f2-1d82-485d-96c1-00e23cc44a16,Confederate
1335cadd-d833-4e9b-ae7d-012211c3da64,European American
1335cadd-d833-4e9b-ae7d-012211c3da64,Commanders
1335cadd-d833-4e9b-ae7d-012211c3da64,Commanders - Army
1335cadd-d833-4e9b-ae7d-012211c3da64,Soldier
1335cadd-d833-4e9b-ae7d-012211c3da64,Military
1335cadd-d833-4e9b-ae7d-012211c3da64,Brigadier General
1335cadd-d833-4e9b-ae7d-012211c3da64,Male
1335cadd-d833-4e9b-ae7d-012211c3da64,Confederate
ecb8a078-2c3c-4056-b2b5-013fe3e91fa3,European American
ecb8a078-2c3c-4056-b2b5-013fe3e91fa3,Commander in Chief
ecb8a078-2c3c-4056-b2b5-013fe3e91fa3,Military
ecb8a078-2c3c-4056-b2b5-013fe3e91fa3,Politician
ecb8a078-2c3c-4056-b2b5-013fe3e91fa3,Civilian
ecb8a078-2c3c-4056-b2b5-013fe3e91fa3,Male
