date,description,confederate,union,theater,cwsac_id
1861-04-07,"Fort Sumter, SC -April 12 - 14",4.0,11.0,Lower Seaboard,SC001
1861-05-12,"Sewell's Point, VA - May 18-19",5.0,5.0,Eastern,VA001
1861-05-19,Ellsworth's death,0.0,1.0,Eastern,
1861-05-26,"Aquia Creek, VA - May 29-June 1",5.0,5.0,Eastern,VA002
1861-06-02,"Philippi, WVA - June 3",6.0,5.0,Eastern,WV001
1861-06-09,Big Bethel. VA - June 10,8.0,76.0,Eastern,VA003
1861-06-16,"Boonville, MO - June 17",12.0,12.0,Trans-Mississippi,MO001
1861-06-30,"Hoke's Run, WVA - July 2",25.0,73.0,Eastern,WV002
1861-06-30,"Carthage, MO July 5",74.0,44.0,Trans-Mississippi,MO002
1861-07-07,"Rich Mountain, WVA - July 11",638.0,74.0,Eastern,WV003
1861-07-14,"Blackburn's Ford, VA - July 18",68.0,83.0,Eastern,VA004
1861-07-21,"1st Bull Run (Manassas), VA - July 21",1982.0,2896.0,Eastern,VA005
1861-08-04,"Wilson's Creek, MO August 10",1222.0,1317.0,Trans-Mississippi,MO004
1861-08-25,Kessler's Cross Lanes. WVA - August 26,40.0,132.0,Eastern,WV004
1861-08-25,"Hatteras Inlet Forts, NC - August 28-29",670.0,3.0,Eastern,NC001
1861-09-01,"Dry Wood Creek, MO",,14.0,Trans-Mississippi,MO005
1861-09-08,"Camifex Ferry, WVA - September 10",32.0,158.0,Eastern,WV006
1861-09-08,"Cheat Mountain, WVA - September 12-15",100.0,71.0,Eastern,WV005
1861-09-15,"Lexington I, MO - September 13-20",100.0,3500.0,Trans-Mississippi,MO006
1861-09-15,"Liberty (Blue Mills), MO - September 17",70.0,56.0,Trans-Mississippi,MO003
1861-09-15,"Barbourville, KY September 19",5.0,15.0,Western,KY001
1861-09-29,"Greenbrier River, WVA - October 3",52.0,43.0,Eastern,WV007
1861-10-06,"Santa Rosa Island, FL - October 9",87.0,67.0,Lower Seaboard,FL001
1861-10-20,Ball's Bluff. VA October 21,149.0,921.0,Eastern,VA006
1861-10-20,"Fredericktown, MO - October 21",62.0,,Trans-Mississippi,MO007
1861-10-20,"Camp Wildcat, KY - October 21",53.0,43.0,Western,KY002
1861-10-20,"Springfield I, MO - October 25",133.0,85.0,Trans-Mississippi,MO008
1861-11-03,"Belmont, MO - November 7",641.0,607.0,Western,MO009
1861-11-03,"Ivy Mountain, KY - November 8-9",263.0,30.0,Western,KY003
1861-11-17,"Round Mountain, OK - November 19",10.0,,Trans-Mississippi,OK001
1861-12-08,"Chusto-Talasah, OK - December 9",52.0,412.0,Trans-Mississippi,OK002
1861-12-08,"Camp Allegheny, WVA - December 1 3",146.0,137.0,Eastern,WV008
1861-12-15,Rowlett's Station. KY - December 17,91.0,40.0,Western,KY004
1861-12-15,"Dranesville, VA - December 20",230.0,71.0,Eastern,VA007
1861-12-22,Chustenahlah OK December 26,40.0,211.0,Trans-Mississippi,OK003
1861-12-22,Mount Zion Church. MO - December 28,210.0,72.0,Trans-Mississippi,MO010
1862-01-05,"Hancock, MD & Morgan. WVA - Jan. 5-6",12.0,13.0,Eastern,MD001
1862-01-05,Roan's Tan Yard. MO January 8,80.0,11.0,Trans-Mississippi,MO011
1862-01-05,Middle Creek. KY - January 10,65.0,27.0,Western,KY005
1862-01-19,Mill Springs. KY - January 19,529.0,262.0,Western,KY006
1862-02-02,"Fort Henry, TN February 6",99.0,47.0,Western,TN001
1862-02-02,"Roanoke Island, NC - February 7-8",2643.0,264.0,Eastern,NC002
1862-02-09,"Fort Donelson, TN - February 12-16",17000.0,2832.0,Western,TN002
1862-02-16,Valverde. NM - February 20-21,187.0,263.0,Trans-Mississippi,NM001
1862-03-02,"Pea Ridge, AK - March 6-8",2000.0,1384.0,Trans-Mississippi,AR001
1862-03-02,"Hampton Roads, VA - March 8-9",24.0,409.0,Eastern,VA008
1862-03-09,"New Madrid, MS, Is. # 10,TN - Feb 28-April 8",7000.0,51.0,Western,MO012
1862-03-09,New Bern. NC - March 14,609.0,476.0,Eastern,NC003
1862-03-23,"First Kernstown, VA March 23",718.0,590.0,Eastern,VA101
1862-03-23,"Glorieta Pass, NM - March 26-28",227.0,132.0,Trans-Mississippi,NM002
1862-04-06,Shiloh. TN - April 6-7,10699.0,13047.0,Western,TN003
1862-04-06,Fort Pulaski. GA-April 10-11,1.0,364.0,Lower Seaboard,GA001
1862-04-13,"Fts. Jackson & St. Philip, LA-April 16-28",782.0,229.0,Lower Seaboard,LA001
1862-04-13,"South Mills, NC - April 19",25.0,114.0,Eastern,NC005
1862-04-13,"Siege of Yorktown, VA-April 5-May 4",300.0,182.0,Eastern,VA009
1862-04-20,"Fort Macon, NC - April 25-26",3.0,439.0,Eastern,NC004
1862-04-27,New Orleans. LA - April 25-May 1,0.0,0.0,Lower Seaboard,LA002
1862-05-04,Williamsburg. VA - May 5,1560.0,2283.0,Eastern,VA010
1862-05-04,"Eltham's Landing, VA - May 7",48.0,186.0,Eastern,VA011
1862-05-04,"McDowell, VA - May 8",500.0,256.0,Eastern,VA102
1862-05-11,"Drewry's Bluff, VA - May 15",15.0,24.0,Eastern,VA012
1862-05-11,"Princeton Courthouse, WVA - May 15-17",16.0,129.0,Eastern,WV009
1862-05-18,"Front Royal, VA - May 23",56.0,904.0,Eastern,VA103
1862-05-18,"Siege of Corinth, TN April 29 May 30",1000.0,1000.0,Western,MS016
1862-05-25,First Winchester. VA - May 25,400.0,2019.0,Eastern,VA104
1862-05-25,Hanover Court House. VA - May 27,746.0,355.0,Eastern,VA013
1862-05-25,Seven Pines. VA - May 31-June 1,6100.0,5000.0,Eastern,VA014
1862-06-01,Tranter's Creek. NC - June 5,20.0,20.0,Eastern,NC006
1862-06-01,"Memphis I, TN June 6",180.0,1.0,Western,TN004
1862-06-01,"Chanttanooga I, TN - June 7-8",3.0,,Western,TN005
1862-06-08,"Cross Keys, VA - June 8",288.0,684.0,Eastern,VA105
1862-06-08,"Port Republic, VA - June 9",800.0,1000.0,Eastern,VA106
1862-06-15,"Charleston, SC - June 16",204.0,683.0,Lower Seaboard,
1862-06-15,"St Charles, AR - June 17",40.0,160.0,Trans-Mississippi,AR002
1862-06-22,"Oak Grove, VA - June 25",411.0,626.0,Eastern,VA015
1862-06-22,Beaver Dam Creek. VA - June 26,1484.0,361.0,Eastern,VA016
1862-06-22,"Gaines' Mill, VA - June 27",8750.0,6837.0,Eastern,VA017
