battle_id,belligerent,str,kia,wia,kw,miapow
1,Confederate,32232,387,1582,1969,12
1,Union,28452,481,1011,1492,1216
2,Confederate,11600,257,900,1157,27
2,Union,5400,223,721,944,291
3,Confederate,21000,,,2000,14623
3,Union,27000,500,2108,2608,224
4,Confederate,14000,,,600,200
4,Union,11250,203,980,1183,201
5,Confederate,40335,1723,8012,9735,959
5,Union,62682,1754,8408,10162,2885
6,Confederate,31823,,,1570,133
6,Union,40768,456,1410,1866,373
7,Confederate,41816,980,4749,5729,405
7,Union,41797,790,3594,4384,647
8,Confederate,16356,,,1484,
8,Union,15631,49,207,256,105
9,Confederate,57018,,,8751,
9,Union,34214,894,3107,4001,2836
10,Confederate,86748,,,8602,875
10,Union,83345,724,4245,4969,3067
11,Confederate,95481,3478,16261,19739,875
11,Union,91169,1734,8062,9796,6053
12,Confederate,16868,231,1107,1338,
12,Union,8030,314,1445,1759,594
13,Confederate,48527,1481,7627,9108,89
13,Union,75696,1724,8372,10096,5958
14,Confederate,6850,78,372,450,1
14,Union,6500,206,844,1050,4303
15,Confederate,17852,325,1560,1885,800
15,Union,28480,325,1403,1728,85
16,Confederate,51844,2700,9024,11724,2000
16,Union,75316,2108,9549,11657,753
17,Confederate,22000,473,1997,2470,1763
17,Union,21147,355,1841,2196,324
18,Confederate,16000,510,2635,3145,251
18,Union,36940,845,2851,3696,515
19,Confederate,10000,164,817,981,336
19,Union,10000,175,813,988,263
20,Confederate,72497,595,4061,4656,653
20,Union,106007,1284,9600,10884,1769
21,Confederate,13792,63,134,197,10
21,Union,30720,208,1005,1213,563
22,Confederate,34732,1294,7945,9239,2500
22,Union,41400,1677,7543,9220,3686
23,Confederate,4564,28,81,109,4791
23,Union,28944,134,898,1032,29
24,Confederate,57352,1665,9081,10746,2018
24,Union,97382,1575,9594,11169,5676
25,Confederate,20000,381,1800,2181,1670
25,Union,29373,410,1844,2254,187
26,Confederate,22301,,,6240,
26,Union,45556,502,2550,3052,147
27,Confederate,4192,,,235,
27,Union,13000,293,1545,1838,157
28,Confederate,3487,22,25,47,
28,Union,6000,203,1401,1604,188
29,Confederate,75054,3903,18735,22638,5425
29,Union,83289,3155,14529,17684,5365
30,Confederate,1785,36,133,169,5
30,Union,5264,246,880,1126,389
31,Confederate,66326,2312,14674,16986,1468
31,Union,58222,1657,9756,11413,4757
32,Confederate,46165,361,2160,2521,4146
32,Union,56359,753,4722,5475,349
33,Confederate,44426,110,570,680,65
33,Union,69643,173,1099,1272,381
34,Confederate,5200,93,841,934,
34,Union,5115,203,1152,1355,506
35,Confederate,14300,,,1000,500
35,Union,12647,150,844,994,375
36,Confederate,61025,,,7750,
36,Union,101895,2246,12037,14283,3383
37,Confederate,,,,,
37,Union,37822,753,3347,4100,
38,Confederate,,,,,
38,Union,65785,,,6020,800
39,Confederate,18025,,,2860,210
39,Union,15800,390,2380,2770,1390
40,Confederate,,,,,
40,Union,107907,,,12000,
41,Confederate,41499,,,,
41,Union,63797,,,8150,
42,Confederate,11466,,,,
42,Union,20708,,,2864,929
43,Confederate,20008,,,,
43,Union,27974,328,1852,2180,721
44,Confederate,14787,,,1200,419
44,Union,20289,198,1105,1303,3152
45,Confederate,66089,,,9187,
45,Union,110123,,,10528,1240
46,Confederate,17733,,,270,172
46,Union,16225,,,1999,52
47,Confederate,6600,210,1116,1326,
47,Union,14000,77,559,636,38
48,Confederate,18832,,,2500,
48,Union,20139,,,1600,
49,Confederate,36934,,,7000,1000
49,Union,30477,430,1559,1989,1733
50,Confederate,18450,,,4100,200
50,Union,13226,,,559,73
51,Confederate,23811,,,1725,
51,Union,14170,,,179,
52,Confederate,12661,,,,
52,Union,20460,223,946,1169,105
53,Confederate,17103,276,1827,2103,1818
53,Union,37711,697,3983,4680,338
54,Confederate,10836,,,,
54,Union,19639,383,2299,2682,645
55,Confederate,18410,320,1540,1860,1050
55,Union,30829,644,3430,4074,1591
56,Confederate,20324,,,,
56,Union,42823,166,1028,1194,564
57,Confederate,26897,1750,3800,5550,702
57,Union,27939,189,1033,1222,1104
58,Confederate,23207,,,,4462
58,Union,49773,387,2562,2949,112
59,Confederate,13835,,,,
59,Union,34517,170,1160,1330,182
60,Confederate,16895,195,1313,1508,610
60,Union,16127,139,794,933,170
61,Confederate,49496,,,6266,43230
61,Union,112992,1316,7750,9066,1714
62,Confederate,20030,,,,
62,Union,45247,,,2198,583
63,Confederate,18576,,,,
63,Union,63299,625,3189,3814,326
