cwsac_id,belligerent,unit_code,companies,batteries,detachment,section,added,src,comment
AL001,US,UIL0080RI,,,,,FALSE,DYER,
AL001,US,UIN0051RI,,,,,FALSE,DYER,
AL001,US,UIN0073RI,,,,,FALSE,DYER,
AL001,US,UOH0003RI01,,,,,FALSE,DYER,
AL002,Confederate,CAL0004RC01,,,,,FALSE,CRUTE,
AL002,Confederate,CAL0011RC,,,,,FALSE,CRUTE,
AL002,Confederate,CTN0021RC02,,,,,FALSE,CRUTE,
AL002,US,UIL0009RI01,,,,,FALSE,DYER,
AL003,Confederate,CAL0001BA,,,,,FALSE,CRUTE,
AL003,Confederate,CAL0001R0V,,,,,FALSE,CRUTE,
AL003,Confederate,CAL0002BAL,,,,,FALSE,CRUTE,
AL003,Confederate,CAL0002RIR,,,,,FALSE,CRUTE,
AL003,Confederate,CAL0021RI,,,,,FALSE,CRUTE,
AL003,US,UIL0077RI,,,,,FALSE,DYER,
AL003,US,UIL0094RI,,,,,FALSE,DYER,
AL003,US,UIN0001RAH,,,,,FALSE,DYER,
AL003,US,UIN0067RI,,,,,FALSE,DYER,
AL003,US,UMD0003RC,,,,,FALSE,DYER,
AL003,US,UOH0017YAL,,,,,FALSE,DYER,
AL003,US,UUR0005RA,,,,,FALSE,DYER,
AL003,US,UUS0096RI00C,,,,,FALSE,DYER,
AL003,US,UWI0020RI,,,,,FALSE,DYER,
AL005,Confederate,CAL0001R0V,,,,,FALSE,CRUTE,
AL005,Confederate,CAL0001RIR,,,,,FALSE,CRUTE,
AL005,Confederate,CAL0002BAL,,,,,FALSE,CRUTE,
AL005,Confederate,CAL0002RIR,,,,,FALSE,CRUTE,
AL005,Confederate,CAL0018RI,,,,,FALSE,CRUTE,
AL005,Confederate,CAL0021RI,,,,,FALSE,CRUTE,
AL005,Confederate,CAL0032RI01,,,,,FALSE,CRUTE,
AL005,Confederate,CAL0036RI,,,,,FALSE,CRUTE,
AL005,Confederate,CAL0038RI,,,,,FALSE,CRUTE,
AL005,Confederate,CLA0022RI02,,,,,FALSE,CRUTE,
AL005,US,UCT0002YAL,,,,,FALSE,DYER,
AL005,US,UFL0001RC01,,,,,FALSE,DYER,
AL005,US,UIA0002YAL,,,,,FALSE,DYER,
AL005,US,UIA0008RI,,,,,FALSE,DYER,
AL005,US,UIA0012RI,,,,,FALSE,DYER,
AL005,US,UIA0019RI,,,,,FALSE,DYER,
AL005,US,UIA0020RI,,,,,FALSE,DYER,
AL005,US,UIA0021RI,,,,,FALSE,DYER,
AL005,US,UIA0023RI,,,,,FALSE,DYER,
AL005,US,UIA0027RI,,,,,FALSE,DYER,
AL005,US,UIA0029RI,,,,,FALSE,DYER,
AL005,US,UIA0032RI,,,,,FALSE,DYER,
AL005,US,UIA0033RI,,,,,FALSE,DYER,
AL005,US,UIA0034RI,,,,,FALSE,DYER,
AL005,US,UIA0035RI,,,,,FALSE,DYER,
AL005,US,UIL0002RAL,,,,,FALSE,DYER,
AL005,US,UIL0002RC,,,,,FALSE,DYER,
AL005,US,UIL0008RI01,,,,,FALSE,DYER,
AL005,US,UIL0011RI01,,,,,FALSE,DYER,
AL005,US,UIL0028RI,,,,,FALSE,DYER,
AL005,US,UIL0029RI,,,,,FALSE,DYER,
AL005,US,UIL0033RI,,,,,FALSE,DYER,
AL005,US,UIL0037RI,,,,,FALSE,DYER,
AL005,US,UIL0046RI,,,,,FALSE,DYER,
AL005,US,UIL0047RI,,,,,FALSE,DYER,
AL005,US,UIL0058RI,,,,,FALSE,DYER,
AL005,US,UIL0076RI,,,,,FALSE,DYER,
