abbr,description
B,Marine Brigade (Union Other Volunteers)
D,Drafted or Conscripts (Non Militia)
E,Enrolled Militia
G,Home Guard
H,Heavy Artillery
J,Junior Reserves
L,Light Artillery
M,"Militia (Non-Drafted, Non-Enrolled or Non-State)"
N,National Guard
P,Pioneer Brigade (Union Other Volunteers)
R,Reserves (Non-Senior and Non-Junior)
S,"State (State Guard, State Line, State Troops, etc) (Non Militia)"
T,Mounted
U,Veteran (Non Volunteer)
V,Volunteers (Non Veteran)
W,Veteran Volunteers
X,Drafted Militia
Y,State Militia
Z,Senior Reserves
