battle_id,battle_name,state,start_date,end_date,surrender,campaign,page
2262,"Bull Run, Va",VA,1861-07-21,1861-07-21,0,0,213
2263,"Wilson's Creek, Va",VA,1861-08-10,1861-08-10,0,0,213
2264,"Lexington, Mo",MO,1861-09-12,1861-09-20,0,0,213
2265,"Ball's Bluff, Va",VA,1861-10-21,1861-10-21,0,0,213
2266,"Belmont, Mo",MO,1861-11-7,1861-11-7,0,0,213
2267,"Fort Donelson, Tenn",TN,1862-2-14,1862-2-16,0,0,213
2268,"Pea Ridge, Ark",AR,1862-3-6,1862-3-8,0,0,213
2269,"Newbern, N.C.",NC,1862-3-14,1862-3-14,0,0,213
2270,"Winchester, Va",VA,1862-3-23,1862-3-23,0,0,213
2271,"Shiloh, Tenn.",TN,1862-4-6,1862-4-7,0,0,213
2272,"Williamsburg, Va",VA,1862-5-5,1862-5-5,0,0,213
2273,"Front Royal, Va",VA,1862-5-23,1862-5-23,0,0,213
2274,"Winchester, Va",VA,1862-5-25,1862-5-25,0,0,213
2275,"Seven Pines and Fair Oaks, Va",VA,1862-5-31,1862-6-1,0,0,213
2276,"Cross Keys, Va",VA,1862-6-8,1862-6-8,0,0,213
2277,"Fort Republic, Va",VA,1862-6-09,1862-6-09,0,0,214
2278,"Secessionville, James Island, S.C.",SC,1862-6-16,1862-6-16,0,0,214
2279,"Oak Grove, Va",VA,1862-6-25,1862-6-25,0,0,214
2280,"Seven Day's retreat; includes Mechanicsville, Gaines' Mills, Chickahominy, Peach Orchard, Savage Station, Charles City Cross Roads, and Malvern Hill",VA,1862-6-26,1862-7-1,0,1,214
2281,"Murfreesboro, Tenn.",TN,1862-7-13,1862-7-13,0,0,214
2282,"Cedar Mountain, Va",VA,1862-8-8,1862-8-8,0,0,214
2283,Guerilla campaign in Missouri; includes with Porter's and Poindexter's Guerrillas,MO,1862-7-20,1862-9-20,0,1,214
2284,"Groveton and Gainesville, Va",VA,1862-8-28,1862-8-29,0,0,214
2285,"Bull Run, Va (2d)",VA,1862-8-30,1862-8-30,0,0,214
2286,"Richmond, Ky",KY,1862-8-30,1862-8-30,0,0,214
2287,"Chantilly, Va",VA,1862-9-1,1862-9-1,0,0,214
2288,"Harper's Ferry, Va",VA,1862-9-12,1862-9-15,0,0,214
2289,"Turner's and Crampton's Gaps, South Mountain, Md",MD,1862-9-14,1862-9-14,0,0,214
2290,"Mumfordsville, Ky",KY,1862-9-14,1862-9-16,0,0,214
2291,"Antietam, Md",MD,1862-9-17,1862-9-17,0,0,214
2292,"Iuka, Miss",MS,1862-9-19,1862-9-20,0,0,214
2293,"Corith, Miss",MS,1862-10-3,1862-10-4,0,0,214
2294,"Big Hatchie River, Miss",MS,1862-10-5,1862-10-5,0,0,214
2295,"Perryville, Ky",KY,1862-10-8,1862-10-8,0,0,214
2296,"Prarie Grove, Ark",AR,1862-12-7,1862-12-7,0,0,214
2297,"Hartsville, Tenn.",TN,1862-12-7,1862-12-7,0,0,215
2298,"Foster's expedition to Goldsboro, N.C.",NC,1862-12-12,1862-12-18,0,1,215
2299,"Fredericksburg, Va",VA,1862-12-13,1862-12-13,0,0,215
2300,"Holly Springs, Miss",MS,1862-12-20,1862-12-20,0,0,215
2301,"Elizabethtown, Ky",KY,1862-12-27,1862-12-27,0,0,215
2302,"Chickasaw Bayou, Vicksburg, Miss",MS,1862-12-28,1862-12-29,0,0,215
2303,"Stone's River, Tenn",TN,1862-12-31,1863-1-2,0,0,215
2304,"Galveston, Texas",TX,1863-1-1,1863-1-1,0,0,215
2305,"Fort Hindman, Arkansas Post, Ark",AR,1863-1-11,1863-1-11,0,0,215
2306,"Thompson's Station, Tenn",TN,1863-3-4,1863-3-5,0,0,215
2307,"Streight's raid from Tuscumbia, Ala., to Rome, Ga.",AL,1863-4-27,1863-5-3,0,1,215
2308,"Port Gibson, Miss",MS,1863-5-1,1863-5-1,0,0,215
