battle_id,belligerent,casualties,killed,wounded,missing
2262,Confederate,1752,,,
2262,US,2952,481,1011,1460
2263,Confederate,1095,,,
2263,US,1235,223,721,291
2264,Confederate,100,,,
2264,US,1774,42,108,1624
2265,Confederate,302,,,
2265,US,894,223,226,445
2266,Confederate,966,,,
2266,US,498,90,173,235
2267,Confederate,15067,,,
2267,US,2331,446,1735,150
2268,Confederate,5200,,,
2268,US,1349,203,972,174
2269,Confederate,583,,,
2269,US,557,91,466,
2270,Confederate,691,,,
2270,US,567,103,440,24
2271,Confederate,10699,,,
2271,US,13573,1735,7882,3956
2272,Confederate,1000,,,
2272,US,2228,456,1400,372
2273,Confederate,,,,
2273,US,904,32,122,750
2274,Confederate,,,,
2274,US,904,38,155,711
2275,Confederate,7997,,,
2275,US,5739,890,3627,1222
2276,Confederate,287,,,
2276,US,625,125,500,
2277,Confederate,657,,,
2277,US,1002,67,361,574
2278,Confederate,204,,,
2278,US,685,85,472,128
2279,Confederate,541,,,
2279,US,516,51,401,64
2280,Confederate,17583,,,
2280,US,15249,1582,7709,5958
2281,Confederate,150,,,
2281,US,895,33,62,800
2282,Confederate,1367,,,
2282,US,1400,450,660,290
2283,Confederate,2866,,,
2283,US,580,77,156,347
2284,Confederate,7000,,,
2284,US,7000,,,
2285,Confederate,3700,,,
2285,US,7800,800,4000,3000
2286,Confederate,750,,,
2286,US,4900,200,700,4000
2287,Confederate,800,,,
2287,US,1300,,,
2288,Confederate,500,,,
2288,US,11783,80,120,11583
2289,Confederate,4343,,,
2289,US,2325,443,1806,76
2290,Confederate,714,,,
2290,US,3616,50,,3566
2291,Confederate,25899,,,
2291,US,12469,2010,9416,1043
2292,Confederate,1516,,,
2292,US,782,144,598,40
2293,Confederate,14221,,,
2293,US,2359,315,1812,232
2294,Confederate,400,,,
2294,US,500,,,
2295,Confederate,7000,,,
2295,US,4348,916,2943,489
2296,Confederate,1500,,,
2296,US,1148,167,798,183
2297,Confederate,149,,,
2297,US,1855,55,,1800
2298,Confederate,789,,,
2298,US,577,90,478,9
