battle_id,battle_name,cwsac_id,start_date,end_date,campaign,county,url
1,First Kernstown,VA101,1862-03-23,1862-03-23,Jackson's Valley Campaign,"Frederick, VA;City of Winchester, VA",http://www.nps.gov/abpp/shenandoah/svs3-1.html
10,Cool Spring,VA114,1864-07-18,1864-07-18,Early's Maryland Campaign,"Clarke, VA",http://www.nps.gov/abpp/shenandoah/svs3-10.html
11,Second Kernstown,VA116,1864-07-24,1864-07-24,Early's Maryland Campaign,"Frederick, VA;City of Winchester, VA",http://www.nps.gov/abpp/shenandoah/svs3-11.html
7,Second Winchester,VA107,1863-06-13,1863-06-15,Gettysburg Campaign,"Frederick, VA;City of Winchester, VA",http://www.nps.gov/abpp/shenandoah/svs3-7.html
6,Port Republic,VA106,1862-06-09,1862-06-09,Jackson's Valley Campaign,"Rockingham, VA",http://www.nps.gov/abpp/shenandoah/svs3-6.html
9,Piedmont,VA111,1864-06-05,1864-06-05,Lynchburg Campaign (Hunter),"Augusta, VA",http://www.nps.gov/abpp/shenandoah/svs3-9.html
14,Tom's Brook,VA121,1864-10-09,1864-10-09,Sheridan's Valley Campaign,"Shenandoah, VA",http://www.nps.gov/abpp/shenandoah/svs3-14.html
5,Cross Keys,VA105,1862-06-08,1862-06-08,Jackson's Valley Campaign,"Rockingham, VA",http://www.nps.gov/abpp/shenandoah/svs3-5.html
4,First Winchester,VA104,1862-05-25,1862-05-25,Jackson's Valley Campaign,"Frederick, VA;City of Winchester, VA",http://www.nps.gov/abpp/shenandoah/svs3-4.html
15,Cedar Creek,VA122,1864-10-19,1864-10-19,Sheridan's Valley Campaign,"Frederick, VA;Warren, VA;Shenandoah, VA",http://www.nps.gov/abpp/shenandoah/svs3-15.html
8,New Market,VA110,1864-05-15,1864-05-15,Lynchburg Campaign (Sigel),"Shenandoah, VA",http://www.nps.gov/abpp/shenandoah/svs3-8.html
12,Opequon,VA119,1864-09-19,1864-09-19,Sheridan's Valley Campaign,"Frederick, VA;City of Winchester, VA",http://www.nps.gov/abpp/shenandoah/svs3-12.html
3,Front Royal,VA103,1862-05-23,1862-05-23,Jackson's Valley Campaign,"Warren, VA",http://www.nps.gov/abpp/shenandoah/svs3-3.html
2,McDowell,VA102,1862-05-08,1862-05-08,Jackson's Valley Campaign,"Highland, VA",http://www.nps.gov/abpp/shenandoah/svs3-2.html
13,Fisher's Hill,VA120,1864-09-21,1864-09-22,Sheridan's Valley Campaign,"Shenandoah, VA",http://www.nps.gov/abpp/shenandoah/svs3-13.html
