ship_id,name,belligerent,url_dbpedia,url_danfs,notes
CS Bayou City,Bayou City,Confederate,http://dbpedia.org/resource/CS_Bayou_City,http://www.history.navy.mil/research/histories/ship-histories/confederate_ships/bayou-city.html,
CS Neptune,Neptune,Confederate,http://dbpedia.org/resource/CS_Neptune,http://www.history.navy.mil/research/histories/ship-histories/confederate_ships/neptune.html,
CSS Albemarle,Albemarle,Confederate,http://dbpedia.org/resource/CSS_Albemarle,http://www.history.navy.mil/research/histories/ship-histories/confederate_ships/albemarle.html,
CSS Beaufort,Beaufort,Confederate,http://dbpedia.org/resource/CSS_Beaufort,http://www.history.navy.mil/research/histories/ship-histories/confederate_ships/beaufort.html,
CSS Black Warrior,Black Warrior,Confederate,http://dbpedia.org/resource/CSS_Black_Warrior,http://www.history.navy.mil/research/histories/ship-histories/confederate_ships/black-warrior.html,
CSS Bombshell,Bombshell,Confederate,http://dbpedia.org/resource/CSS_Bombshell,http://www.history.navy.mil/research/histories/ship-histories/confederate_ships/bombshell.html,
CSS Chicora,Chicora,Confederate,http://dbpedia.org/resource/CSS_Chicora,http://www.history.navy.mil/research/histories/ship-histories/confederate_ships/chicora.html,
CSS Colonel Lovell,Colonel Lovell,Confederate,http://dbpedia.org/resource/CSS_Colonel_Lovell,http://www.history.navy.mil/research/histories/ship-histories/confederate_ships/colonel-lovell.html,
CSS Cotton Plant,Cotton Plant,Confederate,http://dbpedia.org/resource/CSS_Cotton_Plant,http://www.history.navy.mil/research/histories/ship-histories/confederate_ships/cotton-plant.html,
CSS Curlew,Curlew,Confederate,http://dbpedia.org/resource/CSS_Curlew,http://www.history.navy.mil/research/histories/ship-histories/confederate_ships/curlew-side-wheel-steamer.html,
CSS Defiance,Defiance,Confederate,http://dbpedia.org/resource/CSS_Defiance,http://www.history.navy.mil/research/histories/ship-histories/confederate_ships/defiance.html,
CSS Diana (1862),Diana,Confederate,http://dbpedia.org/resource/USS_Diana_(1862),http://www.history.navy.mil/research/histories/ship-histories/confederate_ships/diana.html,
CSS Ellis,Ellis,Confederate,http://dbpedia.org/resource/CSS_Ellis,http://www.history.navy.mil/research/histories/ship-histories/confederate_ships/ellis.html,
CSS Fanny,Fanny,Confederate,http://dbpedia.org/resource/CSS_Fanny,http://www.history.navy.mil/research/histories/ship-histories/confederate_ships/fanny.html,
CSS Forrest,Forrest,Confederate,http://dbpedia.org/resource/CSS_Forrest,http://www.history.navy.mil/research/histories/ship-histories/confederate_ships/forrest.html,
CSS Gaines,Gaines,Confederate,http://dbpedia.org/resource/CSS_Gaines,http://www.history.navy.mil/research/histories/ship-histories/confederate_ships/gaines.html,
