battleNum,battleDetail,beginDate,endDate,unknownDay,lat,lng,shrtNm,desc,type,killed,usCasTot,csCasTot
0,,1864-01-28,1864-01-28,False,-0.023518286279091,-0.023518286279091,,"Skirmish at Indian Creek, TN",Skirmish,0,0,0
1,,1865-04-02,1865-04-02,False,-0.515018226088235,-0.515018226088235,,"Skirmish near Goldsborough, N. C.",Skirmish,0,0,0
2,TX005,1865-05-12,1865-05-13,False,0.133255234657116,-0.499631467740687,,Battle at Palmetto Ranch,Battle,126,118,8
3,,1864-03-16,1864-03-16,False,0.222193321558772,-0.827827431159189,,"Skirmish at Santa Rosa, Tex.",Skirmish,0,0,0
4,,1864-03-19,1864-03-19,False,0.0724887319984467,-0.262263679953479,,"Attack on Laredo, Tex.",Skirmish,0,0,0
5,,1862-08-16,1862-08-18,False,0.122534766093867,-0.429164861700231,,"Bombardment of Corpus Christi, Tex.",Skirmish,0,0,0
6,,1864-03-17,1864-03-17,False,0.13327548211204,-0.466783066324455,,"Affair at Corpus Christi, Tex.",Skirmish,0,0,0
7,,1864-03-22,1864-03-22,False,0.11142094219757,-0.390239886793425,,"Affair at Corpus Christi, Tex.",Skirmish,0,0,0
8,,1864-02-13,1864-02-14,False,0.146739960494439,-0.430341673965322,,"Skirmishes at Pease Creek, Fla.",Skirmish,0,0,0
9,,1864-02-20,1864-02-20,False,0.228386332571902,-0.669784538162786,,"Skirmish at Pease Creek, Fla.",Skirmish,0,0,0
10,,1863-11-17,1863-11-17,False,0.197816669154028,-0.688635338716676,,"Capture of Confederate battery at Aransas Pass, TX",Skirmish,0,0,0
11,FL004,1863-10-16,1863-10-18,False,0.271486277899107,-0.801163228108643,,"Engagement at Fort Brooke, Fla.",Battle,0,0,0
12,,1863-12-25,1863-12-25,False,0.128769603484741,-0.380002525388943,,"Engagement at Fort Brooke, Fla.",Battle,0,0,0
13,,1864-05-06,1864-05-06,False,0.0639831234158421,-0.188823678278556,,"Affair at Tampa, Fla.",Skirmish,0,0,0
