battle_id,belligerent,strength_min,strength_max,casualties_min,casualties_max,killed_min,killed_max,wounded_min,wounded_max,missing_min,missing_max,captured_min,captured_max,killed_wounded_min,killed_wounded_max,wounded_missing_min,wounded_missing_max,captured_missing_min,captured_missing_max
Battle_of_Adairsville,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Adairsville,US,,,200,200,,,,,,,,,,,,,,
Battle_of_Albemarle_Sound,Confederate,,,,,,,,,,,,,57,57,,,,
Battle_of_Albemarle_Sound,US,,,,,,,,,,,,,31,31,,,,
Battle_of_Aldie,Confederate,1500,1500,110,119,,,,,,,,,,,,,,
Battle_of_Aldie,US,2000,2000,305,305,,,,,,,,,,,,,,
Battle_of_Allatoona,Confederate,3276,3276,897,897,,,,,,,,,,,,,,
Battle_of_Allatoona,US,2025,2025,706,706,,,,,,,,,,,,,,
Battle_of_Amelia_Springs,Confederate,,,100,100,,,,,,,,,,,,,,
Battle_of_Amelia_Springs,US,,,158,158,,,,,,,,,,,,,,
Battle_of_Antietam,Confederate,38000,38000,10316,10316,1546,1546,7752,7752,,,,,,,,,1018,1018
Battle_of_Antietam,US,75500,75500,12401,12401,2108,2108,9540,9540,,,,,,,,,753,753
Battle_of_Appomattox_Court_House,Confederate,28000,28000,,,,,,,,,27805,27805,500,500,,,,
Battle_of_Appomattox_Court_House,US,100000,100000,164,164,,,,,,,,,,,,,,
Battle_of_Appomattox_Station,Confederate,3000,3000,,,,,,,,,1000,1000,500,500,,,,
Battle_of_Appomattox_Station,US,4000,4000,,,,,,,,,,,200,200,,,,
Battle_of_Aquia_Creek,Confederate,,,,,,,1,1,,,,,,,,,,
Battle_of_Aquia_Creek,US,,,,,,,9,9,,,,,,,,,,
Battle_of_Arkansas_Post,Confederate,4900,4900,,,28,28,81,81,,,4791,4791,,,,,,
Battle_of_Arkansas_Post,US,33000,33000,,,134,134,898,898,29,29,,,,,,,,
Battle_of_Athens_(1864),Confederate,600,600,30,30,,,,,,,,,,,,,,
Battle_of_Athens_(1864),US,100,100,20,20,,,,,,,,,,,,,,
Battle_of_Atlanta,Confederate,40438,40438,8499,8499,,,,,,,,,,,,,,
Battle_of_Atlanta,US,34863,34863,3641,3641,,,,,,,,,,,,,,
Battle_of_Averasborough,Confederate,5400,5400,865,865,,,,,,,,,,,,,,
Battle_of_Averasborough,US,25992,25992,682,682,,,,,,,,,,,,,,
Battle_of_Ball's_Bluff,Confederate,1709,1709,,,36,36,117,117,,,2,2,,,,,,
Battle_of_Ball's_Bluff,US,1720,1720,921,1002,,,,,,,,,,,,,,
Battle_of_Barbourville,Confederate,800,800,7,7,7,7,,,,,,,,,,,,
Battle_of_Barbourville,US,300,300,,,1,1,1,1,,,13,13,,,,,,
Battle_of_Baton_Rouge_(1862),Confederate,2600,2600,478,478,,,,,,,,,,,,,,
Battle_of_Baton_Rouge_(1862),US,2500,2500,371,371,,,,,,,,,,,,,,
Battle_of_Bayou_Fourche,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Bayou_Fourche,US,,,72,72,,,,,,,,,,,,,,
Battle_of_Bean's_Station,Confederate,,,900,900,,,,,,,,,,,,,,
Battle_of_Bean's_Station,US,,,700,700,,,,,,,,,,,,,,
Battle_of_Beaver_Dam_Creek,Confederate,16356,16356,1484,1484,,,,,,,,,,,,,,
Battle_of_Beaver_Dam_Creek,US,15631,15631,,,49,49,207,207,105,105,,,,,,,,
Battle_of_Belmont,Confederate,5000,5000,,,105,105,419,419,,,,,,,,,117,117
Battle_of_Belmont,US,3114,3114,,,120,120,383,383,,,,,,,,,104,104
Battle_of_Bentonville,Confederate,21000,21000,,,239,239,1694,1694,,,,,,,,,673,673
Battle_of_Bentonville,US,60000,60000,,,194,194,1112,1112,,,,,,,,,221,221
Battle_of_Berryville,Confederate,,,295,295,,,,,,,,,,,,,,
Battle_of_Berryville,US,,,314,314,,,,,,,,,,,,,,
Battle_of_Big_Bethel,Confederate,1400,1400,,,1,1,7,7,,,,,,,,,,
Battle_of_Big_Bethel,US,3500,3500,,,18,18,53,53,5,5,,,,,,,,
Battle_of_Big_Black_River_Bridge,Confederate,5000,5000,1751,1751,,,,,,,,,,,,,,
Battle_of_Big_Black_River_Bridge,US,,,276,276,,,,,,,,,,,,,,
Battle_of_Big_Mound,Native American,1000,1500,9,9,,,,,,,,,,,,,,
Battle_of_Big_Mound,US,2116,2116,,,3,3,4,4,,,,,,,,,,
Battle_of_Blackburn's_Ford,Confederate,5100,5100,68,68,,,,,,,,,,,,,,
Battle_of_Blackburn's_Ford,US,3000,3000,83,83,,,,,,,,,,,,,,
