reference_number,event,type,start_date,end_date,theater,campaign,threats,ownership_federal,ownership_local,ownership_private,ownership_state,ownership_unknown,park,integrity,military,interpretive_political,interpretive_commander_loss,interpretive_casualties,interpretive_tactics_strategy,interpretive_public_mind,interpretive_combat_arm,interpretive_military_firsts,interpretive_minority_troops,interpretive_economic,interpretive_archaelolgical,interpretive_logistics,interpretive_individual_bravery,interpretive_group_behavior,interpretive_joint_ops,interpretive_coop_armies,interpretive_naval,jim,ed,bill,protected,percent,county,value,priority1,url
AL001,Day's Gap,Action,1863-04-30,1863-04-30,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Streight's Raid: Tuscumbia, AL twd Rome, GA (1863), 04/26/63, III",,0,0,1,0,0,0,Good,C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,D,C,,,Cullman,,0,http://aad.archives.gov/aad//AL001
AL002,Athens,Attack,1864-01-26,1864-01-26,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Operations in North Alabama (1864), 01/23/64, III",,0,1,1,1,0,0,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Limestone,,0,http://aad.archives.gov/aad//AL002
AL003,Mobile Bay,Naval Operations,1864-08-02,1864-08-23,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Operations in Mobile Bay (1864), 08/02/64, I",,0,0,1,1,0,1,Fair,A,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,"Mobile, Blakely",,1,http://aad.archives.gov/aad//AL003
AL004,Decatur,Demonstration,1864-10-26,1864-10-29,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Hood's Ops. Agnst Sherman's Commun. (1864), 10/05/64, II",N/A,0,1,1,1,0,0,Lost,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,"Morgan, Limestone, Decatur, City of",,0,http://aad.archives.gov/aad//AL004
AL005,Spanish Fort,Siege & Capture,1865-03-27,1865-04-08,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Mobile Campaign (1865), 03/27/65, I",N/A,0,1,1,1,0,0,Lost,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,C,,,Baldwin,,0,http://aad.archives.gov/aad//AL005
AL006,Fort Blakely,Siege & Capture,1865-04-02,1865-04-09,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Mobile Campaign (1865), 03/27/65, I",,0,0,1,1,0,1,Good,A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,B,A,B,3800,85,Baldwin,,0,http://aad.archives.gov/aad//AL006
AL007,Selma,Engagement,1865-04-02,1865-04-02,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Wilson's Raid: Chickawaw, AL and Macon, GA (1865), 03/22/65, II",N/A,0,1,1,1,0,0,Lost,B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,"Dallas, Selma, City of",,0,http://aad.archives.gov/aad//AL007
AR001,Pea Ridge,Battle,1862-03-06,1862-03-08,Trans-Mississippi Theater of Operations,"Pea Ridge Campaign (1862), 03/01/62, I",,1,0,1,0,0,1,Good,A,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,A,,4300,95,Benton,,0,http://aad.archives.gov/aad//AR001
AR002,Saint Charles,Engagement,1862-06-17,1862-06-17,Trans-Mississippi Theater of Operations,"Operations on White River (1862), 06/17/62, III",,1,1,1,0,0,0,Fair,C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,C,D,C,,,"Arkansas, St. Charles, City of",,0,http://aad.archives.gov/aad//AR002
AR003,Hill's Plantation,Action,1862-07-07,1862-07-07,Trans-Mississippi Theater of Operations,"Operations Near Cache River, AR (1862), 07/07/62, III",,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,D,,,,Woodruff,,0,http://aad.archives.gov/aad//AR003
AR004,Canehill,Engagement,1862-11-28,1862-11-28,Trans-Mississippi Theater of Operations,"Prairie Grove Campaign (1862), 12/01/62, II",,1,0,1,0,0,0,Good,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Washington,,0,http://aad.archives.gov/aad//AR004
AR005,Prairie Grove,Battle,1862-12-07,1862-12-07,Trans-Mississippi Theater of Operations,"Prairie Grove Campaign (1862), 12/01/62, II",,0,0,1,1,0,1,Good,B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,A,C,,,Washinton,,1,http://aad.archives.gov/aad//AR005
