battle,country,name,last_name,first_name,middle_name,suffix,rank
"Antietam (September 17, 1862)",Union,S. B. McClellan,McClellan,S.,B.,,Gen.
"Antietam (September 17, 1862)",Confederacy,R. Lee,Lee,R.,,,Gen.
"Appomattox-Court-House (April 09, 1865)",Union,U. S. Grant,Grant,U.,S.,,Lt. Gen
"Appomattox-Court-House (April 09, 1865)",Confederacy,R. Lee,Lee,R.,,,Gen.
"Arkansas_Post (January 11, 1863)",Union,McClernand,McClernand,,,,Maj. Gen.
"Arkansas_Post (January 11, 1863)",Confederacy,Churchill,Churchill,,,,Brig. Gen.
"Atlanta (July 22, 1864)",Union,W. T. Sherman,Sherman,W.,T.,,Maj. Gen.
"Atlanta (July 22, 1864)",Confederacy,J. B. Hood,Hood,J.,B.,,Gen.
"Bentonville (March 05, 1865)",Union,W. T. Sherman,Sherman,W.,T.,,Maj. Gen.
"Bentonville (March 05, 1865)",Confederacy,J. Johnston,Johnston,J.,,,Gen.
"Boonsborough (September 14, 1862)",Union,McClellan,McClellan,,,,Gen.
"Boonsborough (September 14, 1862)",Confederacy,Longstreet,Longstreet,,,,Lt. Gen
"Bull-Run (August 29, 1862)",Confederacy,R. Lee,Lee,R.,,,Gen.
"Bull-Run (August 29, 1862)",Union,J. Pope,Pope,J.,,,Gen.
"Bull-Run (July 21, 1861)",Confederacy,Beauregard,Beauregard,,,,Gen.
"Bull-Run (July 21, 1861)",Union,McDowell,McDowell,,,,Maj. Gen.
"Cedar_Mountain (August 09, 1862)",Confederacy,T. J. Jackson,Jackson,T.,J.,,Lt. Gen
"Cedar_Mountain (August 09, 1862)",Union,Banks,Banks,,,,Maj. Gen.
"Champion's_Hill (May 16, 1863)",Union,U. S. Grant,Grant,U.,S.,,Maj. Gen.
"Champion's_Hill (May 16, 1863)",Confederacy,Pemberton,Pemberton,,,,Lt. Gen
"Chancellorsville (May 03, 1863)",Confederacy,R. Lee,Lee,R.,,,Gen.
"Chancellorsville (May 03, 1863)",Union,Hooker,Hooker,,,,Maj. Gen.
"Charleston (April 01, 1863)",Union,Hunter,Hunter,,,,Gen.
"Charleston (April 01, 1863)",Union,Gillmore,Gillmore,,,,Gen.
"Charleston (April 01, 1863)",Union,Dupont,Dupont,,,,Adm.
"Charleston (April 01, 1863)",Union,Dahlgreen,Dahlgreen,,,,Adm.
"Charleston (April 01, 1863)",Confederacy,Beauregard,Beauregard,,,,Gen.
"Chickahominy (June 25, 1862)",Confederacy,R. Lee.,Lee.,R.,,,Gen.
"Chickahominy (June 25, 1862)",Union,McClellan,McClellan,,,,Lt. Gen
"Chickamauga (September 19, 1863)",Confederacy,B. Bragg,Bragg,B.,,,Gen.
"Chickamauga (September 19, 1863)",Union,Rosecrans,Rosecrans,,,,Maj. Gen.
"Chickasaw_Bluffs (January 03, 1863)",Confederacy,Pemberton,Pemberton,,,,Lt. Gen
"Chickasaw_Bluffs (January 03, 1863)",Union,Sherman,Sherman,,,,Maj. Gen.
"Cold_Harbor (June 03, 1864)",Confederacy,R. Lee,Lee,R.,,,Gen.
"Cold_Harbor (June 03, 1864)",Union,U. S. Grant,Grant,U.,S.,,Lt. Gen.
"Corinth (October 03, 1862)",Union,Rosecrans,Rosecrans,,,,Maj. Gen.
"Corinth (October 03, 1862)",Confederacy,Earl van Dorn,van Dorn,Earl,,,Lt. Gen
"Drewry's_Bluff (May 16, 1864)",Confederacy,Beauregard,Beauregard,,,,Lt. Gen
"Drewry's_Bluff (May 16, 1864)",Union,Butler,Butler,,,,Maj. Gen.
"Durham's-Station (April 25, 1865)",Union,W. T. Sherman,Sherman,W.,T.,,Maj. Gen.
"Durham's-Station (April 25, 1865)",Confederacy,J. Johnston,Johnston,J.,,,Gen.
"Ezra-Church (July 28, 1864)",Union,W. T. Sherman,Sherman,W.,T.,,Maj. Gen.
"Ezra-Church (July 28, 1864)",Confederacy,J. B. Hood,Hood,J.,B.,,Gen.
"Fort_Donelson (February 12, 1862)",Union,Grant,Grant,,,,Brig. Gen.
"Fort_Donelson (February 12, 1862)",Confederacy,Buckner,Buckner,,,,Brig. Gen.
"Franklin (November 30, 1864)",Confederacy,J. B. Hood,Hood,J.,B.,,Gen.
"Franklin (November 30, 1864)",Union,Schofield,Schofield,,,,Maj. Gen.
"Fredericksburg (December 11, 1862)",Confederacy,R. Lee,Lee,R.,,,Gen.
"Fredericksburg (December 11, 1862)",Union,A. Burnside,Burnside,A.,,,Brig. Gen.
"Gettysburg (July 01, 1863)",Union,G. G. Meade,Meade,G.,G.,,Maj. Gen.
"Gettysburg (July 01, 1863)",Confederacy,R. Lee,Lee,R.,,,Gen.
"Harper's_Ferry (September 15, 1862)",Confederacy,T. J. Jackson,Jackson,T.,J.,,Lt. Gen
"Harper's_Ferry (September 15, 1862)",Union,D. Miles,Miles,D.,,,Col.
"Kenesaw-Mountain (June 27, 1864)",Confederacy,J. Johnston,Johnston,J.,,,Gen.
"Kenesaw-Mountain (June 27, 1864)",Union,W. T. Sherman,Sherman,W.,T.,,Maj. Gen.
"Lexington (September 20, 1861)",Confederacy,Price,Price,,,,Maj. Gen.
"Lexington (September 20, 1861)",Union,Mulligan,Mulligan,,,,Col.
"Middletown (October 19, 1864)",Union,P. H. Sheridan,Sheridan,P.,H.,,Maj. Gen.
"Middletown (October 19, 1864)",Confederacy,J. A. Early,Early,J.,A.,,Lt. Gen
"Mobile (April 02, 1865)",Union,Cranby,Cranby,,,,Maj. Gen.
"Mobile (April 02, 1865)",Union,Farragut,Farragut,,,,Adm.
"Murfreesborough (December 31, 1862)",Union,Rosecrans,Rosecrans,,,,Maj. Gen.
"Murfreesborough (December 31, 1862)",Confederacy,B. Bragg,Bragg,B.,,,Gen.
"Nashville (December 15, 1864)",Union,G. H. Thomas,Thomas,G.,H.,,Maj. Gen.
"Nashville (December 15, 1864)",Confederacy,J. B. Hood,Hood,J.,B.,,Gen.
"New-Hope-Church (May 28, 1864)",Union,W. T. Sherman,Sherman,W.,T.,,Lt. Gen
"New-Hope-Church (May 28, 1864)",Confederacy,J. Johnston,Johnston,J.,,,Gen.
"Pamunkey (May 22, 1864)",Union,U. S. Grant,Grant,U.,S.,,Lt. Gen
"Pamunkey (May 22, 1864)",Confederacy,R. Lee,Lee,R.,,,Gen.
"Pea_Ridge (March 07, 1862)",Union,Curtis,Curtis,,,,Maj. Gen.
"Pea_Ridge (March 07, 1862)",Confederacy,Earl van Dorn,van Dorn,Earl,,,Lt. Gen
"Peach-Tree-Creek (July 20, 1864)",Union,W. T. Sherman,Sherman,W.,T.,,Maj. Gen.
"Peach-Tree-Creek (July 20, 1864)",Confederacy,J. B. Hood,Hood,J.,B.,,Gen.
"Perryville (October 08, 1862)",Confederacy,Bragg,Bragg,,,,Gen.
"Perryville (October 08, 1862)",Union,Buell,Buell,,,,Maj. Gen.
"Petersburg (June 09, 1864)",Union,U. S. Grant,Grant,U.,S.,,Lt. Gen
"Petersburg (June 09, 1864)",Confederacy,R. Lee,Lee,R.,,,Gen.
"Prairie-Grove (December 07, 1862)",Union,Blunt,Blunt,,,,Brig. Gen.
"Prairie-Grove (December 07, 1862)",Confederacy,Hindman,Hindman,,,,Maj. Gen.
"Resaca (May 14, 1864)",Union,W. T. Sherman,Sherman,W.,T.,,Maj. Gen.
"Resaca (May 14, 1864)",Confederacy,J. Johnston,Johnston,J.,,,Gen.
"Richmond (August 30, 1862)",Confederacy,Kirby Smith,Smith,Kirby,,,Maj. Gen.
"Richmond (August 30, 1862)",Union,Nelson,Nelson,,,,Brig. Gen.
"Ringgold (November 23, 1863)",Union,U. S. Grant,Grant,U.,S.,,Maj. Gen.
"Ringgold (November 23, 1863)",Confederacy,R. Bragg,Bragg,R.,,,Gen.
"Seven_Pines (May 31, 1862)",Confederacy,J. Johnston,Johnston,J.,,,Gen.
"Seven_Pines (May 31, 1862)",Union,McClellan,McClellan,,,,Maj. Gen.
"Shiloh (April 06, 1862)",Union,U. S. Grant,Grant,U.,S.,,Maj. Gen.
"Shiloh (April 06, 1862)",Confederacy,A. S. Johnston,Johnston,A.,S.,,Gen.
"Spotsylvania-Court-House (May 08, 1864)",Union,U. S. Grant,Grant,U.,S.,,Lt. Gen
"Spotsylvania-Court-House (May 08, 1864)",Confederacy,R. Lee,Lee,R.,,,Gen.
"Vicksburg (May 19, 1863)",Union,U. S. Grant,Grant,U.,S.,,Maj. Gen.
"Vicksburg (May 19, 1863)",Confederacy,Pemberton,Pemberton,,,,Lt. Gen
"Wilderness (May 05, 1864)",Union,U. S. Grant,Grant,U.,S.,,Lt. Gen
"Wilderness (May 05, 1864)",Confederacy,R. Lee,Lee,R.,,,Gen.
"Williamsburg (May 05, 1862)",Union,McClellan,McClellan,,,,Maj. Gen.
"Williamsburg (May 05, 1862)",Confederacy,J. Johnston,Johnston,J.,,,Lt. Gen
"Wilson's_Creek (August 10, 1861)",Confederacy,Price,Price,,,,Maj. Gen.
"Wilson's_Creek (August 10, 1861)",Union,Lyon,Lyon,,,,Maj. Gen.
"Winchester (June 15, 1863)",Confederacy,Ewell,Ewell,,,,Lt. Gen
"Winchester (June 15, 1863)",Union,Milroy,Milroy,,,,Maj. Gen.
"Winchester (September 19, 1864)",Union,P. H. Sheridan,Sheridan,P.,H.,,Maj. Gen.
"Winchester (September 19, 1864)",Confederacy,J. A. Early,Early,J.,A.,,Lt. Gen
