battle,victor,battle,country,victor,strength,strength_engaged,infantry,cavalry,artillery,guns,killed,killed_generals,killed_percent,killed_officers,killed_wounded,killed_wounded_officers,killed_wounded_generals,killed_wounded_percent,wounded,wounded_generalswounded_officers,wounded_percent,captured,captured_generals,captured_officers,missing,missing_generals,missing_officers,missing_percent,casualties,casualties_generals,casualties_officers,casualties_percent,losses_guns,losses_caissons,losses_cannon,losses_canons,losses_flags,losses_munition_wagons,losses_wagons,other
"Antietam (September 17, 1862)",True,"Antietam (September 17, 1862)",Union,True,85000,60000,,,,,2100,3,3.5,139,11700,606,12,19.5,9600,,16.0,,,,800,1,7,1.4,12500,13,613,20.9,,,,,,,,
"Antietam (September 17, 1862)",False,"Antietam (September 17, 1862)",Confederacy,False,50000,40000,,,,,1510,3,3.8,149,9400,787,11,23.5,7890,,19.7,,,,1800,0,50,4.5,11200,11,837,28.0,,,,,,,,
"Appomattox-Court-House (April 09, 1865)",True,"Appomattox-Court-House (April 09, 1865)",Union,True,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appomattox-Court-House (April 09, 1865)",False,"Appomattox-Court-House (April 09, 1865)",Confederacy,False,28000,,,,,63,,,,,,,,,,,,8000,,,,,,,,,,,,,,,,,,
"Arkansas_Post (January 11, 1863)",True,"Arkansas_Post (January 11, 1863)",Union,True,28000,,,,,,,,,,1100,,,,,,,0,,,,,,,1100,,,4.2,,,,,,,,
"Arkansas_Post (January 11, 1863)",False,"Arkansas_Post (January 11, 1863)",Confederacy,False,5000,,,,,,,,,,200,,,,,,,4800,,,,,,,5000,,,100,,,,,,,,
"Atlanta (July 22, 1864)",True,"Atlanta (July 22, 1864)",Union,True,70000,,,,,,,,,,,,,,,,,,,,,,,,4000,,,5.7,,,,,,,,
"Atlanta (July 22, 1864)",False,"Atlanta (July 22, 1864)",Confederacy,False,40000,,,,,,,,,,,,,,,,,,,,,,,,8500,,,21.5,,,,,,,,
"Bentonville (March 05, 1865)",True,"Bentonville (March 05, 1865)",Union,True,60000,,,,,,,,,,1500,78,1,2.6,,,,,,,200,,7,0.3,1700,1,85,2.9,,,,,,,,
"Bentonville (March 05, 1865)",False,"Bentonville (March 05, 1865)",Confederacy,False,30000,,,,,,,,,,1700,,,5.7,,,,,,,1600,,,5.3,3300,,,11.0,,,,,,,,
"Boonsborough (September 14, 1862)",True,"Boonsborough (September 14, 1862)",Union,True,24000,,,,,,350,1,,13,1800,79,2,,1450,,,,,,100,0,2,,1900,2,81,8,,,,,,,,
"Boonsborough (September 14, 1862)",False,"Boonsborough (September 14, 1862)",Confederacy,False,15000,,,,,,300,,,,1600,,,10.7,1300,,,,,,500,,,3.3,2100,,,14.0,,,,,,,,
"Bull-Run (August 29, 1862)",True,"Bull-Run (August 29, 1862)",Confederacy,True,50000,,,,,,1550,0,3.0,141,9400,828,4,18.7,7850,,15.7,,,,100,0,1,0.2,9500,4,829,18.9,,,,,,,,
"Bull-Run (August 29, 1862)",False,"Bull-Run (August 29, 1862)",Union,False,70000,,,,,,1700,4,2.8,132,10200,593,10,17.0,8500,,14.2,,,,4300,0,106,17.2,14500,10,699,24.2,,,,,,,,
"Bull-Run (July 21, 1861)",True,"Bull-Run (July 21, 1861)",Confederacy,True,32000,18000,,,,44,400,,,26,2000,89,,11,1600,,,,,,0,,0,,2000,,89,11,,,,,,,,
"Bull-Run (July 21, 1861)",False,"Bull-Run (July 21, 1861)",Union,False,35000,19000,,,,49,470,,,16,1600,94,,8.3,1130,,,,,,1300,,50,6.9,2900,,144,15.2,4000,37,27,,,4,,
"Cedar_Mountain (August 09, 1862)",True,"Cedar_Mountain (August 09, 1862)",Confederacy,True,20000,,,,,,230,,,,1300,,,6.5,1070,,,,,,0,,,,1300,,,6.5,,,,,,,,
"Cedar_Mountain (August 09, 1862)",False,"Cedar_Mountain (August 09, 1862)",Union,False,18000,,,,,,330,0,,26,1800,128,2,10,1470,,,,,,700,1,37,4,2500,3,165,14,,,,,,,,
"Champion's_Hill (May 16, 1863)",True,"Champion's_Hill (May 16, 1863)",Union,True,30000,,,,,,450,,,27,2300,135,,7.7,1850,,,,,,200,,4,0.7,2500,,139,8.4,,,,,,,,
"Champion's_Hill (May 16, 1863)",False,"Champion's_Hill (May 16, 1863)",Confederacy,False,18000,,,,,,,,,,3000,,,16.6,,,,,,,3000,,,16.7,6000,,,33.3,,,,11,,28,,
"Chancellorsville (May 03, 1863)",True,"Chancellorsville (May 03, 1863)",Confederacy,True,80000,,,,,170,1700,2,2.1,,10800,,10,13.5,9100,,11.4,,,,2000,0,,2.5,12800,10,,16.0,,,,7,,,,
"Chancellorsville (May 03, 1863)",False,"Chancellorsville (May 03, 1863)",Union,False,130000,,,,,404,1600,3,1.3,163,11400,819,11,9.5,9800,,8.2,,,,6000,1,171,5.0,17400,12,990,14.5,,,,120,17,,,
"Charleston (April 01, 1863)",True,"Charleston (April 01, 1863)",Union,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charleston (April 01, 1863)",False,"Charleston (April 01, 1863)",Confederacy,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chickahominy (June 25, 1862)",True,"Chickahominy (June 25, 1862)",Confederacy,True,94000,,88000,6000,,250,3200,0,3.4,262,19000,1272,5,20.2,15800,,16.8,,,,0,,55,1.0,20000,5,1327,21.2,,,,,,,,
"Chickahominy (June 25, 1862)",False,"Chickahominy (June 25, 1862)",Union,False,106000,,99000,7000,,340,1700,0,1.6,103,10000,515,3,9.5,8300,,7.9,,,,6000,2,163,5.7,16000,5,678,15.2,,,,,,,,
"Chickamauga (September 19, 1863)",True,"Chickamauga (September 19, 1863)",Confederacy,True,70000,,62000,8000,,,2400,3,3.5,,15800,,10,22.5,13400,,19.0,,,,2000,0,,2.9,17800,10,,25.4,,,15,,,,,
