battle,country,name,last_name,first_name,middle_name,suffix,rank,date
"Harper's_Ferry (September 15, 1862)",Union,D. Miles,Miles,D.,,,Col.,
"Antietam (September 17, 1862)",Union,J. K. F. Mansfield,Mansfield,J.,K. F.,,Maj. Gen.,
"Antietam (September 17, 1862)",Union,J. B. Richardson,Richardson,J.,B.,,Maj. Gen.,
"Antietam (September 17, 1862)",Union,J. P. Rodman,Rodman,J.,P.,,Brig. Gen.,
"Antietam (September 17, 1862)",Confederacy,G. B. Anderson,Anderson,G.,B.,,Brig. Gen.,
"Antietam (September 17, 1862)",Confederacy,L. O. Branch,Branch,L.,O.,,Brig. Gen.,
"Antietam (September 17, 1862)",Confederacy,W. E. Starke,Starke,W.,E.,,Brig. Gen.,
"Atlanta (July 22, 1864)",Union,J. B. McPherson,McPherson,J.,B.,,Maj. Gen.,
"Atlanta (July 22, 1864)",Union,D. McCook,McCook,D.,,,Brig. Gen.,
"Atlanta (July 22, 1864)",Confederacy,W. H. T. Walker,Walker,W.,H. T.,,Maj. Gen.,
"Perryville (October 08, 1862)",Union,J. S. Jackson,Jackson,J.,S.,,Brig. Gen.,
"Perryville (October 08, 1862)",Union,W. R. Terrill,Terrill,W.,R.,,Brig. Gen.,
"Bull-Run (July 21, 1861)",Confederacy,Bee,Bee,,,,Brig. Gen.,
"Bull-Run (August 29, 1862)",Union,P. Kearny,Kearny,P.,,,Maj. Gen.,
"Bull-Run (August 29, 1862)",Union,J. Stevens,Stevens,J.,,,Maj. Gen.,
"Bull-Run (August 29, 1862)",Union,H. Bohlen,Bohlen,H.,,,Brig. Gen.,
"Bull-Run (August 29, 1862)",Union,W. Taylor,Taylor,W.,,,Brig. Gen.,
"Nashville (December 15, 1864)",Union,S. G. Hill,Hill,S.,G.,,Brig. Gen.,
"Middletown (October 19, 1864)",Union,D. D. Bidwell,Bidwell,D.,D.,,Brig. Gen.,
"Middletown (October 19, 1864)",Union,C. R. Lowell,Lowell,C.,R.,,Brig. Gen.,
"Middletown (October 19, 1864)",Confederacy,S. D. Ramseur,Ramseur,S.,D.,,Maj. Gen.,
"Wilderness (May 05, 1864)",Union,A. Hays,Hays,A.,,,Maj. Gen.,
"Wilderness (May 05, 1864)",Union,J. S. Wadsworth,Wadsworth,J.,S.,,Maj. Gen.,
"Wilderness (May 05, 1864)",Confederacy,A. G. Jenkins,Jenkins,A.,G.,,Brig. Gen.,
"Wilderness (May 05, 1864)",Confederacy,J. M. Jones,Jones,J.,M.,,Brig. Gen.,
"Gettysburg (July 01, 1863)",Union,J. F. Reynolds,Reynolds,J.,F.,,Maj. Gen.,
"Gettysburg (July 01, 1863)",Union,S. K. Zook,Zook,S.,K.,,Maj. Gen.,
"Gettysburg (July 01, 1863)",Union,E. J. Farnsworth,Farnsworth,E.,J.,,Brig. Gen.,
"Gettysburg (July 01, 1863)",Union,S. Vincent,Vincent,S.,,,Brig. Gen.,
"Gettysburg (July 01, 1863)",Union,S. Weed,Weed,S.,,,Brig. Gen.,
"Gettysburg (July 01, 1863)",Confederacy,W. Pender,Pender,W.,,,Maj. Gen.,
"Gettysburg (July 01, 1863)",Confederacy,A. Armistead,Armistead,A.,,,Brig. Gen.,
"Gettysburg (July 01, 1863)",Confederacy,W. Barksdale,Barksdale,W.,,,Brig. Gen.,
"Gettysburg (July 01, 1863)",Confederacy,R. B. Garnett,Garnett,R.,B.,,Brig. Gen.,
"Gettysburg (July 01, 1863)",Confederacy,P. J. Semmes,Semmes,P.,J.,,Brig. Gen.,
"Spotsylvania-Court-House (May 08, 1864)",Union,J. Sedgwick,Sedgwick,J.,,,Maj. Gen.,
"Spotsylvania-Court-House (May 08, 1864)",Union,J. C. Rice,Rice,J.,C.,,Brig. Gen.,
"Spotsylvania-Court-House (May 08, 1864)",Union,T. G. Stevenson,Stevenson,T.,G.,,Brig. Gen.,
"Spotsylvania-Court-House (May 08, 1864)",Confederacy,J. E. B. Stuart,Stuart,J.,E. B.,,Lt. Gen.,
"Spotsylvania-Court-House (May 08, 1864)",Confederacy,J. Daniel,Daniel,J.,,,Brig. Gen.,
"Spotsylvania-Court-House (May 08, 1864)",Confederacy,A. Perrin,Perrin,A.,,,Brig. Gen.,
"Spotsylvania-Court-House (May 08, 1864)",Confederacy,L. A. Stafford,Stafford,L.,A.,,Brig. Gen.,
"Fredericksburg (December 11, 1862)",Confederacy,T. R. Cobb,Cobb,T.,R.,,Brig. Gen.,
"Fredericksburg (December 11, 1862)",Confederacy,M. Gregg,Gregg,M.,,,Brig. Gen.,
"Fredericksburg (December 11, 1862)",Union,G. D. Bayard,Bayard,G.,D.,,Brig. Gen.,
"Fredericksburg (December 11, 1862)",Union,C. F. Jackson,Jackson,C.,F.,,Brig. Gen.,
"Champion's_Hill (May 16, 1863)",Confederacy,L. Tilghman,Tilghman,L.,,,Brig. Gen.,
"Chancellorsville (May 03, 1863)",Confederacy,T. J. Jackson,Jackson,T.,J.,,Lt. Gen,
"Chancellorsville (May 03, 1863)",Confederacy,E. F. Paxton,Paxton,E.,F.,,Brig. Gen.,
"Chancellorsville (May 03, 1863)",Union,H. G. Berry,Berry,H.,G.,,Maj. Gen.,
"Chancellorsville (May 03, 1863)",Union,A. W. Whipple,Whipple,A.,W.,,Maj. Gen.,
"Chancellorsville (May 03, 1863)",Union,E. Kirby,Kirby,E.,,,Brig. Gen.,
"Seven_Pines (May 31, 1862)",Confederacy,R. Hatton,Hatton,R.,,,Brig. Gen.,
"Murfreesborough (December 31, 1862)",Union,E. N. Kirk,Kirk,E.,N.,,Brig. Gen.,
"Murfreesborough (December 31, 1862)",Union,J. W. Sill,Sill,J.,W.,,Brig. Gen.,
"Murfreesborough (December 31, 1862)",Confederacy,R. W. Hanson,Hanson,R.,W.,,Brig. Gen.,
"Murfreesborough (December 31, 1862)",Confederacy,J. E. Rains,Rains,J.,E.,,Brig. Gen.,
"Wilson's_Creek (August 10, 1861)",Union,Lyon,Lyon,,,,Brig. Gen.,
"Vicksburg (May 19, 1863)",Confederacy,M. E. Green,Green,M.,E.,,Brig. Gen.,
"Vicksburg (May 19, 1863)",Confederacy,E. D. Tracy,Tracy,E.,D.,,Brig. Gen.,
"Winchester (September 19, 1864)",Union,D. A. Russell,Russell,D.,A.,,Maj. Gen.,
"Winchester (September 19, 1864)",Confederacy,R. E. Rodes,Rodes,R.,E.,,Maj. Gen.,
"Winchester (September 19, 1864)",Confederacy,A. C. Godwin,Godwin,A.,C.,,Brig. Gen.,
"Cedar_Mountain (August 09, 1862)",Confederacy,C. S. Winder,Winder,C.,S.,,Brig. Gen.,
"Shiloh (April 06, 1862)",Union,W. H. L. Wallace,Wallace,W.,H. L.,,Brig. Gen.,
"Shiloh (April 06, 1862)",Confederacy,A. S. Johnston,Johnston,A.,S.,,Gen.,
"Shiloh (April 06, 1862)",Confederacy,A. H. Gladden,Gladden,A.,H.,,Brig. Gen.,
"Franklin (November 30, 1864)",Confederacy,P. R. Cleburne,Cleburne,P.,R.,,Maj. Gen.,
"Franklin (November 30, 1864)",Confederacy,J. Adams,Adams,J.,,,Brig. Gen.,
"Franklin (November 30, 1864)",Confederacy,S. R. Gist,Gist,S.,R.,,Brig. Gen.,
"Franklin (November 30, 1864)",Confederacy,H. B. Gransbury,Gransbury,H.,B.,,Brig. Gen.,
"Franklin (November 30, 1864)",Confederacy,O. F. Strahl,Strahl,O.,F.,,Brig. Gen.,
"Petersburg (June 09, 1864)",Union,H. Burnham,Burnham,H.,,,Brig. Gen.,1864-06-28
"Petersburg (June 09, 1864)",Union,D. Bates,Bates,D.,,,Brig. Gen.,1864-06-29
"Petersburg (June 09, 1864)",Union,G. A. Stedman,Stedman,G.,A.,,Brig. Gen.,1864-08-05
"Petersburg (June 09, 1864)",Confederacy,A. P. Hill,Hill,A.,P.,,Lt. Gen.,1865-04-02
"Petersburg (June 09, 1864)",Confederacy,J. Pegram,Pegram,J.,,,Maj. Gen.,1865-02-06
"Pea_Ridge (March 07, 1862)",Confederacy,McCulloch,McCulloch,,,,Brig. Gen.,
"Pea_Ridge (March 07, 1862)",Confederacy,McIntosh,McIntosh,,,,Brig. Gen.,
"Pea_Ridge (March 07, 1862)",Confederacy,Slack,Slack,,,,Brig. Gen.,
"Boonsborough (September 14, 1862)",Union,J. L. Reno,Reno,J.,L.,,Maj. Gen.,
"Boonsborough (September 14, 1862)",Confederacy,S. Garland,Garland,S.,,,Brig. Gen.,
"Chickamauga (September 19, 1863)",Confederacy,P. Smith,Smith,P.,,,Maj. Gen.,
"Chickamauga (September 19, 1863)",Confederacy,J. Deschler,Deschler,J.,,,Brig. Gen.,
"Chickamauga (September 19, 1863)",Confederacy,B. H. Helm,Helm,B.,H.,,Brig. Gen.,
"Chickamauga (September 19, 1863)",Union,W. H. Lytle,Lytle,W.,H.,,Brig. Gen.,
"Corinth (October 03, 1862)",Union,P. A. Hackleman,Hackleman,P.,A.,,Brig. Gen.,
