from,to,relation
Perryville_18621008,KY009,=
New-Hope-Church_18640528,GA011,=
Bentonville_18650305,NC020,=
Fredericksburg_18621211,VA028,=
Chancellorsville_18630503,VA032,=
Seven_Pines_18620531,VA014,=
Ringgold_18631123,TN024,=
Cold_Harbor_18640603,VA062,=
Bull-Run_18610721,VA005,=
Peach-Tree-Creek_18640720,GA016,=
Vicksburg_18630519,MS011,=
Williamsburg_18620505,VA010,=
Lexington_18610920,MO006,=
Harper's_Ferry_18620915,WV010,=
Drewry's_Bluff_18640516,VA053,=
Petersburg_18640609,VA098,>
Petersburg_18640609,VA063,>
Petersburg_18640609,VA065,>
Petersburg_18640609,VA113,>
Petersburg_18640609,VA067,>
Petersburg_18640609,VA068,>
Petersburg_18640609,VA069,>
Petersburg_18640609,VA070,>
Petersburg_18640609,VA071,>
Petersburg_18640609,VA072,>
Petersburg_18640609,VA073,>
Petersburg_18640609,VA075,>
Petersburg_18640609,VA074,>
Petersburg_18640609,VA078,>
Petersburg_18640609,VA080,>
Petersburg_18640609,VA079,>
Petersburg_18640609,VA085,>
Petersburg_18640609,VA087,>
Petersburg_18640609,VA086,>
Petersburg_18640609,VA090,>
Petersburg_18640609,VA083,>
Petersburg_18640609,VA084,>
Petersburg_18640609,VA088,>
Petersburg_18640609,VA089,>
Antietam_18620917,MD003,=
Shiloh_18620406,TN003,=
Middletown_18641019,VA122,=
Atlanta_18640722,GA017,=
Chickahominy_18620625,VA020B,>
Chickahominy_18620625,VA016,>
Chickahominy_18620625,VA017,>
Chickahominy_18620625,VA018,>
Chickahominy_18620625,VA020A,>
Chickahominy_18620625,VA021,>
Chickahominy_18620625,VA015,>
Chickahominy_18620625,VA019,>
Murfreesborough_18621231,TN010,=
Boonsborough_18620914,MD002,=
Corinth_18621003,MS002,=
Winchester_18630615,VA107,=
Mobile_18650402,AL006,=
Wilderness_18640505,VA046,=
Pamunkey_18640522,VA055,=
Prairie-Grove_18621207,AR005,=
Arkansas_Post_18630111,AR006,=
Champion's_Hill_18630516,MS009,=
Bull-Run_18620829,VA026,=
Spotsylvania-Court-House_18640508,VA048,=
Charleston_18630401,SC008,>
Charleston_18630401,SC009,>
Charleston_18630401,SC006,>
Charleston_18630401,SC004,>
Appomattox-Court-House_18650409,VA097,=
Ezra-Church_18640728,GA018,=
Chickamauga_18630919,GA004,=
Franklin_18641130,TN036,=
Richmond_18620830,KY007,=
Chickasaw_Bluffs_18630103,MS003,=
Winchester_18640919,VA119,=
Gettysburg_18630701,PA002,=
Cedar_Mountain_18620809,VA022,=
Wilson's_Creek_18610810,MO004,=
Kenesaw-Mountain_18640627,GA015,=
Fort_Donelson_18620212,TN002,=
Nashville_18641215,TN038,=
Resaca_18640514,GA008,=
Pea_Ridge_18620307,AR001,=
