from,to,relation
Perryville_18621008,http://dbpedia.org/resource/Battle_of_Perryville,=
New-Hope-Church_18640528,http://dbpedia.org/resource/Battle_of_Dallas,=
Bentonville_18650305,http://dbpedia.org/resource/Battle_of_Bentonville,=
Fredericksburg_18621211,http://dbpedia.org/resource/Battle_of_Fredericksburg,=
Chancellorsville_18630503,http://dbpedia.org/resource/Battle_of_Chancellorsville,=
Seven_Pines_18620531,http://dbpedia.org/resource/Battle_of_Seven_Pines,=
Ringgold_18631123,http://dbpedia.org/resource/Battle_of_Lookout_Mountain,>
Ringgold_18631123,http://dbpedia.org/resource/Battle_of_Missionary_Ridge,>
Cold_Harbor_18640603,http://dbpedia.org/resource/Battle_of_Cold_Harbor,=
Bull-Run_18610721,http://dbpedia.org/resource/First_Battle_of_Bull_Run,=
Peach-Tree-Creek_18640720,http://dbpedia.org/resource/Battle_of_Peachtree_Creek,=
Vicksburg_18630519,http://dbpedia.org/resource/Siege_of_Vicksburg,=
Williamsburg_18620505,http://dbpedia.org/resource/Battle_of_Williamsburg,=
Lexington_18610920,http://dbpedia.org/resource/First_Battle_of_Lexington,=
Harper's_Ferry_18620915,http://dbpedia.org/resource/Battle_of_Harpers_Ferry,=
Drewry's_Bluff_18640516,http://dbpedia.org/resource/Battle_of_Proctor's_Creek,=
Petersburg_18640609,http://dbpedia.org/resource/First_Battle_of_Petersburg,>
Petersburg_18640609,http://dbpedia.org/resource/Second_Battle_of_Petersburg,>
Petersburg_18640609,http://dbpedia.org/resource/Battle_of_Jerusalem_Plank_Road,>
Petersburg_18640609,http://dbpedia.org/resource/Battle_of_Staunton_River_Bridge,>
Petersburg_18640609,http://dbpedia.org/resource/Battle_of_Sappony_Church,>
Petersburg_18640609,http://dbpedia.org/resource/First_Battle_of_Ream's_Station,>
Petersburg_18640609,http://dbpedia.org/resource/First_Battle_of_Deep_Bottom,>
Petersburg_18640609,http://dbpedia.org/resource/Battle_of_the_Crater,>
Petersburg_18640609,http://dbpedia.org/resource/Second_Battle_of_Deep_Bottom,>
Petersburg_18640609,http://dbpedia.org/resource/Battle_of_Globe_Tavern,>
Petersburg_18640609,http://dbpedia.org/resource/Second_Battle_of_Ream's_Station,>
Petersburg_18640609,http://dbpedia.org/resource/Beefsteak_Raid,>
Petersburg_18640609,http://dbpedia.org/resource/Battle_of_Chaffin's_Farm,>
Petersburg_18640609,http://dbpedia.org/resource/Battle_of_Peebles'_Farm,>
Petersburg_18640609,http://dbpedia.org/resource/Battle_of_Darbytown_and_New_Market_Roads,>
Petersburg_18640609,http://dbpedia.org/resource/Battle_of_Darbytown_Road,>
Petersburg_18640609,http://dbpedia.org/resource/Battle_of_Fair_Oaks_&_Darbytown_Road,>
Petersburg_18640609,http://dbpedia.org/resource/Battle_of_Boydton_Plank_Road,>
Petersburg_18640609,http://dbpedia.org/resource/Battle_of_Lewis's_Farm,>
Petersburg_18640609,http://dbpedia.org/resource/Battle_of_White_Oak_Road,>
Petersburg_18640609,http://dbpedia.org/resource/Battle_of_Dinwiddie_Court_House,>
Petersburg_18640609,http://dbpedia.org/resource/Battle_of_Sutherland's_Station,>
Petersburg_18640609,http://dbpedia.org/resource/Battle_of_Hatcher's_Run,>
Petersburg_18640609,http://dbpedia.org/resource/Battle_of_Fort_Stedman,>
Petersburg_18640609,http://dbpedia.org/resource/Battle_of_Five_Forks,>
Petersburg_18640609,http://dbpedia.org/resource/Third_Battle_of_Petersburg,>
Antietam_18620917,http://dbpedia.org/resource/Battle_of_Antietam,=
Shiloh_18620406,http://dbpedia.org/resource/Battle_of_Shiloh,=
Middletown_18641019,http://dbpedia.org/resource/Battle_of_Cedar_Creek,=
Atlanta_18640722,http://dbpedia.org/resource/Battle_of_Atlanta,=
Chickahominy_18620625,http://dbpedia.org/resource/Battle_of_Glendale,>
Chickahominy_18620625,http://dbpedia.org/resource/Battle_of_Beaver_Dam_Creek,>
Chickahominy_18620625,http://dbpedia.org/resource/Battle_of_Gaines's_Mill,>
Chickahominy_18620625,http://dbpedia.org/resource/Battle_of_Garnett's_&_Golding's_Farm,>
Chickahominy_18620625,http://dbpedia.org/resource/Battle_of_White_Oak_Swamp,>
Chickahominy_18620625,http://dbpedia.org/resource/Battle_of_Malvern_Hill,>
Chickahominy_18620625,http://dbpedia.org/resource/Battle_of_Oak_Grove,>
Chickahominy_18620625,http://dbpedia.org/resource/Battle_of_Savage's_Station,>
Murfreesborough_18621231,http://dbpedia.org/resource/Battle_of_Stones_River,=
Boonsborough_18620914,http://dbpedia.org/resource/Battle_of_South_Mountain,=
Corinth_18621003,http://dbpedia.org/resource/Second_Battle_of_Corinth,=
Winchester_18630615,http://dbpedia.org/resource/Second_Battle_of_Winchester,=
Mobile_18650402,http://dbpedia.org/resource/Battle_of_Fort_Blakely,=
Wilderness_18640505,http://dbpedia.org/resource/Battle_of_the_Wilderness,=
Pamunkey_18640522,http://dbpedia.org/resource/Battle_of_North_Anna,=
Prairie-Grove_18621207,http://dbpedia.org/resource/Battle_of_Prairie_Grove,=
