name,theater,start_date,end_date,page
"Wilson's Creek, August 10, 1861",Western Theater 1861,1861-8-10,1861-8-10,294
"Belmont, November 7, 1861",Western Theater 1861,1861-11-7,1861-11-7,294
Galveston,West (1863),1863-1-1,1863-1-1,305
Honey Springs,West (1863),1863-7-17,1863-7-17,305
Fort Hindman (Arkansas Post),West (1863),1863-1-11,1863-1-11,305
Port Hudson (siege),West (1863),1863-7-9,1863-7-9,305
Port Hudson (first assault),West (1863),1863-5-27,1863-5-27,305
Port Hudson (second assault),West (1863),1863-6-14,1863-6-14,305
Donaldsville (first),West (1863),1863-6-28,1863-6-28,305
Donaldsville (second),West (1863),1863-7-13,1863-7-13,305
Port Gibson,West (1863),1863-5-1,1863-5-1,305
Raymond,West (1863),1863-5-12,1863-5-12,305
Jackson,West (1863),1863-5-14,1863-5-14,305
Champion's Hill,West (1863),1863-5-16,1863-5-16,305
Big Black River,West (1863),1863-5-17,1863-5-17,305
Vicksburg (siege),West (1863),1863-7-4,1863-7-4,305
Vicksburg (first assault),West (1863),1863-5-19,1863-5-19,305
Vicksburg (second assault),West (1863),1863-5-22,1863-5-22,305
Helena,West (1863),1863-7-4,1863-7-4,305
Jackson (siege),West (1863),1863-7-16,1863-7-16,305
Chickamagua,West (1863),1863-9-20,1863-9-20,305
Chattanooga,West (1863),1863-11-25,1863-11-25,305
Chattanooga (Orchard Knob/Indian Hill),West (1863),1863-11-23,1863-11-23,306
Chattanooga (Lookout Mountain),West (1863),1863-11-24,1863-11-24,306
Chattanooga (Tunnel Hill),West (1863),1863-11-25,1863-11-25,306
Chattanooga (Missionary Ridge),West (1863),1863-11-25,1863-11-25,306
Ringgold Gap,West (1863),1863-11-27,1863-11-27,306
Knoxville (siege),West (1863),1863-12-3,1863-12-3,306
Knoxville (attack on Fort Sanders),West (1863),1863-11-29,1863-11-29,306
Chancellorsville,East (1863),1863-5-6,1863-5-6,302
Brandy Station,East (1863),1863-6-9,1863-6-9,302
Winchester (second),East (1863),1863-6-15,1863-6-15,302
Gettsyburg,East (1863),1863-7-3,1863-7-3,302
Bristoe Station,East (1863),1863-10-14,1863-10-14,302
Buckland,East (1863),1863-10-19,1863-10-19,302
Rappahannock Station,East (1863),1863-11-7,1863-11-7,302
Mine Run,East (1863),1863-12-1,1863-12-1,302
"Rich Mountain/Laurel Mountain, July 11-13, 1861",Eastern Theater: 1861,1861-7-11,1861-7-11,293
"First Bull Run (Manassas), July 21, 1861",Eastern Theater: 1861,1861-7-21,1861-7-21,293
"Ball's Bluff, October 21, 1861",Eastern Theater: 1861,1861-10-21,1861-10-21,293
Sabine Crossroads,West: 1864,1864-4-8,1864-4-8,314
Pleasant Hill,West: 1864,1864-4-9,1864-4-9,314
