battle,belligerent,strength,infantry,cavalry,crewmen,corps,cavalry corps,divisions,cavalry divisions,brigades,companies,frigates,gunboats,ironclads,sloops,steamers,warships and transports,warships,wooden warships,guns,casualties,captured,killed,wounded,missing,killed_wounded,killed_missing,captured_missing,wounded_missing,guns lost,guns captured,small arms lost,small arms captured,warships sunk,warships damaged,gunboats sunk,gunboats captured,ironclads sunk,ironclads captured,forts captured,note
"Wilson's Creek, August 10, 1861",union,5600,,,,,,,,,,,,,,,,,,,,,258,873,186,,,,,,,,,,,,,,,,
"Wilson's Creek, August 10, 1861",confed,15396,,,,,,,,,,,,,,,,,,,,,105,419,117,,,,,,,,,,,,,,,,
"Belmont, November 7, 1861",union,3114,,,,,,,,,,,,,,,,,,,,104,120,383,,,,,,,,,,,,,,,,,
"Belmont, November 7, 1861",confed,5000,,,,,,,,,,,,,,,,,,,,117,105,419,,,,,,,,,,,,,,,,,
Galveston,union,,,,,,,,,,3,,5,,,,,,,28,,600,,,,,,,,,,,,,,1,1,,,,
Galveston,confed,800,,,,,,,,,,,,,,2,,,,3,,,27,116,,,,,,,,,,,,,,,,,
Honey Springs,union,4000,,,,,,,,,,,,,,,,,,,,,13,62,,,,,,,,,,,,,,,,,
Honey Springs,confed,5000,,,,,,,,,,,,,,,,,,,181,,,,,,,,,,,,,,,,,,,,
Fort Hindman (Arkansas Post),union,29000,,,,,,,,,,,,,,,,13,,,,,140,923,,,,,,,,,,,,,,,,,
Fort Hindman (Arkansas Post),confed,5000,,,,,,,,,,,,,,,,,,,,4791,,,,109,,,,,,,,,,,,,,,
Port Hudson (siege),union,20000,,,,,,,,,,,,,,,,,,90,,,707,3336,319,,,,,,,,,,,,,,,,
Port Hudson (siege),confed,6715,,,,,,,,,,,,,,,,,,57,,6340,,,,623,,,,57,,,,,,,,,,,
Port Hudson (first assault),union,,,,,,,,,,,,,,,,,,,,,,293,1545,157,,,,,,,,,,,,,,,,
Port Hudson (first assault),confed,,,,,,,,,,,,,,,,,,,,235,,,,,,,,,,,,,,,,,,,,
Port Hudson (second assault),union,,,,,,,,,,,,,,,,,,,,,,203,1401,188,,,,,,,,,,,,,,,,
Port Hudson (second assault),confed,,,,,,,,,,,,,,,,,,,,,,22,25,,,,,,,,,,,,,,,,,
Donaldsville (first),union,225,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,
Donaldsville (first),confed,800,,,,,,,,,,,,,,,,,,,261,,,,,,,,,,,,,,,,,,,,
Donaldsville (second),union,,,,,,,,,2,,,,,,,,,,,,,50,223,,,,186,,,,,,,,,,,,,
Donaldsville (second),confed,,,,,,,,,2,,,,,,,,,,,,,9,24,,,,,,,,,,,,,,,,,
Port Gibson,union,23000,,,,,,,,,,,,,,,,,,,,,131,719,25,,,,,,,,,,,,,,,,
Port Gibson,confed,5500,,,,,,,,,,,,,,,,,,,,,68,380,384,,,,,,,,,,,,,,,,
Raymond,union,25000,,,,,,,,,,,,,,,,,,,,,66,339,37,,,,,,,,,,,,,,,,
Raymond,confed,4000,,,,,,,,,,,,,,,,,,,,,73,251,190,,,,,,,,,,,,,,,,
Jackson,union,25000,,,,,,,,,,,,,,,,,,,,,48,273,11,,,,,,,,,,,,,,,,
Jackson,confed,6000,,,,,,,,,,,,,,,,,,,,,17,66,118,,,,,,,,,,,,,,,,
Champion's Hill,union,29373,,,,,,,,,,,,,,,,,,,,,410,1844,187,,,,,,,,,,,,,,,,
Champion's Hill,confed,21800,,,,,,,,,,,,,,,,,,,,,381,1800,,,,1670,,,,,,,,,,,,,
Big Black River,union,,,,,,,2,,,,,,,,,,,,,,,39,237,3,,,,,,,,,,,,,,,,
Big Black River,confed,,,,,,,,,1,,,,,,,,,,,1751,,,,,,,,,,,,,,,,,,,,
Vicksburg (siege),union,71000,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,"casualties for entire campaign from April 30 to July 4: 1514 k, 7395 w, 453 cm"
Vicksburg (siege),confed,30000,,,,,,,,,,,,,,,,,,,,29396,,,,4910,,,,,172,,60000,,,,,,,,
Vicksburg (first assault),union,,,,,,,,,,,,,,,,,,,,,,157,777,8,,,,,,,,,,,,,,,,
Vicksburg (first assault),confed,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,
Vicksburg (second assault),union,,,,,,,,,,,,,,,,,,,,,,502,2550,147,,,,,,,,,,,,,,,,
