battle,dbpedia,relation
Olustee,http://dbpedia.org/resource/Battle_of_Olustee,=
Wilderness,http://dbpedia.org/resource/Battle_of_the_Wilderness,=
Spotsylvania Court House,http://dbpedia.org/resource/Battle_of_Spotsylvania_Court_House,=
Yellow Tavern,http://dbpedia.org/resource/Battle_of_Yellow_Tavern,=
North Anna River,http://dbpedia.org/resource/Battle_of_North_Anna,=
Totopotomy Creek,http://dbpedia.org/resource/Battle_of_Totopotomoy_Creek,=
Cold Harbor (assault),http://dbpedia.org/resource/Battle_of_Cold_Harbor,<
Cold Harbor,http://dbpedia.org/resource/Battle_of_Cold_Harbor,=
Trevilian Station,http://dbpedia.org/resource/Battle_of_Trevilian_Station,=
Cloyd's Mountain,http://dbpedia.org/resource/Battle_of_Cloyd%27s_Mountain,=
New Market,http://dbpedia.org/resource/Battle_of_New_Market,=
Piedmont,http://dbpedia.org/resource/Battle_of_Piedmont,=
Drewry's Bluff,http://dbpedia.org/resource/Battle_of_Drewry%27s_Bluff,=
Petersburg (assault),http://dbpedia.org/resource/Second_Battle_of_Petersburg,=
Monocacy River,http://dbpedia.org/resource/Battle_of_Monocacy,=
Kernstown,http://dbpedia.org/resource/Second_Battle_of_Kernstown,=
Opequon (Third Winchester),http://dbpedia.org/resource/Battle_of_Opequon,=
Fisher's Hill,http://dbpedia.org/resource/Battle_of_Fisher%27s_Hill,=
Cedar Creek,http://dbpedia.org/resource/Battle_of_Cedar_Creek,=
Petersburg (Battle of the Crater),http://dbpedia.org/resource/Battle_of_the_Crater,=
Globe Tavern,http://dbpedia.org/resource/Battle_of_Globe_Tavern,=
Reams Station,http://dbpedia.org/resource/Second_Battle_of_Ream%27s_Station,=
Fort Harrison (Chaffin's Bluff),http://dbpedia.org/resource/Battle_of_Chaffin%27s_Farm,=
Peebles Farm,http://dbpedia.org/resource/Battle_of_Peebles%27s_Farm,=
Hatcher's Run,http://dbpedia.org/resource/Battle_of_Hatcher%27s_Run,=
Fair Oaks,http://dbpedia.org/resource/Battle_of_Fair_Oaks_%26_Darbytown_Road,=
Chancellorsville,http://dbpedia.org/resource/Battle_of_Chancellorsville,=
Brandy Station,http://dbpedia.org/resource/Battle_of_Brandy_Station,=
Winchester,http://dbpedia.org/resource/Second_Battle_of_Winchester,=
Gettsyburg,http://dbpedia.org/resource/Battle_of_Gettysburg,=
Bristoe Station,http://dbpedia.org/resource/Battle_of_Bristoe_Station,=
Buckland,http://dbpedia.org/resource/Battle_of_Buckland_Mills,=
Rappahannock Station,http://dbpedia.org/resource/Second_Battle_of_Rappahannock_Station,=
