battle,combatant,description,strength,ships,guns,commanders,cavalry_regiments,strength_other,brigades,regiments,cavalry_brigades,companies,corps,divisions,armies,artillery_batteries,cavalry_divisions,cavalry_corps,artillery_regiments,artillery_sections,cavalry_companies,artillery_companies,infantry_regiments
WV016,CS,,,,,,,,,,,,,,,,,,,,,,
WV016,US,,,,,,,,,,,,,,,,,,,,,,
GA021,CS,,,,,,,,,,,,,,,,,,,,,,
GA021,US,,,,,,,,,,,,,,,,,,,,,,
VA069,CS,,,,,,,,,,,,,,,,,,,,,,
VA069,US,,,,,,,,,,,,,,,,,,,,,,
ND003,US,,,,,,,,,,,,,,,,,,,,,,
ND003,I,,,,,,,,,,,,,,,,,,,,,,
SC005,CS,,,,,,,,,,,,,,,,,,,,,,
SC005,US,,,,,,,,,,,,,,,,,,,,,,
MO021,CS,,,,,,,,,,,,,,,,,,,,,,
MO021,US,,,,,,,,,,,,,,,,,,,,,,
VA124,CS,,,,,,,,,,,,,,,,,,,,,,
VA124,US,,,,,,,,,,,,,,,,,,,,,,
TN034,CS,,,,,,,,,,,,,,,,,,,,,,
TN034,US,,,,,,,,,,,,,,,,,,,,,,
TN001,CS,,,,,,,,,,,,,,,,,,,,,,
TN001,US,,,,,,,,,,,,,,,,,,,,,,
AL005,CS,,,,,,,,,,,,,,,,,,,,,,
AL005,US,,,,,,,,,,,,,,,,,,,,,,
VA082,CS,,,,,,,,,,,,,,,,,,,,,,
VA082,US,,,,,,,,,,,,,,,,,,,,,,
GA013,CS,,,,,,,,,,,,,,,,,,,,,,
GA013,US,,,,,,,,,,,,,,,,,,,,,,
VA014,CS,,,,,,,,,,,,,,,,,,,,,,
VA014,US,,,,,,,,,,,,,,,,,,,,,,
VA062,CS,,,,,,,,,,,,,,,,,,,,,,
VA062,US,,,,,,,,,,,,,,,,,,,,,,
GA014,CS,,,,,,,,,,,,,,,,,,,,,,
GA014,US,,,,,,,,,,,,,,,,,,,,,,
MO024,CS,,,,,,,,,,,,,,,,,,,,,,
MO024,US,,,,,,,,,,,,,,,,,,,,,,
VA076,CS,,,,,,,,,,,,,,,,,,,,,,
VA076,US,,,,,,,,,,,,,,,,,,,,,,
TN017,CS,,,,,,,,,,,,,,,,,,,,,,
TN017,US,,,,,,,,,,,,,,,,,,,,,,
SC007,CS,,,,,,,,,,,,,,,,,,,,,,
SC007,US,,,,,,,,,,,,,,,,,,,,,,
KY011,CS,,,,,,,,,,,,,,,,,,,,,,
KY011,US,,,,,,,,,,,,,,,,,,,,,,
VA058,CS,,,,,,,,,,,,,,,,,,,,,,
VA058,US,,,,,,,,,,,,,,,,,,,,,,
TN021,CS,,,,,,,,,,,,,,,,,,,,,,
TN021,US,,,,,,,,,,,,,,,,,,,,,,
VA075,CS,,,,,,,,,,,,,,,,,,,,,,
VA075,US,,,,,,,,,,,,,,,,,,,,,,
VA033,CS,,,,,,,,,,,,,,,,,,,,,,
VA033,US,,,,,,,,,,,,,,,,,,,,,,
TN033,CS,,,,,,,,,,,,,,,,,,,,,,
TN033,US,,,,,,,,,,,,,,,,,,,,,,
VA119,CS,,,,,,,,,,,,,,,,,,,,,,
VA119,US,,,,,,,,,,,,,,,,,,,,,,
VA013,CS,,,,,,,,,,,,,,,,,,,,,,
VA013,US,,,,,,,,,,,,,,,,,,,,,,
MO016,CS,,,,,,,,,,,,,,,,,,,,,,
MO016,US,,,,,,,,,,,,,,,,,,,,,,
TN003,CS,,,,,,,,,,,,,,,,,,,,,,
TN003,US,,,,,,,,,,,,,,,,,,,,,,
LA021,CS,,,,,,,,,,,,,,,,,,,,,,
LA021,US,,,,,,,,,,,,,,,,,,,,,,
AL002,CS,,,,,,,,,,,,,,,,,,,,,,
AL002,US,,,,,,,,,,,,,,,,,,,,,,
KY003,CS,,,,,,,,,,,,,,,,,,,,,,
KY003,US,,,,,,,,,,,,,,,,,,,,,,
GA018,CS,,,,,,,,,,,,,,,,,,,,,,
GA018,US,,,,,,,,,,,,,,,,,,,,,,
WV001,CS,,,,,,,,,,,,,,,,,,,,,,
WV001,US,,,,,,,,,,,,,,,,,,,,,,
SC008,CS,,,,,,,,,,,,,,,,,,,,,,
SC008,US,,,,,,,,,,,,,,,,,,,,,,
VA090,CS,,,,,,,,,,,,,,,,,,,,,,
VA090,US,,,,,,,,,,,,,,,,,,,,,,
WV003,CS,,,,,,,,,,,,,,,,,,,,,,
WV003,US,,,,,,,,,,,,,,,,,,,,,,
KY001,CS,,,,,,,,,,,,,,,,,,,,,,
KY001,US,,,,,,,,,,,,,,,,,,,,,,
GA017,CS,,,,,,,,,,,,,,,,,,,,,,
GA017,US,,,,,,,,,,,,,,,,,,,,,,
VA104,CS,,,,,,,,,,,,,,,,,,,,,,
VA104,US,,,,,,,,,,,,,,,,,,,,,,
VA012,CS,,,,,,,,,,,,,,,,,,,,,,
VA012,US,,,,,,,,,,,,,,,,,,,,,,
VA044,CS,,,,,,,,,,,,,,,,,,,,,,
VA044,US,,,,,,,,,,,,,,,,,,,,,,
TN006,CS,,,,,,,,,,,,,,,,,,,,,,
TN006,US,,,,,,,,,,,,,,,,,,,,,,
MN001,US,,,,,,,,,,,,,,,,,,,,,,
MN001,I,,,,,,,,,,,,,,,,,,,,,,
LA010,CS,,,,,,,,,,,,,,,,,,,,,,
LA010,US,,,,,,,,,,,,,,,,,,,,,,
WV002,CS,,,,,,,,,,,,,,,,,,,,,,
WV002,US,,,,,,,,,,,,,,,,,,,,,,
LA016,CS,,,,,,,,,,,,,,,,,,,,,,
LA016,US,,,,,,,,,,,,,,,,,,,,,,
VA099,CS,,,,,,,,,,,,,,,,,,,,,,
VA099,US,,,,,,,,,,,,,,,,,,,,,,
VA118,CS,,,,,,,,,,,,,,,,,,,,,,
VA118,US,,,,,,,,,,,,,,,,,,,,,,
FL005,CS,,,,,,,,,,,,,,,,,,,,,,
FL005,US,,,,,,,,,,,,,,,,,,,,,,
AR004,CS,,,,,,,,,,,,,,,,,,,,,,
AR004,US,,,,,,,,,,,,,,,,,,,,,,
AR017,CS,,,,,,,,,,,,,,,,,,,,,,
AR017,US,,,,,,,,,,,,,,,,,,,,,,
OK005,CS,,,,,,,,,,,,,,,,,,,,,,
OK005,US,,,,,,,,,,,,,,,,,,,,,,
KY004,CS,,,,,,,,,,,,,,,,,,,,,,
