battle,state,location
WV016,WV,Jefferson County
WV016,MD,Washington County
GA021,GA,Clayton County
GA021,GA,Henry County
VA069,VA,Henrico County
ND003,ND,Burleigh County
SC005,SC,City of Charleston
MO021,MO,Iron County
VA124,VA,Amelia County
TN034,TN,Maury County
TN001,TN,Stewart County
TN001,TN,Henry Counties
TN001,KY,Calloway County
AL005,AL,Baldwin County
VA082,VA,Smyth County
VA082,VA,Washington County
GA013,GA,Cobb County
GA013,GA,Fulton County
GA013,GA,Paulding County
VA014,VA,Henrico County
VA062,VA,Hanover County
GA014,GA,Cobb County
MO024,MO,Jackson County
VA076,VA,Smyth County
VA076,VA,Washington County
TN017,TN,Bedford County
TN017,TN,Rutherford County
SC007,SC,City of Charleston
KY011,KY,Harrison County
VA058,VA,Hanover County
TN021,TN,Hamilton County
TN021,TN,Marion County
TN021,TN,Dade County
VA075,VA,Henrico County
VA033,VA,Spotsylvania County
VA033,VA,Stafford County
TN033,TN,Hamblen County County
TN033,TN,Greene County
VA119,VA,Frederick County
VA119,VA,Clarke County
VA013,VA,Hanover County
MO016,MO,Newton County
TN003,TN,Hardin County
LA021,LA,Natchitoches Parish
AL002,AL,Limestone County
AL002,AL,Morgan County
AL002,TN,Giles County
KY003,KY,Floyd County
GA018,GA,Fulton County
WV001,WV,Barbour County
WV001,WV,Taylor County
SC008,SC,City of Charleston
VA090,VA,Dinwiddie County
WV003,WV,Randolph County
KY001,KY,Knox County
GA017,GA,Dekalb County
GA017,GA,Fulton County
VA104,VA,Frederick County
VA104,VA,City of Winchester
VA012,VA,Chesterfield County
VA044,VA,Orange County
TN006,TN,Rutherford County
MN001,MN,Nicolett County
LA010,LA,East Baton Rouge Parish
LA010,LA,East Feliciana Parish
WV002,WV,Berkeley County
LA016,LA,Point Coupee Parish
LA016,LA,St. Landy Parish
VA099,VA,Louisa County
VA118,VA,Clarke County
FL005,FL,Baker County
AR004,AR,Washington County
AR017,AR,Chicot County
OK005,OK,
KY004,KY,Hart County
VA052,VA,Henrico County
VA098,VA,City of Petersburg
LA011,LA,Madison Parish
LA011,MS,Warren County
VA023,VA,Culpeper County
VA023,VA,Fauquier County
VA002,VA,Stafford County
VA002,MD,Charles County
TN005,TN,Hamilton County
TN005,TN,City of Chattanooga
AR015,AR,Cleveland County
KS001,KS,Douglas County
VA123,VA,Augusta County
VA004,VA,Prince William and Fairfax Counties
VA027,VA,Fairfax County
VA093,VA,Amelia County
VA093,VA,Prince Edward County
VA093,VA,Nottoway County
VA113,VA,Halifax County
VA113,VA,Charlotte County
MS006,MS,Claiborne County
GA027,GA,Burke County
LA013,LA,Ascension Parish
FL002,FL,City of Tampa
TN002,TN,Stewart County
TN027,TN,Jefferson County
LA017,LA,Avoyelles Parish
GA023,GA,Bartow County
GA023,GA,Cobb County
KY007,KY,Madison County
FL006,FL,Leon County
FL006,FL,Wakulla County
LA005,LA,Assumption Parish
LA005,LA,Lafourche Parish
