battle,combatant,fullname,rank
GA017,CS,John Bell Hood,General
GA017,US,William T. Sherman,Major General
VA113,CS,"William H.F. ""Rooney"" Lee",Major General
VA113,US,James Wilson,Brigadier General
VA113,US,August Kautz,Brigadier General
VA005,CS,Joseph E. Johnston,Brigadier General
VA005,CS,P.G.T. Beauregard,Brigadier General
VA005,US,Irvin McDowell,Brigadier General
FL005,CS,Joseph Finegan,Brigadier General
FL005,US,Truman Seymour,Brigadier General
MO010,CS,Caleb Dorsey,Colonel
MO010,US,Benjamin M. Prentiss,Brigadier General
VA087,CS,Robert E. Lee,General
VA087,CS,Richard Anderson,Lieutenant General
VA087,US,G.K. Warren,Major General
MO025,CS,James F. Fagan,Brigadier General
MO025,CS,John S. Marmaduke,Brigadier General
MO025,US,Alfred Pleasonton,Major General
LA005,CS,Alfred Mouton,Brigadier General
LA005,US,Godfrey Weitzel,Brigadier General
VA012,CS,E. Farrand,Commander
VA012,CS,William Mahone,Brigadier General
VA012,CS,S. S. Lee,Captain (Naval)
VA012,CS,John Taylor Wood,Lieutenant
VA012,US,John Rodgers,Commander
VA051,CS,P.G.T. Beauregard,General
VA051,US,Benjamin Butler,Major General
VA091,CS,Thomas Rosser,Major General
VA091,CS,Fitzhugh Lee,Major General
VA091,US,George Crook,Major General
VA046,CS,Robert E. Lee,General
VA046,US,Ulysses S. Grant,Lieutenant General
VA046,US,George G. Meade,Major General
NC010,CS,D.H. Hill,Major General
NC010,US,Hiram Anderson,Lieutenant Colonel
VA056,CS,Fitzhugh Lee,Major General
VA056,US,Edward Wild,Brigadier General
TN014,CS,John Hunt Morgan,Brigadier General
TN014,US,Albert S. Hall,Colonel
FL003,CS,Charles F. Hopkins,Lieutenant Colonel
FL003,US,John M. Brannan,Brigadier General
TN026,CS,James Longstreet,Lieutenant General
TN026,US,James Shackelford,Brigadier General
VA075,CS,Robert E. Lee,General
VA075,CS,Richard S. Ewell,Lieutenant General
VA075,US,Benjamin Butler,Major General
NC005,CS,Ambrose Wright,Colonel
NC005,US,Jesse Lee Reno,Brigadier General
VA006,CS,Nathan Evans,Brigadier General
VA006,US,Charles P. Stone,Brigadier General
VA006,US,Edward Baker,Colonel
VA031,CS,James Longstreet,Lieutenant General
VA031,US,John Peck,Brigadier General
OK004,CS,Douglas H. Cooper,Colonel
OK004,US,James G. Blunt,Brigadier General
VA099,CS,Wade Hampton,Major General
VA099,US,Philip Sheridan,Major General
VA116,CS,Jubal A. Early,Lieutenant General
VA116,US,George Crook,Brigadier General
VA068,CS,William Mahone,Major General
VA068,CS,Fitzhugh Lee,Major General
VA068,US,James Wilson,Major General
VA068,US,August Kautz,Brigadier General
TN020,CS,John S. Williams,Brigadier General
TN020,US,Ambrose E. Burnside,Major General
VA067,CS,Wade Hampton,Major General
VA067,US,James Wilson,Brigadier General
VA067,US,August Kautz,Brigadier General
GA023,CS,Samuel G. French,Major General
GA023,US,John M. Corse,Brigadier General
MS012,CS,Leonidas Polk,Lieutenant General
MS012,US,William T. Sherman,Major General
SC003,CS,James McCullough,Colonel
SC003,US,A.C. Rhind,Lieutenant
WV013,CS,John McCausland,Brigadier General
WV013,US,William W. Averell,Brigadier General
MO016,CS,Douglas H. Cooper,Colonel
MO016,US,Friedrich Salomon,Brigadier General
VA011,CS,Gustavius W. Smith,Major General
VA011,US,William B. Franklin,Brigadier General
TN021,CS,Micah Jenkins,Brigadier General
TN021,US,Joseph Hooker,Major General
MO024,CS,Sterling Price,Major General
MO024,US,Samuel R. Curtis,Major General
LA022,CS,Richard Taylor,Major General
LA022,US,Nathaniel P. Banks,Major General
KY005,CS,Humphrey Marshall,Brigadier General
KY005,US,James Garfield,Colonel
NC002,CS,Henry Wise,Brigadier General
NC002,US,Ambrose E. Burnside,Brigadier General
GA002,CS,George A. Anderson,Captain
GA002,US,P. Drayton,Captain (Naval)
AR016,CS,E. Kirby Smith,General
AR016,US,Fred Steele,Major General
LA023,CS,Richard Taylor,Major General
LA023,US,Joseph A. Mower,Brigadier General
LA018,CS,Richard Taylor,Major General
LA018,US,Nathaniel P. Banks,Major General
LA004,CS,Phillippe Landry,Captain
LA004,US,David G. Farragut,Rear Admiral
VA007,CS,J.E.B. Stuart,Brigadier General
VA007,US,Edward O.C. Ord,Brigadier General
NC018,CS,Joseph Wheeler,Major General
NC018,CS,Wade Hampton,Lieutenant General
NC018,US,H. Judson Kilpatrick,Brigadier General
SC006,CS,Johnson Hagood,Brigadier General
SC006,US,Alfred H. Terry,Brigadier General
MO020,CS,John S. Marmaduke,Brigadier General
MO020,US,John McNeil,Brigadier General
VA029,CS,Fitzhugh Lee,Brigadier General
VA029,US,William W. Averell,Brigadier General
GA012,CS,Patrick R. Cleburne,Major General
GA012,US,Oliver O. Howard,Major General
MO007,CS,M. Jeff Thompson,Brigadier General
MO007,US,J.B. Plummer,Colonel
MO007,US,William P. Carlin,Colonel
MO022,CS,John B. Clark,Brigadier General
MO022,CS,Joseph Shelby,Brigadier General
MO022,US,Chester Harding,Colonel
ID001,US,Patrick Edward Connor,Colonel
ID001,I,Bear Hunter,Chief
MO004,US,Nathaniel Lyon,Brigadier General
MO004,US,Samuel D. Sturgis,Major General
OH001,CS,John Hunt Morgan,Brigadier General
OH001,US,Edward H. Hobson,Brigadier General
CO001,US,John Chivington,Colonel
LA001,CS,Johnson K. Duncan,Brigadier General
LA001,CS,John K. Mitchell,Commander
LA001,US,David G. Farragut,Flag Officer
TN013,CS,Earl Van Dorn,Major General
TN013,US,John Coburn,Colonel
LA020,CS,Tom Green,Brigadier General
LA020,US,Thomas Kilby Smith,Brigadier General
