battle,spell,start_date,end_date
WV016,1,1862-9-19,1862-9-20
GA021,1,1864-8-20,1864-8-20
VA069,1,1864-7-27,1864-7-29
ND003,1,1863-7-28,1863-7-28
SC005,1,1863-7-10,1863-7-11
MO021,1,1864-9-26,1864-9-27
VA124,1,1865-4-3,1865-4-3
TN034,1,1864-11-24,1864-11-29
TN001,1,1862-2-6,1862-2-6
AL005,1,1865-3-27,1865-4-8
VA082,1,1864-12-20,1864-12-21
GA013,1,1864-6-9,1864-7-9
VA014,1,1862-5-31,1862-6-1
VA062,1,1864-5-31,1864-6-12
GA014,1,1864-6-22,1864-6-22
MO024,1,1864-10-21,1864-10-21
VA076,1,1864-10-2,1864-10-2
TN017,1,1863-6-24,1863-6-26
SC007,1,1863-7-18,1863-7-18
KY011,1,1864-6-11,1864-6-12
VA058,1,1864-5-28,1864-5-28
TN021,1,1863-10-28,1863-10-29
VA075,1,1864-9-29,1864-9-30
VA033,1,1863-5-3,1863-5-4
TN033,1,1864-11-11,1864-11-13
VA119,1,1864-9-19,1864-9-19
VA013,1,1862-5-27,1862-5-27
MO016,1,1862-9-30,1862-9-30
TN003,1,1862-4-6,1862-4-7
LA021,1,1864-4-23,1864-4-23
AL002,1,1864-9-23,1864-9-25
KY003,1,1861-11-8,1861-11-9
GA018,1,1864-7-28,1864-7-28
WV001,1,1861-6-3,1861-6-3
SC008,1,1863-8-17,1863-9-8
VA090,1,1865-4-2,1865-4-2
WV003,1,1861-7-11,1861-7-11
KY001,1,1861-9-19,1861-9-19
GA017,1,1864-7-22,1864-7-22
VA104,1,1862-5-25,1862-5-25
VA012,1,1862-5-15,1862-5-15
VA044,1,1863-11-27,1863-12-2
TN006,1,1862-7-13,1862-7-13
MN001,1,1862-8-20,1862-8-22
LA010,1,1863-5-22,1863-7-9
WV002,1,1861-7-2,1861-7-2
LA016,1,1863-9-29,1863-9-29
VA099,1,1864-6-11,1864-6-12
VA118,1,1864-9-3,1864-9-4
FL005,1,1864-2-20,1864-2-20
AR004,1,1862-11-28,1862-11-28
AR017,1,1864-6-6,1864-6-6
OK005,1,1864-2-13,1864-2-13
KY004,1,1861-12-17,1861-12-17
VA052,1,1864-5-11,1864-5-11
VA098,1,1864-6-9,1864-6-9
LA011,1,1863-6-7,1863-6-7
VA023,1,1862-8-22,1862-8-25
VA002,1,1861-5-29,1861-6-1
TN005,1,1862-6-7,1862-6-8
AR015,1,1864-4-25,1864-4-25
KS001,1,1863-8-21,1863-8-21
VA123,1,1865-3-2,1865-3-2
VA004,1,1861-7-18,1861-7-18
VA027,1,1862-9-1,1862-9-1
VA093,1,1865-4-6,1865-4-6
VA113,1,1864-6-25,1864-6-25
MS006,1,1863-5-1,1863-5-1
GA027,1,1864-12-4,1864-12-4
LA013,1,1863-6-28,1863-6-28
FL002,1,1862-6-30,1862-7-1
TN002,1,1862-2-11,1862-2-16
TN027,1,1863-12-29,1863-12-29
LA017,1,1864-3-14,1864-3-14
GA023,1,1864-10-5,1864-10-5
KY007,1,1862-8-29,1862-8-30
FL006,1,1865-3-6,1865-3-6
LA005,1,1862-10-27,1862-10-27
AR001,1,1862-3-6,1862-3-8
MS001,1,1862-9-19,1862-9-19
VA100,1,1862-1-3,1862-1-3
WV006,1,1861-9-10,1861-9-10
KY008,1,1862-9-14,1862-9-17
NC001,1,1861-8-28,1861-8-29
ID001,1,1863-1-29,1863-1-29
VA017,1,1862-6-27,1862-6-27
VA018,1,1862-6-27,1862-6-28
OK007,1,1863-7-17,1863-7-17
MO025,1,1864-10-22,1864-10-22
MO023,1,1864-10-19,1864-10-19
TN012,1,1863-2-3,1863-2-3
ND001,1,1863-7-24,1863-7-25
NC012,1,1864-4-17,1864-4-20
MS014,1,1864-6-10,1864-6-10
TN020,1,1863-10-10,1863-10-10
VA108,1,1863-7-23,1863-7-23
NC009,1,1862-12-17,1862-12-17
MS015,1,1864-7-14,1864-7-15
MO007,1,1861-10-21,1861-10-21
TN007,1,1862-10-5,1862-10-5
VA015,1,1862-6-25,1862-6-25
VA096,1,1865-4-8,1865-4-8
VA109,1,1864-5-10,1864-5-10
LA001,1,1862-4-16,1862-4-28
LA008,1,1863-4-17,1863-4-17
GA019,1,1864-8-5,1864-8-7
TN008,1,1862-12-7,1862-12-7
LA009,1,1863-5-21,1863-5-21
VA035,1,1863-6-9,1863-6-9
WV005,1,1861-9-12,1861-9-15
TN016,1,1863-4-10,1863-4-10
VA079,1,1864-10-27,1864-10-28
MO008,1,1861-10-25,1861-10-25
AR014,1,1864-4-18,1864-4-18
VA057,1,1864-5-28,1864-5-30
NC004,1,1862-3-23,1862-4-26
VA039,1,1863-10-13,1863-10-13
MO015,1,1862-8-15,1862-8-16
AR002,1,1862-6-17,1862-6-17
LA004,1,1862-8-9,1862-8-9
TN015,1,1863-3-25,1863-3-25
AL007,1,1865-4-2,1865-4-2
VA120,1,1864-9-21,1864-9-22
PA002,1,1863-7-1,1863-7-3
MO029,1,1864-10-28,1864-10-28
VA116,1,1864-7-24,1864-7-24
NC013,1,1864-5-5,1864-5-5
