cwsac,combatant,forces_text,description,armies,artillery_batteries,artillery_companies,artillery_regiments,artillery_sections,brigades,cavalry_brigades,cavalry_companies,cavalry_corps,cavalry_divisions,cavalry_regiments,companies,corps,divisions,guns,infantry_regiments,regiments,ships,strength,strength_other
GA022,CS,"Military Division of the Mississippi [US]; Hardee and Lee's Corps, Army of Tennessee [CS]","Hardee and Lee's Corps, Army of Tennessee",,,,,,,,,,,,,2,,,,,,,
GA022,US,"Military Division of the Mississippi [US]; Hardee and Lee's Corps, Army of Tennessee [CS]",Military Division of the Mississippi,,,,,,,,,,,,,,,,,,,,
VA092,CS,"Corps (7,500 US; 6,800 CS)","6,800",,,,,,,,,,,,,,,,,,,6800,
VA092,US,"Corps (7,500 US; 6,800 CS)","7,500",,,,,,,,,,,,,,,,,,,7500,
VA105,CS,"Army, 11,500 [US]; Division, 5,800 [CS]","Division, 5,800",,,,,,,,,,,,,,,,,,,5800,
VA105,US,"Army, 11,500 [US]; Division, 5,800 [CS]","Army, 11,500",,,,,,,,,,,,,,,,,,,11500,
SC007,CS,"2nd Division, X Corps, Department of the South, and the South Atlantic Blockading Squadron [US]; Fort Wagner garrison [CS]",Fort Wagner garrison,,,,,,,,,,,,,,,,,,,,
SC007,US,"2nd Division, X Corps, Department of the South, and the South Atlantic Blockading Squadron [US]; Fort Wagner garrison [CS]","2nd Division, X Corps, Department of the South, and the South Atlantic Blockading Squadron",,,,,,,,,,,,,,1,,,,,,
OK003,CS,"Creek, Cherokee, and Seminole allies [US]; Indian Department [CS]",Indian Department,,,,,,,,,,,,,,,,,,,,
OK003,US,"Creek, Cherokee, and Seminole allies [US]; Indian Department [CS]","Creek, Cherokee, and Seminole allies",,,,,,,,,,,,,,,,,,,,
MD006,CS,First and Third U.S. Cavalry Divisions [US]; Stuart’s Cavalry Division [CS],Stuart’s Cavalry Division,,,,,,,,,,1,,,,,,,,,,
MD006,US,First and Third U.S. Cavalry Divisions [US]; Stuart’s Cavalry Division [CS],First and Third U.S. Cavalry Divisions,,,,,,,,,,2,,,,,,,,,,
MO010,CS,"Five Companies of the 3rd Missouri Cavalry and five companies of Birge’s Western Sharpshooters [US]; Dorsey’s Battalion, Missouri Cavalry [CS]","Dorsey’s Battalion, Missouri Cavalry",,,,,,,,,,,0.5,,,,,,,,,
MO010,US,"Five Companies of the 3rd Missouri Cavalry and five companies of Birge’s Western Sharpshooters [US]; Dorsey’s Battalion, Missouri Cavalry [CS]",Five Companies of the 3rd Missouri Cavalry and five companies of Birge’s Western Sharpshooters,,,,,,,,5,,,,5,,,,,,,,
LA004,CS,West Gulf Blockading Squadron [US]; Partisan rangers [CS],Partisan rangers,,,,,,,,,,,,,,,,,,,,
LA004,US,West Gulf Blockading Squadron [US]; Partisan rangers [CS],West Gulf Blockading Squadron,,,,,,,,,,,,,,,,,,,,
