dbpedia,wikipedia
http://dbpedia.org/resource/Samuel_Merrill_(Iowa),http://en.wikipedia.org/wiki/Samuel_Merrill_(Iowa)
http://dbpedia.org/resource/James_Pond_(Medal_of_Honor),http://en.wikipedia.org/wiki/James_Pond_(Medal_of_Honor)
http://dbpedia.org/resource/Silas_Stringham,http://en.wikipedia.org/wiki/Silas_Stringham
http://dbpedia.org/resource/Thomas_L._Rosser,http://en.wikipedia.org/wiki/Thomas_L._Rosser
http://dbpedia.org/resource/Robert_C._Schenck,http://en.wikipedia.org/wiki/Robert_C._Schenck
http://dbpedia.org/resource/Randall_L._Gibson,http://en.wikipedia.org/wiki/Randall_L._Gibson
http://dbpedia.org/resource/J.E.B._Stuart,http://en.wikipedia.org/wiki/J.E.B._Stuart
http://dbpedia.org/resource/Wesley_Merritt,http://en.wikipedia.org/wiki/Wesley_Merritt
http://dbpedia.org/resource/Jeremiah_C._Sullivan,http://en.wikipedia.org/wiki/Jeremiah_C._Sullivan
http://dbpedia.org/resource/Ebenezer_Dumont,http://en.wikipedia.org/wiki/Ebenezer_Dumont
http://dbpedia.org/resource/William_B._Renshaw,http://en.wikipedia.org/wiki/William_B._Renshaw
http://dbpedia.org/resource/Henry_Eustace_McCulloch,http://en.wikipedia.org/wiki/Henry_Eustace_McCulloch
http://dbpedia.org/resource/Garrett_J._Pendergrast,http://en.wikipedia.org/wiki/Garrett_J._Pendergrast
http://dbpedia.org/resource/Cuvier_Grover,http://en.wikipedia.org/wiki/Cuvier_Grover
http://dbpedia.org/resource/John_McArthur,http://en.wikipedia.org/wiki/John_McArthur
http://dbpedia.org/resource/Nathaniel_P._Banks,http://en.wikipedia.org/wiki/Nathaniel_P._Banks
http://dbpedia.org/resource/Philip_Sheridan,http://en.wikipedia.org/wiki/Philip_Sheridan
http://dbpedia.org/resource/John_Newton_(engineer),http://en.wikipedia.org/wiki/John_Newton_(engineer)
http://dbpedia.org/resource/Julius_White,http://en.wikipedia.org/wiki/Julius_White
