battle,cwsac,relation
3876,'MO004',=
7003,'VA005',=
450,'AR005',=
1989,'KY007',=
2065,'KY009',=
2963,'MD002',=
2964,'MD003',=
2969,'MD003',=
3235,'MS002',=
4966,'NC002',=
4972,'NC003',=
5554,'TN003',=
5593,'TN004',=
5849,'TN010',=
7084,'VA101',=
7141,'VA010',=
7212,'VA014',=
7235,'VA105',=
7274,'VA016',=
7281,'VA017',=
7292,'VA019',=
7293,'VA019',=
7302,'VA020',=
7303,'VA021',=
7358,'VA022',=
7413,'VA026',=
7415,'VA027',=
7564,'VA028',=
1394,'GA004',=
3354,'MS006',=
3394,'MS009',=
5273,'PA002',=
7727,'VA032',=
7736,'VA034',=
7741,'VA033',=
7742,'VA033',=
7818,'VA107',=
8022,'VA040',=
201,'AL003',=
1240,'FL005',=
1463,'GA008',=
1604,'GA016',=
1609,'GA017',=
1626,'GA018',=
1674,'GA022',=
2658,'LA018',=
3062,'MD007',=
3714,'MS014',=
6794,'TN036',=
6823,'TN038',=
8288,'VA046',=
8423,'VA057',=
8649,'VA072',=
8664,'VA073',=
8709,'VA119',=
8716,'VA120',=
8746,'VA074',=
8801,'VA122',=
5203,'NC017',=
5210,'NC019',=
5219,'NC020',=
8907,'VA083',=
8966,'VA088',=
2018,'KY008',=
2509,'LA010',=
3402,'MS011',=
3910,'MO006',=
4974,'NC004',=
5056,'NC011',=
5163,'NC012',=
5378,'SC007',=
5533,'MO012',=
6271,'TN024',=
6388,TN027,>
6388,TN028,>
6388,TN029,>
7014,'VA009',=
7671,'VA031',=
7747,'VA031',=
9815,'WV010',=
7671,'VA031',=
7671,'VA031',=
