"from","to"
"Abadonment","Abandonment"
"Abandonment","Abandonment"
"Accident","Accident"
"Aciton","Action"
"Action","Action"
"Action.","Action"
"Actions","Action"
"Adoption","Adoption"
"Advance","Advance"
"Affair","Affair"
"Affair.","Affair"
"Affairs","Affair"
"Arrival","Arrival"
"Assault","Assault"
"Assaults","Assault"
"Attack","Attack"
"Attacks","Attack"
"Attempt","Attempt"
"Battle","Battle"
"Battles","Battle"
"Bombardment","Bombardment"
"Burning","Burning"
"Campaign","Campaign"
"Capture","Capture"
"Carter"s",Raid"
"Combat","Combat"
"Combats","Combat"
"Construction","Construction"
"Convoy","Convoy"
"Defence","Defence"
"Defense","Defence"
"Demonstration","Demonstration"
"Demonstrations","Demonstration"
"Descent","Descent"
"Destruction","Destruction"
"Engagement","Engagement"
"Engagement.","Engagement"
"Engagements","Engagement"
"Evacuation","Evacuation"
"Evp.","Exp."
"Exp.","Exp."
"Expedifion","Expedition"
"Expedition","Expedition"
"Expeditions","Expedition"
"Explosion","Explosion"
"Firing","Firing"
"Flank","Flank"
"Garrison","Garrison"
"General","General"
"Investment","Investment"
"Landing","Landing"
"March","March"
"Massacre","Massacre"
"Movement","Movement"
"Mutiny","Mutiny"
"Night","Night"
"Occ.","Occupation"
"Occupation","Occupation"
"Operations","Occupation"
"Passage","Passage"
"Picket","Picket"
"Pittinger"s","Raid"
"Pursuit","Pursuit"
"Raid","Raid"
"Reconn","Reconn"
"Reconn.","Reconn"
"Reconnn.","Reconn"
"Reconnoissance","Reconn"
"Reconnolssance","Reconn"
"Recononissance","Reconn"
"Reoccupation","Reoccupation"
"Retreat","Retreat"
"Riot","Riot"
"Running","Running"
"Scout","Scout"
"Scouts","Scout"
"Seizure","Seizure"
"Siege","Siege"
"Skirmish","Skirmish"
"Skirmish.","Skirmish"
"Skirmishes","Skirmish"
"Skirmishes.","Skirmish"
"Skrmish","Skirmish"
"Slege","Siege"
"Sloge","Siege"
"Stoneman's","Raid"
"Surrender","Surrender"
"Swirmish","Skirmish"
"Torpedo","Torpedo"
"Transfer","Transfer"
