battle,belligerent,strength_min,strength_max,brigades,companies,divisions,armies,corps,regiments,cavalry_companies,cavalry_brigades,cavalry_corps,cavalry_divisions,cavalry_regiments,artillery_sections,artillery_battalions,artillery_batteries,artillery_companies,artillery_regiments,artillery_brigade,guns,ships,ironclads,monitors,wooden_warships,ships_misc,rams,transports,gunboats,casualties_min,casualties_max,killed_min,killed_max,wounded_min,wounded_max,missing_min,missing_max,captured_min,captured_max,killed_wounded_min,killed_wounded_max,wounded_missing_min,wounded_missing_max,captured_missing_min,captured_missing_max,losses_guns,losses_ships,losses_trains,losses_wagons
http://en.wikipedia.org/wiki/Battle_of_Adairsville,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://en.wikipedia.org/wiki/Battle_of_Adairsville,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,,,,,,,,,,,,,,,,,,
http://en.wikipedia.org/wiki/Battle_of_Albemarle_Sound,CS,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,57,57,,,,,,,,
http://en.wikipedia.org/wiki/Battle_of_Albemarle_Sound,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,31,31,,,,,,,,
http://en.wikipedia.org/wiki/Battle_of_Aldie,CS,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,110,119,,,,,,,,,,,,,,,,,,
http://en.wikipedia.org/wiki/Battle_of_Aldie,US,2000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,305,305,,,,,,,,,,,,,,,,,,
http://en.wikipedia.org/wiki/Battle_of_Allatoona,CS,3276,3276,,,,,,,,,,,,,,,,,,,,,,,,,,,897,897,,,,,,,,,,,,,,,,,,
http://en.wikipedia.org/wiki/Battle_of_Allatoona,US,2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,706,706,,,,,,,,,,,,,,,,,,
http://en.wikipedia.org/wiki/Battle_of_Amelia_Springs,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,
http://en.wikipedia.org/wiki/Battle_of_Amelia_Springs,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,158,,,,,,,,,,,,,,,,,,
http://en.wikipedia.org/wiki/Battle_of_Antietam,US,75500,75500,,,,,,,,,,,,,,,,,,,,,,,,,,,12401,12401,2108,2108,9540,9540,,,,,,,,,753,753,,,,
http://en.wikipedia.org/wiki/Battle_of_Antietam,CS,38000,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,10316,10316,1546,1546,7752,7752,,,,,,,,,1018,1018,,,,
http://en.wikipedia.org/wiki/Battle_of_Appomattox_Court_House,US,100000,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,164,164,,,,,,,,,,,,,,,,,,
http://en.wikipedia.org/wiki/Battle_of_Appomattox_Court_House,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28000,28000,,,,,,,27805,27805,500,500,,,,,,,,
http://en.wikipedia.org/wiki/Battle_of_Appomattox_Station,US,4000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,,,,,,,,
