from,to,relation
http://en.wikipedia.org/wiki/Battle_of_Day's_Gap,AL001,=
http://en.wikipedia.org/wiki/Battle_of_Athens_(1864),AL002,=
http://en.wikipedia.org/wiki/Battle_of_Mobile_Bay,AL003,=
http://en.wikipedia.org/wiki/Battle_of_Decatur,AL004,=
http://en.wikipedia.org/wiki/Battle_of_Spanish_Fort,AL005,=
http://en.wikipedia.org/wiki/Battle_of_Fort_Blakely,AL006,=
http://en.wikipedia.org/wiki/Battle_of_Selma,AL007,=
http://en.wikipedia.org/wiki/Battle_of_Sulphur_Creek_Trestle,AL008,=
http://en.wikipedia.org/wiki/Battle_of_Pea_Ridge,AR001,=
http://en.wikipedia.org/wiki/Battle_of_Saint_Charles,AR002,=
http://en.wikipedia.org/wiki/Battle_of_Cotton_Plant,AR003,=
http://en.wikipedia.org/wiki/Battle_of_Cane_Hill,AR004,=
http://en.wikipedia.org/wiki/Battle_of_Prairie_Grove,AR005,=
http://en.wikipedia.org/wiki/Battle_of_Fort_Hindman,AR006,=
http://en.wikipedia.org/wiki/Battle_of_Chalk_Bluff,AR007,=
http://en.wikipedia.org/wiki/Battle_of_Helena,AR008,=
http://en.wikipedia.org/wiki/Battle_of_Devil's_Backbone,AR009,=
http://en.wikipedia.org/wiki/Battle_of_Bayou_Fourche,AR010,=
http://en.wikipedia.org/wiki/Battle_of_Pine_Bluff,AR011,=
http://en.wikipedia.org/wiki/Battle_of_Elkin's_Ferry,AR012,=
http://en.wikipedia.org/wiki/Battle_of_Prairie_D'Ane,AR013,=
http://en.wikipedia.org/wiki/Battle_of_Poison_Spring,AR014,=
http://en.wikipedia.org/wiki/Battle_of_Marks'_Mills,AR015,=
http://en.wikipedia.org/wiki/Battle_of_Jenkins'_Ferry,AR016,=
http://en.wikipedia.org/wiki/Battle_of_Old_River_Lake,AR017,=
http://en.wikipedia.org/wiki/Battle_of_Bayou_Meto,AR018,=
http://en.wikipedia.org/wiki/Battle_of_Fort_Stevens,DC001,=
http://en.wikipedia.org/wiki/Battle_of_Santa_Rosa_Island,FL001,=
http://en.wikipedia.org/wiki/Battle_of_Tampa,FL002,=
http://en.wikipedia.org/wiki/Battle_of_Saint_John's_Bluff,FL003,=
http://en.wikipedia.org/wiki/Battle_of_Fort_Brooke,FL004,=
http://en.wikipedia.org/wiki/Battle_of_Olustee,FL005,=
http://en.wikipedia.org/wiki/Battle_of_Natural_Bridge,FL006,=
http://en.wikipedia.org/wiki/Battle_of_Fort_Pulaski,GA001,=
http://en.wikipedia.org/wiki/Battle_of_Fort_McAllister_I,GA002,=
http://en.wikipedia.org/wiki/Battle_of_Davis's_Cross_Roads,GA003,=
http://en.wikipedia.org/wiki/Battle_of_Chickamauga,GA004,=
http://en.wikipedia.org/wiki/Battle_of_Ringgold_Gap,GA005,=
http://en.wikipedia.org/wiki/First_Battle_of_Dalton,GA006,=
http://en.wikipedia.org/wiki/Battle_of_Rocky_Face_Ridge,GA007,=
http://en.wikipedia.org/wiki/Battle_of_Resaca,GA008,=
http://en.wikipedia.org/wiki/Battle_of_Adairsville,GA009,=
http://en.wikipedia.org/wiki/Battle_of_New_Hope_Church,GA010,=
http://en.wikipedia.org/wiki/Battle_of_Dallas,GA011,=
http://en.wikipedia.org/wiki/Battle_of_Pickett's_Mill,GA012,=
http://en.wikipedia.org/wiki/Battle_of_Marietta,GA013,=
http://en.wikipedia.org/wiki/Battle_of_Kolb's_Farm,GA014,=
http://en.wikipedia.org/wiki/Battle_of_Kennesaw_Mountain,GA015,=
http://en.wikipedia.org/wiki/Battle_of_Peachtree_Creek,GA016,=
http://en.wikipedia.org/wiki/Battle_of_Atlanta,GA017,=
http://en.wikipedia.org/wiki/Battle_of_Ezra_Church,GA018,=
http://en.wikipedia.org/wiki/Battle_of_Utoy_Creek,GA019,=
http://en.wikipedia.org/wiki/Second_Battle_of_Dalton,GA020,=
http://en.wikipedia.org/wiki/Battle_of_Lovejoy's_Station,GA021,=
http://en.wikipedia.org/wiki/Battle_of_Jonesborough,GA022,=
http://en.wikipedia.org/wiki/Battle_of_Allatoona,GA023,=
http://en.wikipedia.org/wiki/Battle_of_Griswoldville,GA025,=
http://en.wikipedia.org/wiki/Battle_of_Buck_Head_Creek,GA026,=
http://en.wikipedia.org/wiki/Battle_of_Waynesboro_(Georgia),GA027,=
http://en.wikipedia.org/wiki/Second_Battle_of_Fort_McAllister,GA028,=
http://en.wikipedia.org/wiki/Battle_of_Corydon,IN001,=
http://en.wikipedia.org/wiki/Battle_of_Fort_Blair,KS002,=
http://en.wikipedia.org/wiki/Battle_of_Mine_Creek,KS003,=
http://en.wikipedia.org/wiki/Battle_of_Marais_des_Cygnes,KS004,=
http://en.wikipedia.org/wiki/Battle_of_Barbourville,KY001,=
http://en.wikipedia.org/wiki/Battle_of_Camp_Wildcat,KY002,=
http://en.wikipedia.org/wiki/Battle_of_Ivy_Mountain,KY003,=
http://en.wikipedia.org/wiki/Battle_of_Rowlett's_Station,KY004,=
http://en.wikipedia.org/wiki/Battle_of_Middle_Creek,KY005,=
http://en.wikipedia.org/wiki/Battle_of_Mill_Springs,KY006,=
http://en.wikipedia.org/wiki/Battle_of_Richmond,KY007,=
http://en.wikipedia.org/wiki/Battle_of_Munfordville,KY008,=
http://en.wikipedia.org/wiki/Battle_of_Perryville,KY009,=
http://en.wikipedia.org/wiki/Battle_of_Paducah,KY010,=
http://en.wikipedia.org/wiki/Battle_of_Cynthiana,KY011,=
http://en.wikipedia.org/wiki/Battle_of_Forts_Jackson_and_St._Philip,LA001,=
http://en.wikipedia.org/wiki/Capture_of_New_Orleans,LA002,=
http://en.wikipedia.org/wiki/Battle_of_Baton_Rouge_(1862),LA003,=
http://en.wikipedia.org/wiki/First_Battle_of_Donaldsonville,LA004,=
http://en.wikipedia.org/wiki/Battle_of_Georgia_Landing,LA005,=
http://en.wikipedia.org/wiki/Battle_of_Fort_Bisland,LA006,=
http://en.wikipedia.org/wiki/Battle_of_Irish_Bend,LA007,=
http://en.wikipedia.org/wiki/Battle_of_Vermillion_Bayou,LA008,=
http://en.wikipedia.org/wiki/Battle_of_Plains_Store,LA009,=
http://en.wikipedia.org/wiki/Siege_of_Port_Hudson,LA010,=
http://en.wikipedia.org/wiki/Battle_of_Milliken's_Bend,LA011,=
http://en.wikipedia.org/wiki/Battle_of_LaFourche_Crossing,LA012,=
http://en.wikipedia.org/wiki/Second_Battle_of_Donaldsonville,LA013,=
http://en.wikipedia.org/wiki/Battle_of_Goodrich's_Landing,LA014,=
http://en.wikipedia.org/wiki/Battle_of_Kock's_Plantation,LA015,=
http://en.wikipedia.org/wiki/Battle_of_Stirling's_Plantation,LA016,=
http://en.wikipedia.org/wiki/Battle_of_Fort_De_Russy,LA017,=
http://en.wikipedia.org/wiki/Battle_of_Mansfield,LA018,=
http://en.wikipedia.org/wiki/Battle_of_Pleasant_Hill,LA019,=
http://en.wikipedia.org/wiki/Battle_of_Blair's_Landing,LA020,=
http://en.wikipedia.org/wiki/Battle_of_Monett's_Ferry,LA021,=
http://en.wikipedia.org/wiki/Battle_of_Mansura,LA022,=
http://en.wikipedia.org/wiki/Battle_of_Yellow_Bayou,LA023,=
http://en.wikipedia.org/wiki/Battle_of_Hancock,MD001,=
http://en.wikipedia.org/wiki/Battle_of_South_Mountain,MD002,=
http://en.wikipedia.org/wiki/Battle_of_Antietam,MD003,=
http://en.wikipedia.org/wiki/Battle_of_Williamsport,MD004,=
http://en.wikipedia.org/wiki/Battle_of_Boonsboro,MD006,=
http://en.wikipedia.org/wiki/Battle_of_Monocacy,MD007,=
http://en.wikipedia.org/wiki/Battle_of_Folck's_Mill,MD008,=
http://en.wikipedia.org/wiki/Battle_of_Boonville,MO001,=
http://en.wikipedia.org/wiki/Battle_of_Carthage_(1861),MO002,=
http://en.wikipedia.org/wiki/Battle_of_Liberty,MO003,=
http://en.wikipedia.org/wiki/Battle_of_Wilson's_Creek,MO004,=
http://en.wikipedia.org/wiki/Battle_of_Dry_Wood_Creek,MO005,=
http://en.wikipedia.org/wiki/First_Battle_of_Lexington,MO006,=
http://en.wikipedia.org/wiki/Battle_of_Fredericktown,MO007,=
http://en.wikipedia.org/wiki/First_Battle_of_Springfield,MO008,=
http://en.wikipedia.org/wiki/Battle_of_Belmont,MO009,=
http://en.wikipedia.org/wiki/Battle_of_Mount_Zion_Church,MO010,=
http://en.wikipedia.org/wiki/Battle_of_Roan's_Tan_Yard,MO011,=
http://en.wikipedia.org/wiki/Battle_of_Island_Number_Ten,MO012,=
