"belligerent","battle_name","state","killed","wounded","missing","casualties","aggrow","comment","start_date","end_date"
"US","Big Bethel, Va","VA","18","53","5","76",,"","1861-6-10","1861-6-10"
"US","Carthage, Mo","MO","13","31","0","44",,"","1861-7-5","1861-7-5"
"US","Rich Mountain, W. Va","WV","12","49","0","61",,"","1861-7-11","1861-7-11"
"US","Blackburn's Ford, Va","VA","19","38","26","83",,"","1861-7-18","1861-7-18"
"US","First Bull Run, Va","VA","470","1,071","1,793","3,334",,"","1861-7-21","1861-7-21"
"US","Wilson's Creek, Mo","MO","223","721","291","1,235",,"","1861-8-10","1861-8-10"
"US","Carnifex Ferry, W. Va","WV","17","141","0","158",,"","1861-9-10","1861-9-10"
"US","Greenbrier River, W. Va","WV","8","35","0","43",,"","1861-10-3","1861-10-3"
"US","Ball's Bluff, Va","VA","49","158","714","921",,"","1861-10-21","1861-10-21"
"US","Belmont, Mo","MO","80","322","99","501",,"","1861-11-7","1861-11-7"
"US","Camp Alleghany, W. Va","WV","20","107","10","137",,"","1861-12-13","1861-12-13"
"US","Dranesville, Va","VA","7","61","0","68",,"","1861-12-20","1861-12-20"
"US","Mill Springs, Ky","KY","39","207","0","246",,"","1862-1-19","1862-1-19"
"US","Roanoke Island, N. C","NC","37","214","13","264",,"","1862-2-8","1862-2-8"
"US","Fort Donelson, Tenn","TN","500","2,108","224","2,832",,"","1862-2-15","1862-2-15"
"US","New Madrid, Mo","MO","8","21","3","32",,"","1862-3-1","1862-3-14"
"US","Pea Ridge, Mo","MO","203","980","201","1,384",,"","1862-3-6","1862-3-8"
"US","New Berne, N. C","NC","90","380","1","471",,"","1862-3-14","1862-3-14"
"US","Kernstown, Va","VA","118","450","22","590",,"","1862-3-23","1862-3-23"
"US","Shiloh, Tenn","TN","1,754","8,408","2,885","13,047",,"","1862-4-6","1862-4-7"
"US","Camden, N. C. (South Mills）","NC","13","101","13","127",,"","1862-4-19","1862-4-19"
"US","Farmington, Miss","MS","16","148","14","178",,"","1862-5-9","1862-5-9"
"US","Williamsburg, Va","VA","456","1,410","373","2,239",,"","1862-5-5","1862-5-5"
"US","West Point, Va","VA","48","110","28","186",,"","1862-5-7","1862-5-7"
