"belligerent","battle_name","state","killed","wounded","missing","casualties","cavalry","start_date","end_date"
"Union","Big Bethel, Va","VA","18","53","5","76",0,"1861-6-10","1861-6-10"
"Union","Carthage, Mo","MO","13","31","0","44",0,"1861-7-5","1861-7-5"
"Union","Rich Mountain, W. Va","WV","12","49","0","61",0,"1861-7-11","1861-7-11"
"Union","Blackburn's Ford, Va","VA","19","38","26","83",0,"1861-7-18","1861-7-18"
"Union","First Bull Run, Va","VA","470","1,071","1,793","3,334",0,"1861-7-21","1861-7-21"
"Union","Wilson's Creek, Mo","MO","223","721","291","1,235",0,"1861-8-10","1861-8-10"
"Union","Carnifex Ferry, W. Va","WV","17","141","0","158",0,"1861-9-10","1861-9-10"
"Union","Greenbrier River, W. Va","WV","8","35","0","43",0,"1861-10-3","1861-10-3"
"Union","Ball's Bluff, Va","VA","49","158","714","921",0,"1861-10-21","1861-10-21"
"Union","Belmont, Mo","MO","80","322","99","501",0,"1861-11-7","1861-11-7"
"Union","Camp Alleghany, W. Va","WV","20","107","10","137",0,"1861-12-13","1861-12-13"
"Union","Dranesville, Va","VA","7","61","0","68",0,"1861-12-20","1861-12-20"
"Union","Mill Springs, Ky","KY","39","207","0","246",0,"1862-1-19","1862-1-19"
"Union","Roanoke Island, N. C","NC","37","214","13","264",0,"1862-2-8","1862-2-8"
"Union","Fort Donelson, Tenn","TN","500","2,108","224","2,832",0,"1862-2-15","1862-2-15"
"Union","New Madrid, Mo","MO","8","21","3","32",0,"1862-3-1","1862-3-14"
"Union","Pea Ridge, Mo","MO","203","980","201","1,384",0,"1862-3-6","1862-3-8"
"Union","New Berne, N. C","NC","90","380","1","471",0,"1862-3-14","1862-3-14"
"Union","Kernstown, Va","VA","118","450","22","590",0,"1862-3-23","1862-3-23"
"Union","Shiloh, Tenn","TN","1,754","8,408","2,885","13,047",0,"1862-4-6","1862-4-7"
"Union","Camden, N. C. (South Mills）","NC","13","101","13","127",0,"1862-4-19","1862-4-19"
"Union","Farmington, Miss","MS","16","148","14","178",0,"1862-5-9","1862-5-9"
"Union","Williamsburg, Va","VA","456","1,410","373","2,239",0,"1862-5-5","1862-5-5"
"Union","West Point, Va","VA","48","110","28","186",0,"1862-5-7","1862-5-7"
"Union","McDowell, Va","VA","26","227","3","256",0,"1862-5-8","1862-5-8"
"Union","Princeton, W. Va","WV","23","69","21","113",0,"1862-5-16","1862-5-17"
"Union","Russell House, Miss","MS","10","31","0","41",0,"1862-5-17","1862-5-17"
"Union","Lewisburg, W. Va","WV","13","53","7","73",0,"1862-5-23","1862-5-23"
"Union","Front Royal and Winchester, Va","VA","62","243","1,714","2,019",0,"1862-5-23","1862-5-25"
"Union","Hanover Court House, Va","VA","62","223","70","355",0,"1862-5-27","1862-5-27"
"Union","Fair Oaks, Va. (Seven Pines）","VA","790","3,594","647","5,031",0,"1862-5-31","1862-5-31"
"Union","Cross Keys, Va","VA","114","443","127","684",0,"1862-6-8","1862-6-8"
"Union","Port Republic, Va","VA","67","393","558","1,018",0,"1862-6-9","1862-6-9"
"Union","Secessionville, S. C","SC","107","487","89","683",0,"1862-6-16","1862-6-16"
"Union","Oak Grove, Va","VA","67","504","55","626",0,"1862-6-25","1862-6-25"
"Union","Mechanicsville, Va","VA","49","207","105","361",0,"1862-6-26","1862-6-26"
"Union","Gaines's Mill, Va","VA","894","3,107","2,836","6,837",0,"1862-6-27","1862-6-27"
"Union","Golding's Farm, Va","VA","37","227","104","368",0,"1862-6-28","1862-6-28"
"Union","Savage Station, Va","VA","80","412","1,098","1,590",0,"1862-6-29","1862-6-29"
"Union","Glendale, Va","VA","210","1,513","1,130","2,853",0,"1862-6-30","1862-6-30"
"Union","Malvern Hill, Va","VA","397","2,092","725","3,214",0,"1862-7-1","1862-7-1"
"Union","Bayou Cache, Ark","AR","6","57","0","63",0,"1862-7-7","1862-7-7"
"Union","Murfreesboro, Tenn","TN","19","120","46","185",0,"1862-7-13","1862-7-13"
"Union","Baton Rouge, La","LA","84","266","33","383",0,"1862-8-5","1862-8-5"
"Union","Cedar Mountain, Va","VA","314","1,445","622","2,381",0,"1862-8-9","1862-8-9"
"Union","Manassas, Va","VA","1,747","8,452","4,263","14,462",0,"1862-8-16","1862-8-31"
"Union","Richmond, Ky","KY","206","844","4,303","5,353",0,"1862-8-30","1862-8-30"
"Union","Fayetteville, W. Va","WV","25","95","190","310",0,"1862-9-10","1862-9-11"
"Union","Harper's Ferry, Va","VA","44","173","12,520","12,737",0,"1862-9-12","1862-9-15"
"Union","Crampton's Gap, Md","MD","113","418","2","533",0,"1862-9-14","1862-9-14"
"Union","South Mountain, Md","MD","325","1,403","85","1,813",0,"1862-9-14","1862-9-14"
"Union","Munfordville, Ky","KY","15","57","4,076","4,148",0,"1862-9-14","1862-9-16"
"Union","Antietam, Md","MD","2,108","9,549","753","12,410",0,"1862-9-17","1862-9-17"
"Union","Iuka, Miss","MS","141","613","36","790",0,"1862-9-19","1862-9-19"
"Union","Shepherdstown Ford, Va","VA","71","161","131","363",0,"1862-9-19","1862-9-20"
"Union","Corinth, Miss","MS","355","1,841","324","2,520",0,"1862-10-3","1862-10-4"
"Union","Hatchie Bridge, Miss","MS","46","493","31","570",0,"1862-10-5","1862-10-5"
"Union","Chaplin Hills, Ky","KY","845","2,851","515","4,211",0,"1862-10-8","1862-10-8"
"Union","Lawrenceburg, Ky. (Dog Walk）","KY","8","20","13","41",0,"1862-10-8","1862-10-9"
"Union","Pocotaligo, S. C","SC","43","294","3","340",0,"1862-10-22","1862-10-22"
"Union","Georgia Landing, La","LA","18","74","5","97",0,"1862-10-27","1862-10-27"
"Union","Coffeeville, Miss","MS","10","63","41","114",0,"1862-12-5","1862-12-5"
"Union","Hartsville, Tenn","TN","58","204","1,834","2,096",0,"1862-12-7","1862-12-7"
"Union","Prairie Grove, Ark","AR","175","813","263","1,251",0,"1862-12-7","1862-12-7"
"Union","Kinston; Goldsborough, N. C","NC","92","487","12","591",0,"1862-12-12","1862-12-17"
"Union","Fredericksburg, Va","VA","1,284","9,600","1,769","12,653",0,"1862-12-13","1862-12-13"
"Union","Chickasaw Bluffs, Miss","MS","208","1,005","563","1,776",0,"1862-12-28","1862-12-29"
"Union","Parker's Cross Roads, Tenn","TN","27","140","70","237",0,"1862-12-30","1862-12-30"
"Union","Stone's River, Tenn","TN","1,730","7,802","3,717","13,249",0,"1862-12-31","1862-12-31"
"Union","Springfield, Mo","MO","14","146","5","165",0,"1863-1-7","1863-1-8"
"Union","Hartsville, Mo","MO","7","64","2","73",0,"1863-1-11","1863-1-11"
"Union","Arkansas Post, Ark","AR","134","898","29","1,061",0,"1863-1-11","1863-1-11"
"Union","Deserted House, Va","VA","23","108","12","143",0,"1863-1-30","1863-1-30"
"Union","Fort Donelson, Tenn","TN","14","54","10","78",0,"1863-2-3","1863-2-3"
"Union","Thompson's Station, Tenn","TN","48","247","1,151","1,446",0,"1863-3-4","1863-3-5"
"Union","Kelly's Ford, Va","VA","6","50","22","78",0,"1863-3-17","1863-3-17"
"Union","Fort Bisland, La","LA","40","184","","224",0,"1863-4-13","1863-4-13"
"Union","Irish Bend, La","LA","49","274","30","353",0,"1863-4-14","1863-4-14"
"Union","Siege of Suffolk, Va","VA","41","223","2","266",0,"1863-4-11","1863-4-30"
"Union","Magnolia Hills, Miss","MS","131","719","25","875",0,"1863-5-1","1863-5-1"
"Union","Chancellorsville, Va","VA","1,113","7,052","4,422","12,587",0,"1863-5-1","1863-5-4"
