battle,total_min,total_max,us_kwm_min,us_kwm_max,us_m,us_kw_min,us_kw_max,cs_kwm_min,cs_kwm_max,cs_m,cs_kw_min,cs_kw_max,i_kwm,partic,description
AL001,,,23,23,,,,65,65,,,,,CS US,"23 US, 65 CS"
AL002,,,20,20,,,,30,30,,,,,CS US,"20 US, 30 CS"
AL003,,,327,327,,,,1500,1500,,,,,CS US,"327 US, 1,500 CS"
AL004,,,155,155,,,,200,200,,,,,CS US,"155 US, 200 CS"
AL005,,,657,657,,,,741,741,,,,,CS US,"657 US, 741 CS"
AL006,,,775,775,,,,3700,3700,3200,500,500,,CS US,"775 US, 3,700 (including 3,200 prisoners) CS"
AL007,,,359,359,,,,2700,2700,,,,,CS US,"359 US, 2,700 CS"
AR001,,,1384,1384,,,,2000,2000,,,,,CS US,"1,384 US, 2,000 CS"
AR002,,,160,160,,,,40,40,,,,,CS US,"160 US, 40 CS"
AR003,,,63,63,,,,250,250,,,,,CS US,"63 US, 250 CS"
AR004,,,41,41,,,,45,45,,,,,CS US,"41 US, 45 CS"
AR005,,,1251,1251,,,,1317,1317,,,,,CS US,"1,251 US, 1,317 CS"
AR006,,,1092,1092,,,,5004,5004,,,,,CS US,"1,092 US, 5,004 CS"
AR007,0,100,,,,,,,,,,,,CS US,fewer than 100
AR008,,,239,239,,,,1636,1636,,,,,CS US,"239 US, 1,636 CS"
AR009,,,14,14,,,,17,17,,,,,CS US,"14 US, 17 CS"
AR010,,,72,72,,,,64,64,,,,,CS US,"72 US, 64 CS"
AR011,,,56,56,,,,40,40,,,,,CS US,"56, including 17 freedmen, US, 40 CS"
AR012,,,26,26,,,,29,29,,,,,CS US,"26 US, 29 CS"
AR013,,,100,100,,,,50,50,,,,,CS US,"100 US, 50 CS"
AR014,,,301,301,,,,114,114,,,,,CS US,"301 US, 114 CS"
AR015,,,1500,1500,,,,293,293,,,,,CS US,"1,500 US, 293 CS"
AR016,,,700,700,,,,1000,1000,,,,,CS US,"700 US, 1,000 CS"
AR017,,,133,133,,,,37,37,,,,,CS US,"133 US, 37 CS"
CO001,,,48,48,,,,,,,,,150,I US,"48 US, 150 Southern Cheyenne and Southern Arapaho"
