battle,relation,cwsac
AL001,=,AL001
AL002,=,AL002
AL003,=,AL003
AL004,=,AL004
AL005,=,AL005
AL006,=,AL006
AL007,=,AL007
AR001,=,AR001
AR002,=,AR002
AR003,=,AR003
AR004,=,AR004
AR005,=,AR005
AR006,=,AR006
AR007,=,AR007
AR008,=,AR008
AR009,=,AR009
AR010,=,AR010
AR011,=,AR011
AR012,=,AR012
AR013,=,AR013
AR014,=,AR014
AR015,=,AR015
AR016,=,AR016
AR017,=,AR017
CO001,=,CO001
DC001,=,DC001
FL001,=,FL001
FL002,=,FL002
FL003,=,FL003
FL004,=,FL004
FL005,=,FL005
FL006,=,FL006
GA001,=,GA001
GA002,=,GA002
GA003,=,GA003
GA004,=,GA004
GA005,=,GA005
GA006,=,GA006
GA007,=,GA007
GA008,=,GA008
GA009,=,GA009
GA010,=,GA010
GA011,=,GA011
GA012,=,GA012
GA013,=,GA013
GA014,=,GA014
GA015,=,GA015
GA016,=,GA016
GA017,=,GA017
GA018,=,GA018
GA019,=,GA019
GA020,=,GA020
GA021,=,GA021
GA022,=,GA022
GA023,=,GA023
GA024,=,GA024
GA025,=,GA025
GA026,=,GA026
GA027,=,GA027
GA028,=,GA028
ID001,=,ID001
IN001,=,IN001
KS001,=,KS001
KS002,=,KS002
KS003,=,KS003
KS004,=,KS004
KY001,=,KY001
KY002,=,KY002
KY003,=,KY003
KY004,=,KY004
KY005,=,KY005
KY006,=,KY006
KY007,=,KY007
KY008,=,KY008
KY009,=,KY009
KY010,=,KY010
KY011,=,KY011
LA001,=,LA001
LA002,=,LA002
LA003,=,LA003
LA004,=,LA004
LA005,=,LA005
LA006,=,LA006
LA007,=,LA007
LA008,=,LA008
LA009,=,LA009
LA010,=,LA010
LA011,=,LA011
LA012,=,LA012
LA013,=,LA013
LA014,=,LA014
LA015,=,LA015
LA016,=,LA016
LA017,=,LA017
LA018,=,LA018
LA019,=,LA019
LA020,=,LA020
LA021,=,LA021
LA022,=,LA022
LA023,=,LA023
MD001,=,MD001
MD002,=,MD002
MD003,=,MD003
MD004,=,MD004
MD006,=,MD006
MD007,=,MD007
MD008,=,MD008
MN001,=,MN001
MN002,=,MN002
MO001,=,MO001
MO002,=,MO002
MO003,=,MO003
MO004,=,MO004
MO005,=,MO005
MO006,=,MO006
MO007,=,MO007
MO008,=,MO008
MO009,=,MO009
MO010,=,MO010
MO011,=,MO011
MO012,=,MO012
MO013,=,MO013
MO014,=,MO014
MO015,=,MO015
MO016,=,MO016
MO017,=,MO017
MO018,=,MO018
MO019,=,MO019
MO020,=,MO020
MO021,=,MO021
MO022,=,MO022
MO023,=,MO023
MO024,=,MO024
MO025,=,MO025
MO026,=,MO026
MO027,=,MO027
MO028,=,MO028
MO029,=,MO029
MS001,=,MS001
MS002,=,MS002
MS003,=,MS003
MS004,=,MS004
MS005,=,MS005
MS006,=,MS006
MS007,=,MS007
MS008,=,MS008
MS009,=,MS009
MS010,=,MS010
MS011,=,MS011
MS012,=,MS012
MS013,=,MS013
MS014,=,MS014
MS015,=,MS015
MS016,=,MS016
NC001,=,NC001
NC002,=,NC002
NC003,=,NC003
NC004,=,NC004
NC005,=,NC005
NC006,=,NC006
NC007,=,NC007
NC008,=,NC008
NC009,=,NC009
NC010,=,NC010
NC011,=,NC011
NC012,=,NC012
NC013,=,NC013
NC014,=,NC014
NC015,=,NC015
NC016,=,NC016
NC017,=,NC017
NC018,=,NC018
NC019,=,NC019
NC020,=,NC020
ND001,=,ND001
ND002,=,ND002
ND003,=,ND003
ND004,=,ND004
ND005,=,ND005
NM001,=,NM001
NM002,=,NM002
OH001,=,OH001
OH002,=,OH002
OK001,=,OK001
OK002,=,OK002
OK003,=,OK003
OK005,=,OK005
OK006,=,OK006
OK007,=,OK007
PA001,=,PA001
PA002,=,PA002
SC001,=,SC001
SC002,=,SC002
SC003,=,SC003
SC004,=,SC004
SC005,=,SC005
SC006,=,SC006
SC007,=,SC007
SC008,=,SC008
SC009,=,SC009
SC010,=,SC010
SC011,=,SC011
TN001,=,TN001
TN002,=,TN002
TN003,=,TN003
TN004,=,TN004
TN005,=,TN005
TN006,=,TN006
TN007,=,TN007
TN008,=,TN008
TN009,=,TN009
TN010,=,TN010
TN011,=,TN011
TN012,=,TN012
TN013,=,TN013
TN014,=,TN014
TN015,=,TN015
TN016,=,TN016
TN017,=,TN017
TN018,=,TN018
TN019,=,TN019
TN020,=,TN020
TN021,=,TN021
TN022,=,TN022
TN023,=,TN023
TN024,=,TN024
TN025,=,TN025
TN026,=,TN026
TN027,=,TN027
TN028,=,TN028
TN029,=,TN029
TN030,=,TN030
TN031,=,TN031
TN032,=,TN032
TN033,=,TN033
TN034,=,TN034
TN035,=,TN035
TN036,=,TN036
TN037,=,TN037
TN038,=,TN038
TX001,=,TX001
TX002,=,TX002
TX003,=,TX003
TX005,=,TX005
TX006,=,TX006
VA001,=,VA001
VA002,=,VA002
VA003,=,VA003
VA004,=,VA004
VA005,=,VA005
VA006,=,VA006
VA007,=,VA007
VA008,=,VA008
VA009,=,VA009
VA010,=,VA010
VA011,=,VA011
VA012,=,VA012
VA013,=,VA013
VA014,=,VA014
VA015,=,VA015
VA016,=,VA016
VA017,=,VA017
VA018,=,VA018
VA019,=,VA019
VA020,=,VA020
VA020,>,VA020A
VA020,>,VA020B
VA021,=,VA021
VA022,=,VA022
VA023,=,VA023
VA024,=,VA024
VA025,=,VA025
VA026,=,VA026
VA027,=,VA027
VA028,=,VA028
VA029,=,VA029
VA031,>,VA030
VA031,>,VA031
VA032,>,VA032
VA032,>,VA033
VA032,>,VA034
VA035,=,VA035
VA038,>,VA036
VA038,>,VA037
VA038,>,VA038
VA039,=,VA039
VA040,=,VA040
VA041,=,VA041
VA042,=,VA042
VA043,=,VA043
VA044,=,VA044
VA045,=,VA045
VA046,=,VA046
VA047,=,VA047
