battleid	attacker	result	losses	page
Winchester_1864-09-19	US	Success	124	75
Chattanooga_1863-11-23	US	Success	97	75
Petersburg_1865-04-02	US	Success	60	75
Jonesborough_1864-09-01	US	Success	57	75
Nashville_1864-12-15	US	Success	56	75
Arkansas_Post_1863-01-11	US	Success	36	75
Chaffin's_Farm_1864-09-29	US	PartialSuccess	137	75
Petersburg_1864-06-15	US	PartialSuccess	128	75
Fort_Donelson_1862-02-12	US	PartialSuccess	96	75
Spottsylvania_1864-05-12	US	PartialSuccess	96	75
Deep_Bottom_1864-08-14	US	PartialSuccess	78	75
Port_Hudson_1863-06-14	US	Failure	267	75
Fort_Wagner_1863-07-18	US	Failure	214	75
Port_Hudson_1863-05-27	US	Failure	141	75
The_Mine_1864-07-30	US	Failure	138	75
Kenesaw_Mountain_1864-06-27	US	Failure	123	75
Cold_Harbor_1864-06-01	US	Failure	111	75
Spottsylvania_1864-05-10	US	Failure	108	75
Fredericksburg_1862-12-13	US	Failure	103	75
Vicksburg_1863-05-22	US	Failure	67	75
Chickasaw_Bayou_1862-12-27	US	Failure	39	75
Atlanta_1864-07-28	CS	Failure	222	75
Franklin_1864-11-30	CS	Failure	206	75
Atlanta_1864-07-22	CS	Failure	190	75
Peach_Tree_Creek_1864-07-20	CS	Failure	133	75
Corinth_1862-10-03	CS	Failure	112	75
Mechanicsville_1862-06-26	CS	Failure	91	75
Bentonville_1865-03-19	CS	Failure	89	75
Jonesborough_1864-08-31	CS	Failure	72	75
