battleid,result,losses,page
Gettysburg_1863-07-01,Defeat,301,75
Stone's_River_1862-12-31,Defeat,266,75
Shiloh_1862-04-06,Defeat,241,75
Antietam_1862-09-16,Defeat,226,75
Tupelo_1864-07-13,Defeat,201,75
Perryville_1862-10-08,Defeat,196,75
Fair_Oaks_1862-05-31,Defeat,137,75
South_Mountain_1862-09-14,Defeat,105,75
Prairie_Grove_1862-12-07,Defeat,98,75
Weldon_R._R._1864-08-18,Defeat,81,75
Pea_Ridge_1862-03-07,Defeat,43,75
Arkansas_Post_1863-01-11,Defeat,24,75
Winchester_1864-09-19,Rout,123,75
Cedar_Creek_1864-10-19,Rout,101,76
Petersburg_1865-04-02,Rout,,76
Nashville_1864-12-15,Rout,,76
Chickamagua_1863-09-19,Victory,259,75
Chancellorsville_1863-05-01,Victory,187,75
Manassas_and_Chantilly_1862-08-27,Victory,187,75
Olustee_1864-02-20,Victory,180,75
Drewry's_Bluff_1864-05-12,Victory,158,75
Gaines's_Mill_1862-06-27,Victory,153,76
Wilson's_Creek_1861-08-10,Victory,100,75
Fort_Wagner_1863-07-18,Victory,95,75
Cedar_Mountain_1862-08-09,Victory,79,76
Pleasant_Hill_1864-04-09,Victory,70,75
"Richmond,_Ky_1862-08-29",Victory,66,76
Fredericksburg_1862-12-13,Victory,64,75
Bull_Run_1861-07-21,Victory,61,76
Port_Hudson_1863-05-27,Victory,56,76
Kenesaw_Mountain_1864-06-27,Victory,15,76
Mine_Run_1863-11-27,Victory,15,76
Chickasaw_Bayou_1862-12-27,Victory,14,75
Port_Hudson_1863-06-14,Victory,13,75
Williamsburg_1862-05-04,Retired,49,77
