"seq_no","battle_name","start_date","end_date","win_side"
1,"BULL RUN","1961-07-21","1961-07-21","CONFEDERATE"
2,"WILSON'S CREEK","1961-08-10","1961-08-10","CONFEDERATE"
3,"FORT DONELSON","1962-02-12","1962-02-16","UNION"
4,"PEA RIDGE","1962-03-07","1962-03-07","UNION"
5,"SHILOH","1962-04-06","1962-04-07","UNION"
6,"WILLIAMSBURG","1962-05-04","1962-05-05","UNION"
7,"FAIR OAKS","1962-05-31","1962-06-01","UNION"
8,"SEVEN DAY'S BATTLES","1962-06-25","1962-07-01","CONFEDERATE"
9,"MECHANICSVILLE","1962-06-26","1962-06-26","CONFEDERATE"
10,"GAINES' MILL","1962-06-27","1962-06-27","CONFEDERATE"
11,"PEACH ORCHARD, SAVAGE STATION, WHITE OAK SWAMP, MALVERN HILL","1962-06-29","1962-07-01","CONFEDERATE"
12,"CEDAR MOUNTAIN","1962-08-09","1962-08-09","CONFEDERATE"
13,"MANASSAS & CHANTILLY","1962-08-27","1962-09-02","CONFEDERATE"
14,"RICHMOND, KY","1962-08-29","1962-08-30","CONFEDERATE"
15,"SOUTH MOUNTAIN","1962-09-14","1962-09-14","UNION"
16,"ANTIETAM","1962-09-16","1962-09-17","UNION"
17,"CORINTH","1962-10-03","1962-10-04","UNION"
18,"PERRYVILLE","1962-10-08","1962-10-08","UNION"
19,"PRAIRIE GROVE, ARK","1962-12-07","1962-12-07","UNION"
20,"FREDERICKSBURG","1962-12-13","1962-12-13","CONFEDERATE"
21,"CHICKASAW BAYOU AND BLUFF","1962-12-27","1962-12-29","CONFEDERATE"
22,"STONE'S RIVER","1962-12-31","1963-01-01","UNION"
23,"ARKANSAS POST","1963-01-11","1963-01-11","UNION"
24,"CHANCELLORSVILLE & FREDERICKSBURG","1963-05-01","1963-05-04","CONFEDERATE"
25,"CHAMPION'S HILL","1963-05-16","1963-05-16","UNION"
26,"VICKSBURG","1963-05-22","1963-05-22","CONFEDERATE"
27,"PORT HUDSON I","1963-05-27","1963-05-27","CONFEDERATE"
28,"PORT HUDSON II","1963-06-14","1963-06-14","CONFEDERATE"
29,"GETTYSBURG","1963-07-01","1963-07-03","UNION"
30,"FORT WAGNER","1963-07-18","1963-07-18","CONFEDERATE"
31,"CHICKAMAUGA","1963-09-19","1963-09-20","CONFEDERATE"
32,"CHATTANOOGA","1963-11-23","1963-11-25","UNION"
33,"MINE RUN","1963-11-27","1963-12-01","CONFEDERATE"
34,"OLUSTEE, FLA","1964-02-20","1964-02-20","CONFEDERATE"
35,"PLEASANT HILL","1964-04-09","1964-04-09","CONFEDERATE"
36,"ATLANTA CAMPAIGN","1964-05-05","1964-05-28","UNION"
37,"WILDERNESS","1964-05-05","1964-05-07","CONFEDERATE"
38,"SPOTTSYLVANIA I","1964-05-10","1964-05-10","CONFEDERATE"
39,"SPOTTSYLVANIA II","1964-05-12","1964-05-12","CONFEDERATE"
40,"DREWRY'S BLUFF","1964-05-12","1964-05-16","CONFEDERATE"
41,"COLD HARBOR","1964-06-01","1964-06-03","CONFEDERATE"
42,"PETERSBURG","1964-06-15","1964-06-18","CONFEDERATE"
43,"KENESAW MOUNTAIN","1964-06-27","1964-06-27","CONFEDERATE"
44,"TUPELO, MISS","1964-07-13","1964-07-15","UNION"
45,"PEACH TREE CREEK","1964-07-20","1964-07-20","UNION"
46,"ATLANTA","1964-07-22","1964-07-22","UNION"
47,"EZRA CHURCH (ATLANTA)","1964-07-28","1964-07-28","UNION"
48,"THE MINE","1964-07-30","1964-07-30","CONFEDERATE"
49,"DEEP BOTTOM","1964-08-14","1964-08-19","CONFEDERATE"
50,"WELDON RAILROAD","1964-08-18","1964-08-21","UNION"
51,"JONESBORO, GA I","1964-08-31","1964-08-31","UNION"
52,"JONESBORO, GA II","1964-09-01","1964-09-01","UNION"
53,"WINCHESTER (OPEQUAN)","1964-09-19","1964-09-19","UNION"
54,"CHAFFIN'S FARM AND FORTS HARRISON AND GILMER","1964-09-29","1964-09-30","UNION"
55,"CEDAR CREEK","1964-10-19","1964-10-19","UNION"
56,"BOYDTON PLANK ROAD","1964-10-27","1964-10-28","CONFEDERATE"
57,"FRANKLIN","1964-11-30","1964-11-30","UNION"
58,"NASHVILLE","1964-12-15","1964-12-16","UNION"
59,"HATCHER'S RUN","1965-02-05","1965-02-07","CONFEDERATE"
60,"BENTONVILLE","1965-03-19","1965-03-19","UNION"
61,"APPOMATOX CAMPAIGN","1965-03-29","1965-04-09","UNION"
62,"DINWIDDIE COURTHOUSE AND WHITE OAK ROAD","1965-03-29","1965-03-31","UNION"
63,"PETERSBURG II","1965-04-02","1965-04-02","UNION"
