"seq_no","str","kia","wia","kw","miapow","belligerent","attacker"
1,28452,481,1011,1492,1216,"UNION",TRUE
2,5400,223,721,944,291,"UNION",TRUE
3,27000,500,2108,2608,224,"UNION",TRUE
6,40768,456,1410,1866,373,"UNION",TRUE
12,8030,314,1445,1759,594,"UNION",TRUE
13,75696,1724,8372,10096,5958,"UNION",TRUE
15,28480,325,1403,1728,85,"UNION",TRUE
16,75316,2108,9549,11657,753,"UNION",TRUE
18,36940,845,2851,3696,515,"UNION",TRUE
20,106007,1284,9600,10884,1769,"UNION",TRUE
21,30720,208,1005,1213,563,"UNION",TRUE
23,28944,134,898,1032,29,"UNION",TRUE
24,97382,1575,9594,11169,5676,"UNION",TRUE
25,29373,410,1844,2254,187,"UNION",TRUE
26,45556,502,2550,3052,147,"UNION",TRUE
27,13000,293,1545,1838,157,"UNION",TRUE
28,6000,203,1401,1604,188,"UNION",TRUE
30,5264,246,880,1126,389,"UNION",TRUE
32,56359,753,4722,5475,349,"UNION",TRUE
33,69643,173,1099,1272,381,"UNION",TRUE
35,12647,150,844,994,375,"UNION",TRUE
36,110123,,,10528,1240,"UNION",TRUE
37,101895,2246,12037,14283,3383,"UNION",TRUE
38,37822,753,3347,4100,,"UNION",TRUE
39,65785,,6020,6020,800,"UNION",TRUE
40,15800,390,2380,2770,1390,"UNION",TRUE
41,107907,,,12000,,"UNION",TRUE
42,63797,,,8150,,"UNION",TRUE
43,16225,,,1999,52,"UNION",TRUE
48,20708,,,2864,929,"UNION",TRUE
49,27974,328,1852,2180,721,"UNION",TRUE
50,20289,198,1105,1303,3152,"UNION",TRUE
52,20460,223,946,1169,105,"UNION",TRUE
53,37711,697,3983,4680,338,"UNION",TRUE
54,19639,383,2299,2682,645,"UNION",TRUE
56,42823,166,1028,1194,564,"UNION",TRUE
58,49773,387,2562,2949,112,"UNION",TRUE
59,34517,170,1160,1330,182,"UNION",TRUE
61,112992,1316,7750,9066,1714,"UNION",TRUE
62,45247,,,2198,583,"UNION",TRUE
63,63299,625,3189,3814,326,"UNION",TRUE
1,32232,387,1582,1969,12,"CONFEDERATE",FALSE
2,11600,257,900,1157,27,"CONFEDERATE",FALSE
3,21000,,2000,2000,14623,"CONFEDERATE",FALSE
6,31823,,1570,1570,133,"CONFEDERATE",FALSE
12,16868,231,1107,1338,,"CONFEDERATE",FALSE
13,48527,1481,7627,9108,89,"CONFEDERATE",FALSE
15,17852,325,1560,1885,800,"CONFEDERATE",FALSE
16,51844,2700,9024,11724,2000,"CONFEDERATE",FALSE
18,16000,510,2635,3145,251,"CONFEDERATE",FALSE
20,72497,595,4061,4656,653,"CONFEDERATE",FALSE
21,13792,63,134,197,10,"CONFEDERATE",FALSE
23,4564,28,81,109,4791,"CONFEDERATE",FALSE
24,57352,1665,9081,10746,2018,"CONFEDERATE",FALSE
25,20000,381,1800,2181,1670,"CONFEDERATE",FALSE
26,22301,,6240,6240,,"CONFEDERATE",FALSE
27,4192,,235,235,,"CONFEDERATE",FALSE
28,3487,22,25,47,,"CONFEDERATE",FALSE
30,1785,36,133,169,5,"CONFEDERATE",FALSE
32,46165,361,2160,2521,4146,"CONFEDERATE",FALSE
33,44426,110,570,680,65,"CONFEDERATE",FALSE
35,14300,,,1000,500,"CONFEDERATE",FALSE
36,66089,,,9187,,"CONFEDERATE",FALSE
37,61025,,,7750,,"CONFEDERATE",FALSE
38,,,,,,"CONFEDERATE",FALSE
39,,,,,,"CONFEDERATE",FALSE
40,18025,,2860,2860,210,"CONFEDERATE",FALSE
41,,,,,,"CONFEDERATE",FALSE
42,41499,,,,,"CONFEDERATE",FALSE
43,17733,,,270,172,"CONFEDERATE",FALSE
48,11466,,,,,"CONFEDERATE",FALSE
49,20008,,,,,"CONFEDERATE",FALSE
50,14787,,,1200,419,"CONFEDERATE",FALSE
52,12661,,,,,"CONFEDERATE",FALSE
53,17103,276,1827,2103,1818,"CONFEDERATE",FALSE
54,10836,,,,,"CONFEDERATE",FALSE
56,20324,,,,,"CONFEDERATE",FALSE
58,23207,,,,4462,"CONFEDERATE",FALSE
59,13835,,,,,"CONFEDERATE",FALSE
61,49496,,,6266,43230,"CONFEDERATE",FALSE
62,20030,,,,,"CONFEDERATE",FALSE
63,18576,,,,,"CONFEDERATE",FALSE
4,14000,,600,600,200,"CONFEDERATE",TRUE
5,40335,1723,8012,9735,959,"CONFEDERATE",TRUE
7,41816,980,4749,5729,405,"CONFEDERATE",TRUE
8,95481,3478,16261,19739,875,"CONFEDERATE",TRUE
9,16356,,1484,1484,,"CONFEDERATE",TRUE
10,57018,,8751,8751,,"CONFEDERATE",TRUE
11,86748,,8602,8602,875,"CONFEDERATE",TRUE
14,6850,78,372,450,1,"CONFEDERATE",TRUE
17,22000,473,1997,2470,1763,"CONFEDERATE",TRUE
19,10000,164,817,981,336,"CONFEDERATE",TRUE
22,34732,1294,7945,9239,2500,"CONFEDERATE",TRUE
29,75054,3903,18735,22638,5425,"CONFEDERATE",TRUE
31,66326,2312,14674,16986,1468,"CONFEDERATE",TRUE
34,5200,93,841,934,,"CONFEDERATE",TRUE
44,6600,210,1116,1326,,"CONFEDERATE",TRUE
45,18832,,,2500,,"CONFEDERATE",TRUE
46,36934,,,7000,1000,"CONFEDERATE",TRUE
47,18450,,,4100,200,"CONFEDERATE",TRUE
