from,battle_name,battle_name_other,to,relation
1,BULL RUN,Bull_Run_1861-07-21,VA005,=
2,WILSON'S CREEK,Wilson's_Creek_1861-08-10,MO004,=
3,FORT DONELSON,Fort_Donelson_1862-02-12,TN002,=
4,PEA RIDGE,Pea_Ridge_1862-03-07,AR001,=
5,SHILOH,Shiloh_1862-04-06,TN003,=
6,WILLIAMSBURG,Williamsburg_1862-05-04,VA010,=
7,FAIR OAKS,Fair_Oaks_1862-05-31,VA014,=
8,SEVEN DAYS' BATTLES,Mechanicsville_1862-06-26,VA016,>
8,SEVEN DAYS' BATTLES,Gaines's_Mill_1862-06-27,VA017,>
8,SEVEN DAYS' BATTLES,Peach_Orchard_to_Malvern_Hill_1862-06-29,VA020,>
8,SEVEN DAYS' BATTLES,Peach_Orchard_to_Malvern_Hill_1862-06-29,VA019,>
8,SEVEN DAYS' BATTLES,Peach_Orchard_to_Malvern_Hill_1862-06-29,VA021,>
8,SEVEN DAYS' BATTLES,Peach_Orchard_to_Malvern_Hill_1862-06-29,VA018,>
8,SEVEN DAYS' BATTLES,Peach_Orchard_to_Malvern_Hill_1862-06-29,VA020A,>
8,SEVEN DAYS' BATTLES,Peach_Orchard_to_Malvern_Hill_1862-06-29,VA020B,>
9,MECHANICSVILLE,Mechanicsville_1862-06-26,VA016,=
10,GAINES' MILL,Gaines's_Mill_1862-06-27,VA017,=
11,"PEACH ORCHARD, SAVAGE STATION, WHITE OAK SWAMP, MALVERN HILL",Peach_Orchard_to_Malvern_Hill_1862-06-29,VA020A,>
11,"PEACH ORCHARD, SAVAGE STATION, WHITE OAK SWAMP, MALVERN HILL",Peach_Orchard_to_Malvern_Hill_1862-06-29,VA020B,>
11,"PEACH ORCHARD, SAVAGE STATION, WHITE OAK SWAMP, MALVERN HILL",Peach_Orchard_to_Malvern_Hill_1862-06-29,VA020,>
11,"PEACH ORCHARD, SAVAGE STATION, WHITE OAK SWAMP, MALVERN HILL",Peach_Orchard_to_Malvern_Hill_1862-06-29,VA019,>
11,"PEACH ORCHARD, SAVAGE STATION, WHITE OAK SWAMP, MALVERN HILL",Peach_Orchard_to_Malvern_Hill_1862-06-29,VA021,>
11,"PEACH ORCHARD, SAVAGE STATION, WHITE OAK SWAMP, MALVERN HILL",Peach_Orchard_to_Malvern_Hill_1862-06-29,VA018,>
12,CEDAR MOUNTAIN,Cedar_Mountain_1862-08-09,VA022,=
13,MANASSAS & CHANTILLY,Manassas_and_Chantilly_1862-08-27,VA026,>
13,MANASSAS & CHANTILLY,Manassas_and_Chantilly_1862-08-27,VA027,>
14,"RICHMOND, KY","Richmond,_Ky_1862-08-29",KY007,=
