from,battle_name,table_a
1,BULL RUN,Bull_Run_1861-07-21
2,WILSON'S CREEK,Wilson's_Creek_1861-08-10
3,FORT DONELSON,Fort_Donelson_1862-02-12
4,PEA RIDGE,Pea_Ridge_1862-03-07
5,SHILOH,Shiloh_1862-04-06
6,WILLIAMSBURG,Williamsburg_1862-05-04
7,FAIR OAKS,Fair_Oaks_1862-05-31
8,SEVEN DAYS' BATTLES,Seven_Days'_Battles_1862-06-25
9,MECHANICSVILLE,Mechanicsville_1862-06-26
10,GAINES' MILL,Gaines's_Mill_1862-06-27
11,"PEACH ORCHARD, SAVAGE STATION, WHITE OAK SWAMP, MALVERN HILL",Peach_Orchard_to_Malvern_Hill_1862-06-29
12,CEDAR MOUNTAIN,Cedar_Mountain_1862-08-09
13,MANASSAS & CHANTILLY,Manassas_and_Chantilly_1862-08-27
14,"RICHMOND, KY","Richmond,_Ky_1862-08-29"
15,SOUTH MOUNTAIN,South_Mountain_1862-09-14
16,ANTIETAM,Antietam_1862-09-16
17,CORINTH,Corinth_1862-10-03
18,PERRYVILLE,Perryville_1862-10-08
19,"PRAIRIE GROVE, ARK",Prairie_Grove_1862-12-07
20,FREDERICKSBURG,Fredericksburg_1862-12-13
21,CHICKASAW BAYOU AND BLUFF,Chickasaw_Bayou_1862-12-27
22,STONE'S RIVER,Stone's_River_1862-12-31
23,ARKANSAS POST,Arkansas_Post_1863-01-11
24,CHANCELLORSVILLE & FREDERICKSBURG,Chancellorsville_1863-05-01
25,CHAMPION'S HILL,Champion_Hill_1863-05-16
26,VICKSBURG,Vicksburg_1863-05-22
27,PORT HUDSON I,Port_Hudson_1863-05-27
28,PORT HUDSON II,Port_Hudson_1863-06-14
29,GETTYSBURG,Gettysburg_1863-07-01
30,FORT WAGNER,Fort_Wagner_1863-07-18
31,CHICKAMAUGA,Chickamagua_1863-09-19
32,CHATTANOOGA,Chattanooga_1863-11-23
33,MINE RUN,Mine_Run_1863-11-27
34,"OLUSTEE, FLA",Olustee_1864-02-20
35,PLEASANT HILL,Pleasant_Hill_1864-04-09
36,ATLANTA CAMPAIGN,Atlanta_Campaign_1864-05-01
37,WILDERNESS,Wilderness_1864-05-05
38,SPOTTSYLVANIA I,Spottsylvania_1864-05-10
39,SPOTTSYLVANIA II,Spottsylvania_1864-05-12
40,DREWRY'S BLUFF,Drewry's_Bluff_1864-05-12
41,COLD HARBOR,Cold_Harbor_1864-06-01
42,PETERSBURG,Petersburg_1864-06-15
43,KENESAW MOUNTAIN,The_Mine_1864-07-30
44,"TUPELO, MISS",Deep_Bottom_1864-08-14
45,PEACH TREE CREEK,Weldon_R._R._1864-08-18
46,ATLANTA,Kenesaw_Mountain_1864-06-27
47,EZRA CHURCH (ATLANTA),Tupelo_1864-07-13
48,THE MINE,Peach_Tree_Creek_1864-07-20
49,DEEP BOTTOM,Atlanta_1864-07-22
50,WELDON RAILROAD,Atlanta_1864-07-28
51,"JONESBORO, GA I",Jonesborough_1864-08-31
52,"JONESBORO, GA II",Jonesborough_1864-09-01
53,WINCHESTER (OPEQUAN),Winchester_1864-09-19
54,CHAFFIN'S FARM AND FORTS HARRISON AND GILMER,Chaffin's_Farm_1864-09-29
55,CEDAR CREEK,Cedar_Creek_1864-10-19
56,BOYDTON PLANK ROAD,Boydton_Plank_Road_1864-10-27
57,FRANKLIN,Franklin_1864-11-30
58,NASHVILLE,Nashville_1864-12-15
59,HATCHER'S RUN,Hatcher's_Run_1865-02-05
60,BENTONVILLE,Bentonville_1865-03-19
61,APPOMATOX CAMPAIGN,Appomattox_Camp_1865-03-29
62,DINWIDDIE COURTHOUSE AND WHITE OAK ROAD,Dinwiddie_1865-03-29
63,PETERSBURG II,Petersburg_1865-04-02
