row,battle_name,start_date,end_date,us_force,us_hit,us_losses_p1000,us_hits_p1000,cs_force,cs_hit,cs_losses_p1000,cs_hits_p1000,page
1,Bull Run,1861-07-21,,28452,1492,52,70,32232,1969,61,46,140
2,Wilson's Creek,1861-08-10,,5400,944,175,214,11600,1157,100,81,140
3,Fort Donelson,1862-02-12,1862-02-16,27000,2608,96,74,21000,2000,95,124,140
4,Pea Ridge,1862-03-07,,11250,1183,105,53,14000,600,43,84,140
5,Shiloh,1862-04-06,1862-04-06,62682,10162,162,155,40335,9735,241,252,140
6,Williamsburg,1862-05-04,1862-05-05,40768,1866,45,39,31823,1570,49,59,140
7,Fair Oaks,1862-05-31,1862-06-01,41797,4384,105,137,41816,5729,137,105,140
8,Mechanicsville,1862-06-26,,15631,256,16,95,16356,1484,91,16,140
9,Gaines's Mill,1862-06-27,,34214,4001,117,256,57018,8751,153,70,140
10,Peach Orchard to Malvern Hill,1862-06-29,1862-07-01,83345,4969,60,103,86748,8602,99,57,140
11,Seven Days' Battles,1862-06-25,1862-07-01,91169,9796,107,216,95481,19739,207,102,140
12,Cedar Mountain,1862-08-09,,8030,1759,219,166,16868,1338,79,104,140
13,Manassas and Chantilly,1862-08-27,1862-09-02,75696,10096,132,120,48527,9108,187,208,140
14,"Richmond, Ky",1862-08-29,1862-08-30,6500,1050,161,69,6850,450,66,153,140
15,South Mountain,1862-09-14,,28480,1728,68,66,18714,1885,105,97,140
16,Antietam,1862-09-16,1862-09-17,75316,11657,155,156,51844,11724,226,225,140
17,Corinth,1862-10-03,1862-10-04,21147,2196,104,117,22000,2470,112,100,140
18,Perryville,1862-10-08,,36940,3696,100,85,16000,3145,196,231,140
19,Prairie Grove,1862-12-07,,10000,981,99,98,10000,981,98,99,140
20,Fredericksburg,1862-12-13,,100007,10884,103,44,72497,4656,64,150,140
21,Chickasaw Bayou,1862-12-27,1862-12-28,30720,1213,39,6,13792,197,14,85,140
22,Stone's River,1862-12-31,,41400,9220,223,223,34732,9239,266,265,140
23,Arkansas Post,1863-01-11,,28944,1032,36,4,4564,109,24,226,140
24,Chancellorsville,1863-05-01,1863-05-04,97382,11116,114,110,57352,10746,187,194,140
25,Champion Hill,1863-05-16,,29373,2254,76,74,20000,2181,109,112,140
26,Vicksburg,1863-05-22,,45556,3052,67,,22301,,,137,140
27,Port Hudson,1863-05-27,,13000,1838,141,18,4192,235,56,438,140
28,Port Hudson,1863-06-14,,6000,1604,267,8,3487,47,13,460,140
29,Gettysburg,1863-07-01,1863-07-03,83289,17684,212,272,75054,22638,301,235,140
30,Fort Wagner,1863-07-18,,5264,1126,214,32,1785,169,95,631,141
31,Chickamagua,1863-09-19,1863-09-20,58222,11413,196,292,66326,16986,259,172,141
32,Chattanooga,1863-11-23,1863-11-25,56359,5475,97,44,46165,2521,55,118,141
33,Mine Run,1863-11-27,1863-12-01,69643,1272,18,10,44426,680,15,28,141
34,Olustee,1864-02-20,,5115,1355,265,183,5200,934,180,260,141
35,Pleasant Hill,1864-04-09,,12647,994,78,79,14300,1000,70,69,141
36,Wilderness and Spottsylvania,1864-05-05,1864-05-12,88892,26302,296,,61025,,,,141
37,Wilderness,1864-05-05,1864-05-07,101895,14283,140,,61025,,,234,141
38,Spottsylvania,1864-05-10,,37822,4100,108,,,,,,141
39,Spottsylvania,1864-05-12,,65785,6020,96,,,,,,141
40,Drewry's Bluff,1864-05-12,1864-05-16,15800,2770,175,181,18025,2860,158,154,141
41,Atlanta Campaign,1864-05-01,1864-05-31,110123,10528,91,83,66089,9187,137,160,141
42,Cold Harbor,1864-06-01,1864-06-03,107907,12000,111,,,,,,141
43,Petersburg,1864-06-15,1864-06-18,63797,8150,128,,41499,,,,141
44,The Mine,1864-07-30,,20708,2865,138,,11466,,,,141
45,Deep Bottom,1864-08-14,1864-08-19,27974,2180,78,,20008,,,,141
46,Weldon R. R.,1864-08-18,1864-08-21,20289,1303,64,59,14787,1200,81,88,141
47,Kenesaw Mountain,1864-06-27,,16225,1999,123,16,17733,270,15,113,141
48,Tupelo,1864-07-13,1864-07-15,14000,636,45,95,6600,1326,201,96,141
49,Peach Tree Creek,1864-07-20,,20139,1600,79,124,18832,2500,133,85,141
50,Atlanta,1864-07-22,,30477,1989,65,229,36934,7000,190,54,141
51,Atlanta,1864-07-28,,13226,559,42,310,18450,4100,222,30,141
52,Jonesborough,1864-08-31,,14170,179,13,122,23811,1725,72,7,141
53,Jonesborough,1864-09-01,,20460,1169,57,,12661,,,92,141
54,Winchester,1864-09-19,,37711,4680,124,56,17103,2103,123,273,141
55,Chaffin's Farm,1864-09-29,1864-09-30,19639,2682,137,,10836,,,247,141
56,Cedar Creek,1864-10-19,,30829,4074,132,60,18410,1860,101,221,141
57,Boydton Plank Road,1864-10-27,1864-10-28,42823,1194,28,,20324,,,,141
58,Franklin,1864-11-30,,27939,1222,40,199,26897,5550,206,45,141
59,Nashville,1864-12-15,1864-12-16,49773,2949,59,,23207,,,,141
60,Hatcher's Run,1865-02-05,1865-02-07,34517,1330,39,,13835,,,,141
61,Bentonville,1865-03-19,,16127,933,58,94,16895,1508,89,55,141
62,Appomattox Camp,1865-03-29,1865-04-05,114826,9066,79,,49496,6266,,,141
63,Dinwiddie,1865-03-29,1865-03-31,45247,2198,48,,20030,,,,141
64,Petersburg,1865-04-02,,63299,3814,60,,19652,,,194,141
