battleid,result,losses,page
Peach_Orchard_to_Malvern_Hill_1862-06-29,Retired,60,77
Franklin_1864-11-30,Retired,40,77
Mechanicsville_1862-06-26,Retired,16,77
"Richmond,_Ky_1862-08-29",Rout,161,76
Gaines's_Mill_1862-06-27,Rout,117,76
Bull_Run_1861-07-21,Rout,52,76
Olustee_1864-02-20,Defeat,255,76
Cedar_Mountain_1862-08-09,Defeat,219,76
Chickamagua_1863-09-19,Defeat,196,76
Wilson's_Creek_1861-08-10,Defeat,175,76
Drewry's_Bluff_1864-05-12,Defeat,175,76
Manassas_and_Chantilly_1862-08-27,Defeat,132,76
Chancellorsville_1863-05-01,Defeat,114,76
Pleasant_Hill_1864-04-09,Defeat,78,76
Stone's_River_1862-12-31,Victory,223,76
Gettysburg_1863-07-01,Victory,212,76
Shiloh_1862-04-06,Victory,162,76
Antietam_1862-09-16,Victory,155,76
Cedar_Creek_1864-10-19,Victory,132,76
Winchester_1864-09-19,Victory,124,76
Fair_Oaks_1862-05-31,Victory,105,76
Pea_Ridge_1862-03-07,Victory,105,76
Corinth_1862-10-03,Victory,104,76
Perryville_1862-10-08,Victory,100,76
Prairie_Grove_1862-12-07,Victory,99,76
Chattanooga_1863-11-23,Victory,97,76
Peach_Tree_Creek_1864-07-20,Victory,79,76
Champion_Hill_1863-05-16,Victory,76,76
South_Mountain_1862-09-14,Victory,68,76
Atlanta_1864-07-22,Victory,65,76
Weldon_R._R._1864-08-18,Victory,64,76
Bentonville_1865-03-19,Victory,58,76
Dinwiddie_1865-03-29,Victory,48,76
Tupelo_1864-07-13,Victory,45,76
Atlanta_1864-07-28,Victory,42,76
Arkansas_Post_1863-01-11,Victory,36,76
Jonesborough_1864-08-31,Victory,13,76
