page,battle_name,belligerent,start_date,end_date,effective_engaged,killed,wounded,killed_wounded,missing,hit_in_1000,hit_by_1000
77,Bull Run,Union,1861-07-21,,28452,481,1011,1492,1216,52,70
77,Bull Run,Confederate,1861-07-21,,32232,387,1582,1969,12,61,46
78,Wilson's Creek,Union,1861-08-10,,5400,223,721,944,291,175,214
78,Wilson's Creek,Confederate,1861-08-10,,11600,257,900,1157,27,100,81
78,Fort Donelson,Union,1862-02-12,1862-02-16,27000,500,2108,2608,224,96,74
78,Fort Donelson,Confederate,1862-02-12,1862-02-16,21000,,,2000,14623,95,124
79,Pea Ridge,Union,1862-03-07,,11250,203,980,1183,201,105,53
79,Pea Ridge,Confederate,1862-03-07,,14000,,,600,200,43,84
79,Shiloh,Union,1862-04-06,1862-04-07,62682,1754,8408,10162,2885,162,155
80,Shiloh,Confederate,1862-04-06,1862-04-07,40335,1723,8012,9735,959,241,252
80,Williamsburg,Union,1862-05-04,1862-05-05,40768,456,1410,1866,373,45,39
80,Williamsburg,Confederate,1862-05-04,1862-05-05,31823,,,1570,133,49,59
81,Fair Oaks,Union,1862-05-31,1862-06-01,41797,790,3594,4384,647,105,137
81,Fair Oaks,Confederate,1862-05-31,1862-06-01,41816,980,4749,5729,405,137,105
82,Mechanicsville,Union,1862-06-26,,15631,49,207,256,105,16,95
82,Mechanicsville,Confederate,1862-06-26,,16356,,,1484,,91,16
82,Gaines's Mill,Union,1862-06-27,,34214,894,3107,4001,2836,117,256
83,Gaines's Mill,Confederate,1862-06-27,,57018,,,8751,,153,70
84,Peach Orchard to Malvern Hill,Union,1862-06-29,1862-07-01,83345,724,4245,4969,3067,60,103
85,Peach Orchard to Malvern Hill,Confederate,1862-06-29,1862-07-01,86748,,,8602,875,99,57
86,Seven Days' Battles,Union,1862-06-25,1862-07-01,91169,1734,8062,9796,6053,107,216
86,Seven Days' Battles,Confederate,1862-06-25,1862-07-01,95481,3478,16261,19739,875,207,102
87,Cedar Mountain,Union,1862-08-09,,8030,314,1445,1759,594,219,166
87,Cedar Mountain,Confederate,1862-08-09,,16868,231,1107,1338,,79,104
88,Manassas and Chantilly,Union,1862-08-27,1862-09-02,75696,1724,8372,10096,5958,132,120
88,Manassas and Chantilly,Confederate,1862-08-27,1862-09-02,48527,1481,7627,9108,89,187,208
89,"Richmond, Ky",Union,1862-08-29,1862-08-30,6500,206,844,1050,4303,161,69
89,"Richmond, Ky",Confederate,1862-08-29,1862-08-30,6850,78,372,450,1,66,153
90,South Mountain,Union,1862-09-14,,28480,325,1403,1728,85,68,66
90,South Mountain,Confederate,1862-09-14,,17852,325,1560,1885,800,105,97
,Antietam,Union,1862-09-16,1862-09-17,75316,2108,9549,11657,753,155,156
,Antietam,Confederate,1862-09-16,1862-09-17,51844,2700,9024,11724,2000,226,225
,Corinth,,1862-10-03,1862-10-04,,,,,,,
,Perryville,,1862-10-08,,,,,,,,
,Prairie Grove,,1862-12-07,,,,,,,,
,Fredericksburg,,1862-12-13,,,,,,,,
,Chickasaw Bayou,,1862-12-27,1862-12-28,,,,,,,
,Stone's River,,1862-12-31,,,,,,,,
,Arkansas Post,,1863-01-11,,,,,,,,
,Chancellorsville,,1863-05-01,1863-05-04,,,,,,,
,Champion Hill,,1863-05-16,,,,,,,,
,Vicksburg,,1863-05-22,,,,,,,,
,Port Hudson,,1863-05-27,,,,,,,,
,Port Hudson,,1863-06-14,,,,,,,,
,Gettysburg,,1863-07-01,1863-07-03,,,,,,,
,Fort Wagner,,1863-07-18,,,,,,,,
,Chickamagua,,1863-09-19,1863-09-20,,,,,,,
,Chattanooga,,1863-11-23,1863-11-25,,,,,,,
,Mine Run,,1863-11-27,1863-12-01,,,,,,,
,Olustee,,1864-02-20,,,,,,,,
,Pleasant Hill,,1864-04-09,,,,,,,,
,Wilderness and Spottsylvania,,1864-05-05,1864-05-12,,,,,,,
,Wilderness,,1864-05-05,1864-05-07,,,,,,,
,Spottsylvania,,1864-05-10,,,,,,,,
,Spottsylvania,,1864-05-12,,,,,,,,
,Drewry's Bluff,,1864-05-12,1864-05-16,,,,,,,
,Atlanta Campaign,,1864-05-01,1864-05-31,,,,,,,
,Cold Harbor,,1864-06-01,1864-06-03,,,,,,,
,Petersburg,,1864-06-15,1864-06-18,,,,,,,
,The Mine,,1864-07-30,,,,,,,,
,Deep Bottom,,1864-08-14,1864-08-19,,,,,,,
,Weldon R. R.,,1864-08-18,1864-08-21,,,,,,,
,Kenesaw Mountain,,1864-06-27,,,,,,,,
,Tupelo,,1864-07-13,1864-07-15,,,,,,,
,Peach Tree Creek,,1864-07-20,,,,,,,,
,Atlanta,,1864-07-22,,,,,,,,
,Atlanta,,1864-07-28,,,,,,,,
,Jonesborough,,1864-08-31,,,,,,,,
,Jonesborough,,1864-09-01,,,,,,,,
,Winchester,,1864-09-19,,,,,,,,
,Chaffin's Farm,,1864-09-29,1864-09-30,,,,,,,
,Cedar Creek,,1864-10-19,,,,,,,,
,Boydton Plank Road,,1864-10-27,1864-10-28,,,,,,,
,Franklin,,1864-11-30,,,,,,,,
,Nashville,,1864-12-15,1864-12-16,,,,,,,
,Hatcher's Run,,1865-02-05,1865-02-07,,,,,,,
,Bentonville,,1865-03-19,,,,,,,,
,Appomattox Camp,,1865-03-29,1865-04-05,,,,,,,
,Dinwiddie,,1865-03-29,1865-03-31,,,,,,,
,Petersburg,,1865-04-02,,,,,,,,
