"seq_no","battle_name","start_date","end_date","win_side","assault_fortified","assault_outcome","union_result","confed_result","state","theater","commander_union","commander_confederate"
1,"BULL RUN","1861-07-21","1861-07-21","CONFEDERATE",,,"Rout","Victory","VA","ME","Irvin_McDowell ","P._G._T._Beauregard Joseph_E._Johnston"
2,"WILSON'S CREEK","1861-08-10","1861-08-10","CONFEDERATE",,,"Defeat","Victory","MO","TM","Nathaniel_Lyon Samuel_D._Sturgis","Sterling_Price Benjamin_McCulloch"
3,"FORT DONELSON","1862-02-12","1862-02-16","UNION","U","Partial Success",,,"TN","MW","Ulysses_S._Grant Andrew_Hull_Foote","John_B._Floyd Gideon_Johnson_Pillow Simon_Bolivar_Buckner"
4,"PEA RIDGE","1862-03-07","1862-03-07","UNION",,,"Victory","Defeat","AR","TM","Samuel_Ryan_Curtis","Earl_Van_Dorn"
5,"SHILOH","1862-04-06","1862-04-07","UNION",,,"Victory","Defeat","TN","MW","Ulysses_S._Grant Don_Carlos_Buell","Albert_Sidney_Johnston P._G._T._Beauregard"
6,"WILLIAMSBURG","1862-05-04","1862-05-05","UNION",,,,"Retired","VA","ME","George_B._McClellan","Joseph_E._Johnston"
7,"FAIR OAKS","1862-05-31","1862-06-01","UNION",,,"Victory","Defeat","VA","ME","George_B._McClellan","Joseph_E._Johnston Gustavus_Woodson_Smith"
8,"SEVEN DAY'S BATTLES","1862-06-25","1862-07-01","CONFEDERATE",,,,,"VA","ME","George_B._McClellan","Robert_E._Lee John_B._Magruder"
9,"MECHANICSVILLE","1862-06-26","1862-06-26","CONFEDERATE","C","Failure","Retired",,"VA","ME","Fitz_John_Porter","Robert_E._Lee"
10,"GAINES' MILL","1862-06-27","1862-06-27","CONFEDERATE",,,"Rout","Victory","VA","ME","Fitz_John_Porter","Robert_E._Lee"
