"seq_no","str","kia","wia","kw","miapow","belligerent","attacker"
1,32232,387,1582,1969,12,"Confederate",FALSE
1,28452,481,1011,1492,1216,"Union",TRUE
2,11600,257,900,1157,27,"Confederate",FALSE
2,5400,223,721,944,291,"Union",TRUE
3,21000,,,2000,14623,"Confederate",FALSE
3,27000,500,2108,2608,224,"Union",TRUE
4,14000,,,600,200,"Confederate",TRUE
4,11250,203,980,1183,201,"Union",FALSE
5,40335,1723,8012,9735,959,"Confederate",TRUE
5,62682,1754,8408,10162,2885,"Union",FALSE
6,31823,,,1570,133,"Confederate",FALSE
6,40768,456,1410,1866,373,"Union",TRUE
7,41816,980,4749,5729,405,"Confederate",TRUE
7,41797,790,3594,4384,647,"Union",FALSE
8,95481,3478,16261,19739,875,"Confederate",TRUE
8,91169,1734,8062,9796,6053,"Union",FALSE
9,16356,,,1484,,"Confederate",TRUE
9,15631,49,207,256,105,"Union",FALSE
10,57018,,,8751,,"Confederate",TRUE
10,34214,894,3107,4001,2836,"Union",FALSE
11,86748,,,8602,875,"Confederate",TRUE
11,83345,724,4245,4969,3067,"Union",FALSE
12,16868,231,1107,1338,,"Confederate",FALSE
12,8030,314,1445,1759,594,"Union",TRUE
13,48527,1481,7627,9108,89,"Confederate",FALSE
13,75696,1724,8372,10096,5958,"Union",TRUE
14,6850,78,372,450,1,"Confederate",TRUE
14,6500,206,844,1050,4303,"Union",FALSE
15,17852,325,1560,1885,800,"Confederate",FALSE
15,28480,325,1403,1728,85,"Union",TRUE
16,51844,2700,9024,11724,2000,"Confederate",FALSE
16,75316,2108,9549,11657,753,"Union",TRUE
17,22000,473,1997,2470,1763,"Confederate",TRUE
17,21147,355,1841,2196,324,"Union",FALSE
18,16000,510,2635,3145,251,"Confederate",FALSE
18,36940,845,2851,3696,515,"Union",TRUE
19,10000,164,817,981,336,"Confederate",TRUE
19,10000,175,813,988,263,"Union",FALSE
20,72497,595,4061,4656,653,"Confederate",FALSE
20,106007,1284,9600,10884,1769,"Union",TRUE
21,13792,63,134,197,10,"Confederate",FALSE
21,30720,208,1005,1213,563,"Union",TRUE
22,34732,1294,7945,9239,2500,"Confederate",TRUE
22,41400,1677,7543,9220,3686,"Union",FALSE
23,4564,28,81,109,4791,"Confederate",FALSE
23,28944,134,898,1032,29,"Union",TRUE
24,57352,1665,9081,10746,2018,"Confederate",FALSE
24,97382,1575,9594,11169,5676,"Union",TRUE
