from,to,relation
Port_Hudson_1863-06-14,LA010,<
Stone's_River_1862-12-31,TN010,=
Boydton_Plank_Road_1864-10-27,VA079,=
Cold_Harbor_1864-06-01,VA062,=
Perryville_1862-10-08,KY009,=
Jonesborough_1864-08-31,GA022,<
Wilderness_1864-05-05,VA046,=
Wilson's_Creek_1861-08-10,MO004,=
Spottsylvania_1864-05-10,VA048,<
Spottsylvania_1864-05-12,VA048,<
Tupelo_1864-07-13,MS015,=
Vicksburg_1863-05-22,MS011,=
Bull_Run_1861-07-21,VA005,=
Dinwiddie_1865-03-29,VA086,=
Pleasant_Hill_1864-04-09,LA019,=
Bentonville_1865-03-19,NC020,=
Cedar_Mountain_1862-08-09,VA022,=
Port_Hudson_1863-05-27,LA010,<
Williamsburg_1862-05-04,VA010,=
Shiloh_1862-04-06,TN003,=
Fort_Donelson_1862-02-12,TN002,=
Peach_Orchard_to_Malvern_Hill_1862-06-29,VA018,>
Peach_Orchard_to_Malvern_Hill_1862-06-29,VA019,>
Peach_Orchard_to_Malvern_Hill_1862-06-29,VA020,>
Peach_Orchard_to_Malvern_Hill_1862-06-29,VA021,>
Petersburg_1864-06-15,VA063,=
Winchester_1864-09-19,VA119,=
Antietam_1862-09-16,MD003,=
Prairie_Grove_1862-12-07,AR005,=
Nashville_1864-12-15,TN038,=
Petersburg_1865-04-02,VA089,=
Jonesborough_1864-09-01,GA022,<
Appomattox_Camp_1865-03-29,VA091,>
Appomattox_Camp_1865-03-29,VA086,>
Appomattox_Camp_1865-03-29,VA088,>
Appomattox_Camp_1865-03-29,VA085,>
Appomattox_Camp_1865-03-29,VA124,>
Appomattox_Camp_1865-03-29,VA090,>
Appomattox_Camp_1865-03-29,VA087,>
Appomattox_Camp_1865-03-29,VA089,>
Fort_Wagner_1863-07-18,SC007,=
Gettysburg_1863-07-01,PA002,=
Hatcher's_Run_1865-02-05,VA083,=
Deep_Bottom_1864-08-14,VA071,=
Franklin_1864-11-30,TN036,=
Arkansas_Post_1863-01-11,AR006,=
Gaines's_Mill_1862-06-27,VA017,=
Pea_Ridge_1862-03-07,AR001,=
"Richmond,_Ky_1862-08-29",KY007,=
Chancellorsville_1863-05-01,VA032,=
Cedar_Creek_1864-10-19,VA122,=
Manassas_and_Chantilly_1862-08-27,VA027,>
Manassas_and_Chantilly_1862-08-27,VA026,>
Atlanta_1864-07-28,GA018,=
Corinth_1862-10-03,MS002,=
South_Mountain_1862-09-14,MD002,=
Atlanta_1864-07-22,GA017,=
The_Mine_1864-07-30,VA070,=
Mechanicsville_1862-06-26,VA016,=
Chaffin's_Farm_1864-09-29,VA075,=
Wilderness_and_Spottsylvania_1864-05-05,VA046,>
Wilderness_and_Spottsylvania_1864-05-05,VA048,>
Fredericksburg_1862-12-13,VA028,=
Mine_Run_1863-11-27,VA044,=
Chickasaw_Bayou_1862-12-27,MS003,=
Fair_Oaks_1862-05-31,VA014,=
Chickamagua_1863-09-19,GA004,=
Seven_Days'_Battles_1862-06-25,VA016,>
Seven_Days'_Battles_1862-06-25,VA017,>
Seven_Days'_Battles_1862-06-25,VA018,>
Seven_Days'_Battles_1862-06-25,VA020,>
Seven_Days'_Battles_1862-06-25,VA021,>
Seven_Days'_Battles_1862-06-25,VA015,>
Seven_Days'_Battles_1862-06-25,VA019,>
Drewry's_Bluff_1864-05-12,VA053,=
Peach_Tree_Creek_1864-07-20,GA016,=
Champion_Hill_1863-05-16,MS009,=
Atlanta_Campaign_1864-05-01,GA008,>
Atlanta_Campaign_1864-05-01,GA011,>
Atlanta_Campaign_1864-05-01,GA010,>
Atlanta_Campaign_1864-05-01,GA009,>
Atlanta_Campaign_1864-05-01,GA012,>
Atlanta_Campaign_1864-05-01,GA007,>
Kenesaw_Mountain_1864-06-27,GA015,=
Weldon_R._R._1864-08-18,VA072,=
Olustee_1864-02-20,FL005,=
Chattanooga_1863-11-23,TN024,=
