seq_no,battle_name,assault_fortified,assault_outcome,union_result,confed_result,win_side,state,theater,start_date,end_date
1,BULL RUN,,,Rout,Victory,CONFEDERATE,VA,ME,7/21/61,7/21/61
2,WILSON'S CREEK,,,Defeat,Victory,CONFEDERATE,MO,TM,8/10/61,8/10/61
3,FORT DONELSON,U,Partial Success,,,UNION,TN,MW,2/12/62,2/16/62
4,PEA RIDGE,,,Victory,Defeat,UNION,AR,TM,3/7/62,3/7/62
5,SHILOH,,,Victory,Defeat,UNION,TN,MW,4/6/62,4/7/62
6,WILLIAMSBURG,,,,Retired,UNION,VA,ME,5/4/62,5/5/62
7,FAIR OAKS,,,Victory,Defeat,UNION,VA,ME,5/31/62,6/1/62
8,SEVEN DAY'S BATTLES,,,,,CONFEDERATE,VA,ME,6/25/62,7/1/62
9,MECHANICSVILLE,C,Failure,Retired,,CONFEDERATE,VA,ME,6/26/62,6/26/62
10,GAINES' MILL,,,Rout,Victory,CONFEDERATE,VA,ME,6/27/62,6/27/62
11,"PEACH ORCHARD, SAVAGE STATION, WHITE OAK SWAMP, MALVERN HILL",,,Retired,,CONFEDERATE,VA,ME,6/29/62,7/1/62
12,CEDAR MOUNTAIN,,,Defeat,Victory,CONFEDERATE,VA,ME,8/9/62,8/9/62
13,MANASSAS & CHANTILLY,,,Defeat,Victory,CONFEDERATE,VA,ME,8/27/62,9/2/62
14,"RICHMOND, KY",,,Rout,Victory,CONFEDERATE,KY,MW,8/29/62,8/30/62
15,SOUTH MOUNTAIN,,,Victory,Defeat,UNION,MD,ME,9/14/62,9/14/62
16,ANTIETAM,,,Victory,Defeat,UNION,MD,ME,9/16/62,9/17/62
17,CORINTH,C,Failure,Victory,,UNION,MS,MW,10/3/62,10/4/62
18,PERRYVILLE,,,Victory,Defeat,UNION,KY,MW,10/8/62,10/8/62
19,"PRAIRIE GROVE, ARK",,,Victory,Defeat,UNION,AR,TM,12/7/62,12/7/62
20,FREDERICKSBURG,U,Failure,,Victory,CONFEDERATE,VA,ME,12/13/62,12/13/62
21,CHICKASAW BAYOU AND BLUFF,U,Failure,,Victory,CONFEDERATE,MS,MW,12/27/62,12/29/62
22,STONE'S RIVER,,,Victory,Defeat,UNION,TN,MW,12/31/62,1/1/63
23,ARKANSAS POST,U,Success,Victory,Defeat,UNION,AR,TM,1/11/63,1/11/63
24,CHANCELLORSVILLE & FREDERICKSBURG,,,Defeat,Victory,CONFEDERATE,VA,ME,5/1/63,5/4/63
25,CHAMPION'S HILL,,,Victory,,UNION,MS,MW,5/16/63,5/16/63
26,VICKSBURG,U,Failure,,,CONFEDERATE,MS,MW,5/22/63,5/22/63
27,PORT HUDSON I,U,Failure,,Victory,CONFEDERATE,LA,LS,5/27/63,5/27/63
28,PORT HUDSON II,U,Failure,,Victory,CONFEDERATE,LA,LS,6/14/63,6/14/63
29,GETTYSBURG,,,Victory,Defeat,UNION,PA,ME,7/1/63,7/3/63
30,FORT WAGNER,U,Failure,,Victory,CONFEDERATE,SC,LS,7/18/63,7/18/63
31,CHICKAMAUGA,,,Defeat,Victory,CONFEDERATE,GA,MW,9/19/63,9/20/63
