isqno,cwsac,relation,name,locn,datetime_min,datetime_max
171,VA005,equal,FIRST BULL RUN (MANASSAS),VIRGINIA,1861-07-21T09:00:00,1861-07-21T16:00:00
172,MO004,equal,WILSON'S CREEK,MISSOURI,1861-08-10T05:30:00,1861-08-10T11:30:00
173,MO009,equal,BELMONT,MISSOURI,1861-11-07T10:30:00,1861-11-07T16:50:00
174,KY006,equal,MILL SPRINGS,KENTUCKY,1862-01-19T05:30:00,1862-01-19T16:00:00
175,TN002,equal,FORT DONELSON,TENNESSEE,1862-02-15T05:50:00,1862-02-15T15:30:00
176,AR001,equal,PEA RIDGE,MISSOURI,1862-03-07T10:30:00,1862-03-08T11:30:00
177,VA101,equal,KERNSTOWN,VIRGINIA,1862-03-23T06:00:00,1862-03-23T18:00:00
178,TN003,equal,SHILOH,TENNESSEE,1862-04-06T05:00:00,1862-04-07T16:00:00
179,VA103,equal,FRONT ROYAL,VIRGINIA,1862-05-23T14:00:00,1862-05-23T17:30:00
180,VA104,equal,FIRST WINCHESTER,VIRGINIA,1862-05-25T06:00:00,1862-05-25T07:30:00
181,VA105,equal,CROSS KEYS,VIRGINIA,1862-06-08T09:00:00,1862-06-08T12:00:00
182,VA106,equal,PORT REPUBLIC,VIRGINIA,1862-06-09T07:00:00,1862-06-09T11:00:00
183,VA014,equal,SEVEN PINES (FAIR OAKS),VIRGINIA,1862-05-31T13:00:00,1862-06-01T13:30:00
184,VA016,equal,MECHANICSVILLE,VIRGINIA,1862-06-26T15:00:00,1862-06-26T21:00:00
185,VA017,equal,GAINES'S MILL,VIRGINIA,1862-06-27T12:30:00,1862-06-27T21:00:00
186,VA020,equal,GLENDALE-FRAYSER'S FARM,VIRGINIA,1862-06-29T09:00:00,1862-06-30T21:00:00
186,VA020A,super,GLENDALE-FRAYSER'S FARM,VIRGINIA,1862-06-29T09:00:00,1862-06-30T21:00:00
186,VA020B,super,GLENDALE-FRAYSER'S FARM,VIRGINIA,1862-06-29T09:00:00,1862-06-30T21:00:00
187,VA021,equal,MALVERN HILL,VIRGINIA,1862-07-01T15:00:00,1862-07-01T20:30:00
188,VA022,equal,CEDAR MOUNTAIN,VIRGINIA,1862-08-09T15:00:00,1862-08-09T21:30:00
189,VA026,equal,SECOND BULL RUN (MANASSAS),VIRGINIA,1862-08-29T05:30:00,1862-08-30T20:00:00
190,MD002,equal,SOUTH MOUNTAIN,MARYLAND,1862-09-14T09:00:00,1862-09-14T22:00:00
191,MD003,equal,ANTIETAM (SHARPSBURG),MARYLAND,1862-09-17T05:30:00,1862-09-17T16:30:00
192,MS002,equal,CORINTH,MISSISSIPPI,1862-10-03T10:00:00,1862-10-04T13:00:00
193,KY009,equal,PERRYVILLE,KENTUCKY,1862-10-08T14:00:00,1862-10-08T18:00:00
194,VA028,equal,FREDERICKSBURG,VIRGINIA,1862-12-13T11:00:00,1862-12-13T16:00:00
195,TN010,equal,MURFREESBORO (STONE'S RIVER),TENNESSEE,1862-12-31T07:00:00,1863-01-02T22:00:00
196,VA032,equal,CHANCELLORSVILLE,VIRGINIA,1863-05-01T11:15:00,1863-05-04T20:30:00
197,MS009,equal,CHAMPION'S HILL,MISSISSIPPI,1863-05-16T10:30:00,1863-05-16T16:00:00
198,VA035,equal,BRANDY STATION,VIRGINIA,1863-06-09T04:00:00,1863-06-09T16:00:00
199,PA002,equal,GETTYSBURG,PENNSYLVANIA,1863-07-01T10:00:00,1863-07-03T15:00:00
200,GA004,equal,CHICKAMAUGA,GEORGIA,1863-09-19T05:30:00,1863-09-20T19:00:00
201,TN024,equal,CHATTANOOGA,TENNESSEE,1863-11-24T10:00:00,1863-11-25T18:00:00
202,VA046,equal,THE WILDERNESS,VIRGINIA,1864-05-05T07:15:00,1864-05-06T20:00:00
203,VA048,equal,SPOTSYLVANIA,VIRGINIA,1864-05-08T00:00:00,1864-05-19T00:00:00
204,VA110,equal,NEW MARKET,VIRGINIA,1864-05-15T05:00:00,1864-05-15T16:00:00
205,VA026,equal,COLD HARBOR,VIRGINIA,1864-06-03T04:30:00,1864-06-03T13:30:00
206,GA015,equal,KENESAW MOUNTAIN,GEORGIA,1864-06-27T09:00:00,1864-06-27T11:30:00
207,GA016,equal,PEACHTREE CREEK,GEORGIA,1864-07-20T15:00:00,1864-07-20T18:00:00
208,GA017,equal,ATLANTA,GEORGIA,1864-07-22T12:30:00,1864-07-22T19:30:00
209,VA026,equal,PETERSBURG,VIRGINIA,1864-06-15T19:00:00,1864-06-18T20:30:00
210,VA072,equal,GLOBE TAVERN,VIRGINIA,1864-08-18T00:00:00,1864-08-22T00:00:00
211,VA119,equal,OPEQUON CREEK (THIRD WINCHESTER),VIRGINIA,1864-09-19T05:00:00,1864-09-19T17:00:00
212,VA122,equal,CEDAR CREEK,VIRGINIA,1864-10-19T05:30:00,1864-10-19T18:00:00
213,TN036,equal,FRANKLIN,TENNESSEE,1864-11-30T15:30:00,1864-11-30T23:00:00
214,TN038,equal,NASHVILLE,TENNESSEE,1864-12-15T08:00:00,1864-12-16T16:45:00
215,NC020,equal,BENTONVILLE,NORTH CAROLINA,1865-03-19T06:00:00,1865-03-21T08:00:00
216,VA086,equal,DINWIDDIE COURTHOUSE & WHITE OAK ROAD,VIRGINIA,1865-03-29T00:00:00,1865-04-01T00:00:00
217,VA088,equal,FIVE FORKS,VIRGINIA,1865-04-01T16:00:00,1865-04-01T19:30:00
218,AL007,equal,SELMA,ALABAMA,1865-04-02T00:00:00,1865-04-03T00:00:00
219,VA093,equal,SAYLOR'S CREEK,VIRGINIA,1865-04-06T08:30:00,1865-04-06T19:30:00
