battle,combatant,corps,strength,description,killed,divisions,brigades,ironclads,cavalry_regiments,cavalry_brigades,cavalry_corps,cavalry_divisions,gunboats,casualties,strength_min,companies,missing,armies,artillery_batteries,wounded,captured,wooden_ships,rams,regiments,ships,strength_max
VA058,US,,,,,1,,,,,,,,344,,,,,,,,,,,,
VA058,CS,,,,,1,,,,,,,,400,,,,,,,,,,,,
LA004,US,,,Three Navy ships,,,,,,,,,,0,,,,,,,,,,,3,
LA004,CS,,,a few partisans,,,,,,,,,,0,,,,,,,,,,,,
MO024,US,,,"1st Division, Army of the Border",,1,,,,,,,,,,,,,,,,,,,,
MO024,CS,,,Army of Missouri,,,,,,,,,,,,,,1,,,,,,,,
KY003,US,,,Combination of detachments from twelve Union Ohio and Kentucky units,,,,,,,,,,30,,,,,,,,,,,,
KY003,CS,,,"nine companies of infantry and two of mounted men (1,010 men)",,,,,,,,,,263,1010,,,,,,,,,,,1010
TN031,US,,,Troops stationed at Memphis,,,,,,,,,,160,,,,,,,,,,,,
TN031,CS,,,Forrest's Cavalry (approx. 400),,,,,,,,,,34,400,,,,,,,,,,,400
VA116,US,,,"10,000",,,,,,,,,,1200,10000,,,,,,,,,,,10000
VA116,CS,,,"13,000",,,,,,,,,,600,13000,,,,,,,,,,,13000
MN001,I,,,Santee Sioux,,,,,,,,,,,,,,,,,,,,,,
MN001,US,,,Fort Ridgely Garrison and refugee civilians,,,,,,,,,,16,,,,,,,,,,,,
MO029,US,,,Five brigades,,,5,,,,,,,400,,,,,,,,,,,,
MO029,CS,,,remnants of Price's Army of Missouri,,,,,,,,,,250,,,,,,,,,,,,
TN033,US,,,"Governor's Guard Brigade, State of Tennessee",,,1,,,,,,,241,,,,,,,,,,,,
TN033,CS,,,"Department of Western Virginia and East Tennessee (approx. 2,400)",,,,,,,,,,,2400,,,,,,,,,,,2400
VA088,US,1,,,,,,,,,,,,830,,,,,,,,,,,,
VA088,CS,1,,,,,,,,,,,,2950,,,,,,,,,,,,
LA013,US,,,Fort Butler Garrison: two companies of the 28th Maine Volunteer Infantry and some convalescents from various regiments,,,,,,,,,,23,,2,,,,,,,,,,
LA013,CS,,,Tom Green's Texas Brigade and Colonel James Patrick Major's Texas Brigade,,,2,,,,,,,301,,,,,,,,,,,,
VA090,US,,,,,1,,,,,,,,370,,,,,,,,,,,,
VA090,CS,,,,,1,,,,,,,,600,,,,,,,,,,,,
VA069,US,1,,,,,,,,,,,,,,,,,,,,,,,,
VA069,CS,1,,,,,,,,,,,,,,,,,,,,,,,,
FL005,US,,,Division,,1,,,,,,,,1860,,,,,,,,,,,,
FL005,CS,,,District of East Florida,,,,,,,,,,946,,,,,,,,,,,,
SC004,US,,,,,,,,,,,,,22,,,,,,,,,,,,
SC004,CS,,,,,,,,,,,,,14,,,,,,,,,,,,
NC010,US,,,"1st Division, XVIII Corps",,1,,,,,,,,,,,,,,,,,,,,
