battle,combatant,fullname,rank,first_name,last_name,middle_name,suffix
AL001,CS,Nathan Bedford Forrest,Brigadier General,Nathan,Forrest,Bedford,
AL001,US,Abel Streight,Colonel,Abel,Streight,,
AL002,CS,Moses W. Hannon,Lieutenant Colonel,Moses,Hannon,W.,
AL002,US,Emil Adams,Captain,Emil,Adams,,
AL003,CS,Franklin Buchanan,Admiral,Franklin,Buchanan,,
AL003,CS,Richard L. Page,Brigadier General,Richard,Page,L.,
AL003,US,David G. Farragut,Rear Admiral,David,Farragut,G.,
AL003,US,Gordon Granger,Major General,Gordon,Granger,,
AL004,CS,John Bell Hood,General,John,Hood,Bell,
AL004,US,Robert S. Granger,Brigadier General,Robert,Granger,S.,
AL005,CS,Randall L. Gibson,Brigadier General,Randall,Gibson,L.,
AL005,US,E.R.S. Canby,Major General,E.R.S.,Canby,,
AL006,US,E.R.S. Canby,Major General,E.R.S.,Canby,,
AL007,CS,Nathan Bedford Forrest,Lieutenant General,Nathan,Forrest,Bedford,
AL007,US,James H. Wilson,Major General,James,Wilson,H.,
AR001,CS,Earl Van Dorn,Major General,Earl,Van Dorn,,
AR001,US,Samuel R. Curtis,Brigadier General,Samuel,Curtis,R.,
AR002,US,Graham N. Fitch,Colonel,Graham,Fitch,N.,
AR002,US,Augustus H. Kilty,Commander,Augustus,Kilty,H.,
AR003,CS,Thomas C. Hindman,Major General,Thomas,Hindman,C.,
AR003,CS,William H. Parsons,Colonel,William,Parsons,H.,
AR003,US,Charles Hovey,Colonel,Charles,Hovey,,
AR003,US,William P. Benton,Brigadier General,William,Benton,P.,
AR004,CS,John S. Marmaduke,Brigadier General,John,Marmaduke,S.,
AR004,US,James G. Blunt,Brigadier General,James,Blunt,G.,
AR005,CS,Thomas C. Hindman,Major General,Thomas,Hindman,C.,
AR005,US,Francis J. Herron,Brigadier General,Francis,Herron,J.,
AR005,US,James G. Blunt,Brigadier General,James,Blunt,G.,
AR006,CS,Thomas J. Churchill,Brigadier General,Thomas,Churchill,J.,
AR006,US,David D. Porter,Acting Rear Admiral,David,Porter,D.,
AR006,US,John A. McClernand,Major General,John,McClernand,A.,
AR007,CS,John S. Marmaduke,Brigadier General,John,Marmaduke,S.,
AR007,US,William Vandever,Brigadier General,William,Vandever,,
AR008,CS,Theophilus H. Holmes,Lieutenant General,Theophilus,Holmes,H.,
AR008,US,Benjamin M. Prentiss,Major General,Benjamin,Prentiss,M.,
AR009,CS,W.L. Cabell,Brigadier General,W.L.,Cabell,,
AR009,US,William F. Cloud,Colonel,William,Cloud,F.,
AR010,CS,John S. Marmaduke,Brigadier General,John,Marmaduke,S.,
AR010,US,John W. Davidson,Brigadier General,John,Davidson,W.,
AR011,CS,John S. Marmaduke,Brigadier General,John,Marmaduke,S.,
AR011,US,Powell Clayton,Colonel,Powell,Clayton,,
AR012,CS,John S. Marmaduke,Brigadier General,John,Marmaduke,S.,
AR012,US,Frederick Steele,Major General,Frederick,Steele,,
AR013,CS,Sterling Price,Major General,Sterling,Price,,
AR013,US,Frederick Steele,Major General,Frederick,Steele,,
AR014,CS,John S. Marmaduke,Brigadier General,John,Marmaduke,S.,
AR014,CS,Samuel Bell Maxey,Brigadier General,Samuel,Maxey,Bell,
AR014,US,James M. Williams,Colonel,James,Williams,M.,
AR015,CS,James B. Fagan,Brigadier General,James,Fagan,B.,
AR015,US,Francis Drake,Lieutenant Colonel,Francis,Drake,,
AR016,CS,E. Kirby Smith,General,E.,Smith,Kirby,
AR016,US,Frederick Steele,Major General,Frederick,Steele,,
AR017,CS,Colton Greene,Colonel,Colton,Greene,,
AR017,US,Joseph A. Mower,Brigadier General,Joseph,Mower,A.,
CO001,US,John Chivington,Colonel,John,Chivington,,
DC001,CS,Jubal A. Early,Lieutenant General,Jubal,Early,A.,
DC001,US,Horatio G. Wright,Major General,Horatio,Wright,G.,
DC001,US,Alexander McDowell McCook,Major General,Alexander,McCook,McDowell,
FL001,US,Harvey Brown,Colonel,Harvey,Brown,,
FL002,CS,John W. Pearson,Captain,John,Pearson,W.,
FL002,US,A.J. Drake,Captain (Naval),A.J.,Drake,,
FL003,CS,Charles F. Hopkins,Lieutenant Colonel,Charles,Hopkins,F.,
FL003,US,John M. Brannan,Brigadier General,John,Brannan,M.,
FL004,CS,John Westcott,Captain,John,Westcott,,
FL004,US,A. A. Semmes,Lieutenant Commander,A.,Semmes,A.,
FL005,CS,Joseph Finegan,Brigadier General,Joseph,Finegan,,
FL005,US,Truman Seymour,Brigadier General,Truman,Seymour,,
FL006,CS,Sam Jones,Major General,Sam,Jones,,
FL006,US,John Newton,Major General,John,Newton,,
GA001,CS,Charles H. Olmstead,Colonel,Charles,Olmstead,H.,
GA001,US,David Hunter,Major General,David,Hunter,,
GA001,US,Quincy A. Gillmore,Captain,Quincy,Gillmore,A.,
GA002,CS,George A. Anderson,Captain,George,Anderson,A.,
GA002,US,P. Drayton,Captain (Naval),P.,Drayton,,
GA003,CS,Thomas C. Hindman,Major General,Thomas,Hindman,C.,
GA003,CS,John C. Breckinridge,Major General,John,Breckinridge,C.,
GA003,US,James Negley,Major General,James,Negley,,
GA004,CS,Braxton Bragg,General,Braxton,Bragg,,
GA004,CS,James Longstreet,Lieutenant General,James,Longstreet,,
GA004,US,William S. Rosecrans,Major General,William,Rosecrans,S.,
GA004,US,George H. Thomas,Major General,George,Thomas,H.,
GA005,CS,Patrick R. Cleburne,Major General,Patrick,Cleburne,R.,
GA005,US,Joseph Hooker,Major General,Joseph,Hooker,,
GA006,CS,Joseph E. Johnston,General,Joseph,Johnston,E.,
GA006,US,George H. Thomas,Major General,George,Thomas,H.,
GA007,CS,Joseph E. Johnston,General,Joseph,Johnston,E.,
GA007,US,William T. Sherman,Major General,William,Sherman,T.,
GA008,CS,Joseph E. Johnston,General,Joseph,Johnston,E.,
GA008,US,William T. Sherman,Major General,William,Sherman,T.,
GA009,CS,Joseph E. Johnston,General,Joseph,Johnston,E.,
GA009,US,William T. Sherman,Major General,William,Sherman,T.,
GA010,CS,Joseph E. Johnston,General,Joseph,Johnston,E.,
GA010,US,William T. Sherman,Major General,William,Sherman,T.,
