battle,combatant,description,strength,ships,guns,commanders,cavalry_regiments,strength_other,brigades,regiments,cavalry_brigades,companies,corps,divisions,armies,artillery_batteries,cavalry_divisions,cavalry_corps,artillery_regiments,artillery_sections,cavalry_companies,artillery_companies,infantry_regiments
LA007,CS,,,,,,,,,,,,,,,,,,,,,,
LA007,US,,,,,,,,,,,,,,,,,,,,,,
VA097,CS,,,,,,,,,,,,,,,,,,,,,,
VA097,US,,,,,,,,,,,,,,,,,,,,,,
VA102,CS,,,,,,,,,,,,,,,,,,,,,,
VA102,US,,,,,,,,,,,,,,,,,,,,,,
VA015,CS,,,,,,,,,,,,,,,,,,,,,,
VA015,US,,,,,,,,,,,,,,,,,,,,,,
AR008,CS,,,,,,,,,,,,,,,,,,,,,,
AR008,US,,,,,,,,,,,,,,,,,,,,,,
LA003,CS,,,,,,,,,,,,,,,,,,,,,,
LA003,US,,,,,,,,,,,,,,,,,,,,,,
VA116,CS,,,,,,,,,,,,,,,,,,,,,,
VA116,US,,,,,,,,,,,,,,,,,,,,,,
MO018,CS,,,,,,,,,,,,,,,,,,,,,,
MO018,US,,,,,,,,,,,,,,,,,,,,,,
NC002,CS,,,,,,,,,,,,,,,,,,,,,,
NC002,US,,,,,,,,,,,,,,,,,,,,,,
ND001,US,,,,,,,,,,,,,,,,,,,,,,
ND001,I,,,,,,,,,,,,,,,,,,,,,,
DC001,CS,,,,,,,,,,,,,,,,,,,,,,
DC001,US,,,,,,,,,,,,,,,,,,,,,,
SC009,CS,,,,,,,,,,,,,,,,,,,,,,
SC009,US,,,,,,,,,,,,,,,,,,,,,,
VA121,CS,,,,,,,,,,,,,,,,,,,,,,
VA121,US,,,,,,,,,,,,,,,,,,,,,,
LA009,CS,,,,,,,,,,,,,,,,,,,,,,
LA009,US,,,,,,,,,,,,,,,,,,,,,,
GA022,CS,,,,,,,,,,,,,,,,,,,,,,
GA022,US,,,,,,,,,,,,,,,,,,,,,,
ND004,US,,,,,,,,,,,,,,,,,,,,,,
ND004,I,,,,,,,,,,,,,,,,,,,,,,
MO003,CS,,,,,,,,,,,,,,,,,,,,,,
MO003,US,,,,,,,,,,,,,,,,,,,,,,
FL003,CS,,,,,,,,,,,,,,,,,,,,,,
FL003,US,,,,,,,,,,,,,,,,,,,,,,
VA091,CS,,,,,,,,,,,,,,,,,,,,,,
VA091,US,,,,,,,,,,,,,,,,,,,,,,
VA027,CS,,,,,,,,,,,,,,,,,,,,,,
VA027,US,,,,,,,,,,,,,,,,,,,,,,
MO008,CS,,,,,,,,,,,,,,,,,,,,,,
MO008,US,,,,,,,,,,,,,,,,,,,,,,
GA009,CS,,,,,,,,,,,,,,,,,,,,,,
GA009,US,,,,,,,,,,,,,,,,,,,,,,
KS003,CS,,,,,,,,,,,,,,,,,,,,,,
KS003,US,,,,,,,,,,,,,,,,,,,,,,
TN002,CS,,,,,,,,,,,,,,,,,,,,,,
TN002,US,,,,,,,,,,,,,,,,,,,,,,
TN026,CS,,,,,,,,,,,,,,,,,,,,,,
TN026,US,,,,,,,,,,,,,,,,,,,,,,
OH001,CS,,,,,,,,,,,,,,,,,,,,,,
OH001,US,,,,,,,,,,,,,,,,,,,,,,
VA075,CS,,,,,,,,,,,,,,,,,,,,,,
VA075,US,,,,,,,,,,,,,,,,,,,,,,
VA115,CS,,,,,,,,,,,,,,,,,,,,,,
VA115,US,,,,,,,,,,,,,,,,,,,,,,
SC001,CS,,,,,,,,,,,,,,,,,,,,,,
